Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Menorca CH,Clay,R32,300,274,Shelbayh vs Miguel Damas [ESP],,,,,,,,,
23-Mar-2026,Alicante CH,Clay,R32,306,105,(3) Vilius Gaubas [LTU] d. (LL) Shelbayh,6-7(6) 7-6(4) 6-1,0.90,0.9%,0.9%,62.6%,56.9%,46.5%,4/10,3:18
23-Mar-2026,Alicante CH,Clay,Q2,306,443,(9) Svyatoslav Gulin [RUS] d. (3) Shelbayh,6-7(3) 7-6(3) 6-1,0.90,3.0%,5.0%,54.5%,69.1%,47.8%,6/12,2:30
23-Mar-2026,Alicante CH,Clay,Q1,306,,(3) Shelbayh d. (WC) Alberto Garcia Garcia [ESP],6-3 6-4,1.42,3.5%,10.5%,63.2%,75.0%,52.4%,4/5,1:24
16-Mar-2026,Murcia CH,Clay,R32,306,190,Justin Engel [GER] d. (Alt) Shelbayh,6-3 3-6 7-5,0.86,1.0%,4.0%,62.0%,54.8%,47.4%,4/10,2:16
09-Mar-2026,Hersonissos 2 CH,Hard,R16,319,250,(4) Kimmer Coppejans [BEL] d. Shelbayh,2-6 6-1 7-6(5),0.89,0.0%,6.2%,51.5%,64.0%,38.3%,7/13,2:25
09-Mar-2026,Hersonissos 2 CH,Hard,R32,319,373,Shelbayh d. (Q) Javier Barranco Cosano [ESP],6-2 4-2 RET,2.08,10.3%,5.1%,56.4%,90.9%,58.8%,1/1,1:19
02-Mar-2026,Hersonissos 1 CH,Hard,QF,319,244,(5) Toby Samuel [GBR] d. Shelbayh,6-4 6-3,0.79,0.0%,6.9%,54.2%,53.8%,39.4%,4/10,1:34
02-Mar-2026,Hersonissos 1 CH,Hard,R16,319,797,Shelbayh d. (WC) Melios Efstathiou [CYP],1-6 6-2 6-2,1.13,2.9%,4.4%,50.0%,55.9%,55.9%,2/6,1:47
02-Mar-2026,Hersonissos 1 CH,Hard,R32,319,1025,Shelbayh d. (WC) Pavlos Tsitsipas [GRE],6-4 6-2,1.45,1.7%,5.1%,54.2%,75.0%,55.6%,7/8,1:36
09-Feb-2026,Tenerife 2 CH,Hard,R32,310,163,(4) Stefano Travaglia [ITA] d. (Q) Shelbayh,6-3 5-7 7-5,0.66,2.6%,2.6%,61.2%,63.4%,51.1%,8/12,2:21
09-Feb-2026,Tenerife 2 CH,Hard,Q2,310,599,(2) Shelbayh d. (Alt) Alejo Sanchez Quilez [ESP],6-1 6-2,2.16,4.9%,0.0%,65.9%,81.5%,50.0%,1/2,0:52
09-Feb-2026,Tenerife 2 CH,Hard,Q1,310,535,(2) Shelbayh d. Alberto Barroso Campos [ESP],6-1 5-7 6-3,1.33,6.4%,0.0%,57.4%,72.2%,52.5%,4/7,2:02
02-Feb-2026,Tenerife 1 CH,Hard,R16,306,117,(1) Francesco Maestrelli [ITA] d. Shelbayh,6-3 6-1,0.59,2.3%,2.3%,50.0%,77.3%,27.3%,2/6,1:14
02-Feb-2026,Tenerife 1 CH,Hard,R32,306,299,Shelbayh d. Jacopo Berrettini [ITA],6-3 6-2,1.68,4.2%,4.2%,60.4%,75.9%,52.6%,0/2,1:17
26-Jan-2026,Oeiras 2 CH,Hard,Q1,299,601,Digvijaypratap Singh [IND] d. (3) Shelbayh,7-6(10) 0-0 RET,1.24,10.0%,5.0%,60.0%,87.5%,43.8%,0/1,1:09
19-Jan-2026,Oeiras 1 CH,Hard,Q1,299,367,Denis Yevseyev [KAZ] d. (6) Shelbayh,6-2 6-0,0.47,2.0%,8.0%,52.0%,42.3%,41.7%,2/7,0:52
03-Nov-2025,Matsuyama CH,Hard,R32,274,666,(Q) Koki Matsuda [JPN] d. Shelbayh,7-6(4) 6-2,0.78,3.0%,4.5%,69.7%,58.7%,45.0%,8/13,1:17
