Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
14-Apr-2025,Busan CH,Hard,F,86,177,(8) Terence Atmane [FRA] d. (1) Walton,6-3 6-4,0.66,2.0%,2.0%,70.6%,58.3%,53.3%,4/7,1:12
03-Feb-2025,Brisbane 2 CH,Hard,F,88,780,(1) Walton d. (WC) Jason Kubler [AUS],7-6(6) 7-6(4),1.12,18.6%,1.2%,76.7%,68.2%,55.0%,4/6,2:05
21-Oct-2024,Taipei 2 CH,Hard,F,103,89,(2) Taro Daniel [JPN] d. (3) Walton,6-4 7-5,0.84,8.2%,2.4%,65.9%,69.6%,37.9%,8/11,1:53
13-May-2024,Taipei CH,Hard,F,111,242,(3) Walton d. Illya Marchenko [UKR],3-6 6-2 7-6(3),0.99,14.7%,4.3%,65.5%,69.7%,50.0%,10/13,2:38
29-Apr-2024,Guangzhou CH,Hard,F,119,241,Tristan Schoolkate [AUS] d. (3) Walton,6-3 3-6 6-3,1.09,8.5%,4.9%,59.8%,69.4%,63.6%,4/6,2:11
15-Apr-2024,Acapulco CH,Hard,F,129,162,(5) Giovanni Mpetshi Perricard [FRA] d. (4) Walton,6-3 6-3,0.53,0.0%,0.0%,78.6%,59.1%,58.3%,2/5,1:08
19-Feb-2024,Pune CH,Hard,F,154,173,(4) Valentin Vacherot [MON] d. (3) Walton,3-6 7-6(5) 7-6(5),1.05,6.0%,0.0%,68.1%,70.9%,59.5%,7/10,2:38
05-Feb-2024,Burnie 2 CH,Hard,F,180,224,(1) Walton d. (4) Dane Sweeny [AUS],6-2 7-6(4),1.24,11.8%,0.0%,64.7%,65.9%,58.3%,1/3,1:49
02-Oct-2023,Tiburon CH,Hard,F,199,170,(3) Zachary Svajda [USA] d. Walton,6-2 6-2,0.66,1.5%,4.5%,60.6%,50.0%,38.5%,9/14,1:20
07-Aug-2023,Cary CH,Hard,F,256,149,Walton d. (4) Nicolas Moreno De Alboran [USA],6-4 3-6 7-5,0.93,4.3%,6.0%,49.1%,64.9%,55.9%,10/13,2:59
