Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2017,15,7,8,46.7%,17-18,48.6%,166-174,48.8%,3-3,50.0%,15,71.0%,26.2%,2.7%,2.8%,60.3%,64.1%,49.4%,58.3%,39.6%,49.5%,0.95,SF (2x)
2016,27,12,15,44.4%,31-33,48.4%,301-316,48.8%,7-3,70.0%,27,70.9%,26.2%,3.0%,4.5%,58.9%,66.1%,50.5%,59.7%,39.5%,49.6%,0.98,F (Noumea)
2015,24,13,11,54.2%,30-24,55.6%,264-239,52.5%,2-4,33.3%,24,72.1%,33.6%,3.3%,5.2%,56.8%,68.5%,47.4%,59.4%,42.7%,51.1%,1.05,SF (2x)
2014,14,9,5,64.3%,18-10,64.3%,144-121,54.3%,1-1,50.0%,12,69.2%,39.8%,5.4%,5.0%,56.1%,67.2%,48.7%,59.0%,45.2%,51.9%,1.10,W (Bucaramanga)
2013,11,9,2,81.8%,18-6,75.0%,124-84,59.6%,1-0,100.0%,11,83.7%,35.0%,6.2%,3.3%,62.9%,70.9%,55.7%,65.3%,42.7%,54.2%,1.23,W (Noumea)
2012,14,11,3,78.6%,22-6,78.6%,152-106,58.9%,2-0,100.0%,13,82.0%,34.9%,4.7%,3.3%,56.6%,73.5%,56.2%,66.0%,45.0%,55.0%,1.32,W (2x)
2011,26,16,10,61.5%,37-25,59.7%,313-281,52.7%,4-2,66.7%,26,70.5%,35.2%,3.5%,3.5%,58.5%,65.4%,50.7%,59.3%,44.2%,51.5%,1.09,W (Cali)
2010,7,4,3,57.1%,9-8,52.9%,80-81,49.7%,2-0,100.0%,7,70.9%,27.5%,4.9%,4.1%,51.7%,63.4%,55.5%,59.6%,41.7%,50.3%,1.03,F (Bogota)
2009,36,25,11,69.4%,51-28,64.6%,411-343,54.5%,6-4,60.0%,0,,,,,,,,,,,,W (3x)
2008,15,7,8,46.7%,16-19,45.7%,179-178,50.1%,2-4,33.3%,0,,,,,,,,,,,,SF (Bogota)
2007,14,10,4,71.4%,22-13,62.9%,187-160,53.9%,4-3,57.1%,0,,,,,,,,,,,,F (Bratislava)
2006,19,12,7,63.2%,26-19,57.8%,224-207,52.0%,2-2,50.0%,0,,,,,,,,,,,,W (Bogota)
2005,23,12,11,52.2%,29-27,51.8%,278-262,51.5%,6-4,60.0%,0,,,,,,,,,,,,F (2x)
2004,26,19,7,73.1%,39-23,62.9%,322-281,53.4%,6-4,60.0%,0,,,,,,,,,,,,W (2x)
2003,15,6,9,40.0%,14-21,40.0%,164-173,48.7%,1-6,14.3%,0,,,,,,,,,,,,QF (Segovia)
Career,286,172,114,60.1%,379-280,57.5%,3309-3006,52.4%,49-40,55.1%,135,72.8%,32.0%,3.8%,4.1%,58.1%,67.0%,50.8%,60.2%,42.4%,51.2%,1.07,
