Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,13,4,9,30.8%,9,2,7,22.2%,2013,2024,Q3,11,0.95,5.5%,5.5%,61.3%,67.7%,53.1%,62.0%,36.0%,59.2%,38.8%
Roland Garros,7,Clay,17,9,8,52.9%,11,7,4,63.6%,2016,2022,R128,11,1.04,3.3%,3.4%,67.5%,63.3%,51.2%,59.4%,42.1%,64.7%,47.3%
Wimbledon,8,Grass,11,3,8,27.3%,6,1,5,16.7%,2012,2023,Q3,4,0.73,5.2%,2.0%,72.8%,62.2%,38.6%,55.7%,32.4%,47.1%,31.8%
US Open,8,Hard,15,7,8,46.7%,3,2,1,66.7%,2011,2023,R64,12,0.85,4.1%,6.2%,62.8%,64.1%,45.1%,57.0%,36.5%,48.0%,36.1%
Davis Cup,1,,1,1,0,100.0%,1,1,0,100.0%,2017,2017,,1,1.60,8.2%,3.3%,59.0%,91.7%,68.0%,82.0%,28.8%,50.0%,100.0%
Buenos Aires,8,Clay,12,4,8,33.3%,4,1,3,25.0%,2011,2022,R16,12,0.87,2.7%,5.1%,67.2%,63.5%,44.0%,57.1%,37.4%,62.0%,38.4%
Rome Masters,5,Clay,5,0,5,0.0%,1,0,1,0.0%,2010,2020,Q1,5,0.71,3.4%,4.4%,62.5%,65.4%,33.3%,53.4%,33.1%,45.9%,28.6%
Cordoba,4,Clay,7,3,4,42.9%,7,4,3,57.1%,2019,2024,R16,7,0.87,2.3%,3.8%,67.2%,62.5%,50.8%,58.6%,35.8%,63.6%,50.0%
Sao Paulo,3,Clay,9,6,3,66.7%,5,2,3,40.0%,2012,2019,R16,9,1.10,4.0%,2.6%,66.4%,69.7%,56.7%,65.3%,38.2%,72.0%,53.2%
Monte Carlo Masters,3,Clay,5,2,3,40.0%,2,1,1,50.0%,2012,2017,R64,5,1.03,1.9%,5.0%,59.3%,64.4%,51.9%,59.3%,42.1%,48.4%,36.8%
Rio de Janeiro,3,Clay,4,1,3,25.0%,4,1,3,25.0%,2017,2019,Q2,4,0.83,2.3%,6.2%,67.0%,68.1%,40.2%,58.9%,34.0%,62.9%,56.3%
