Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
09-Feb-2026,Brisbane 2 CH,Hard,F,178,365,Zhizhen Zhang [CHN] d. (4) Bolt,6-2 6-4,0.68,7.4%,5.6%,72.2%,64.1%,46.7%,0/3,1:08
10-Nov-2025,Brisbane 3 CH,Hard,F,238,518,(6) Bolt d. (Q) Tung Lin Wu [TPE],6-3 6-3,1.96,20.4%,2.0%,73.5%,88.9%,53.8%,3/3,1:08
22-Sep-2025,Jingshan CH,Hard,F,221,128,Eliot Spizzirri [USA] d. (Q) Bolt,6-4 6-4,0.46,10.5%,3.9%,60.5%,67.4%,50.0%,6/8,1:24
05-May-2025,Wuxi CH,Hard,F,236,289,Fajing Sun [CHN] d. Bolt,7-6(4) 6-4,0.65,12.9%,6.5%,71.0%,86.4%,44.4%,1/2,1:37
04-Nov-2024,Matsuyama CH,Hard,F,179,119,(5) Nicolas Moreno De Alboran [USA] d. Bolt,7-6(4) 6-2,0.65,3.4%,3.4%,59.3%,62.9%,58.3%,2/5,1:26
18-Mar-2024,M25 Swan Hill,Grass,F,269,362,(1) Bolt d. (5) Rio Noguchi [JPN],6-1 6-2,,,,,,,,
11-Mar-2024,M25 Mildura,Grass,F,289,294,(1) Bolt d. (2) Luke Saville [AUS],6-2 6-2,,,,,,,,
26-Feb-2024,M25 Traralgon,Hard,F,262,203,(1) Li Tu [AUS] d. (3) Bolt,6-4 6-2,,,,,,,,
29-Jan-2024,Burnie CH,Hard,F,291,293,Omar Jasika [AUS] d. Bolt,6-2 6-7(2) 6-3,0.62,9.1%,4.5%,70.5%,66.1%,65.4%,4/7,1:57
13-Mar-2023,M25 Bakersfield CA,Hard,F,438,810,(5) Bolt d. (WC) Kyle Kang [USA],6-3 7-6(3),,,,,,,,
