Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,15,7,8,46.7%,8,5,3,62.5%,1996,2004,R32,15,1.05,5.1%,3.2%,59.5%,69.5%,51.6%,62.2%,39.5%,50.4%,41.5%
Roland Garros,13,Clay,49,36,13,73.5%,14,9,5,64.3%,1992,2004,F,49,1.13,4.0%,2.8%,57.5%,70.4%,49.8%,61.7%,43.2%,62.0%,40.0%
Wimbledon,4,Grass,6,2,4,33.3%,4,2,2,50.0%,1994,2004,R64,6,0.90,6.6%,3.0%,57.7%,70.8%,52.7%,63.2%,33.3%,60.8%,39.6%
US Open,13,Hard,29,16,13,55.2%,17,8,9,47.1%,1992,2004,QF,28,1.07,5.3%,2.6%,60.0%,70.9%,52.6%,63.5%,39.0%,62.9%,34.8%
Olympics,1,,3,2,1,66.7%,4,2,2,50.0%,2000,2000,R16,0,,,,,,,,,,
Davis Cup,6,,15,12,3,80.0%,3,2,1,66.7%,1998,2003,,0,,,,,,,,,,
Rome Masters,13,Clay,36,24,12,66.7%,17,12,5,70.6%,1992,2004,W,36,1.09,5.3%,2.4%,54.5%,68.8%,53.6%,61.9%,41.4%,62.8%,43.8%
Barcelona,13,Clay,26,13,13,50.0%,11,3,8,27.3%,1992,2004,SF,26,1.02,3.6%,2.8%,57.5%,63.1%,51.1%,58.0%,42.8%,54.6%,44.2%
Monte Carlo Masters,11,Clay,31,20,11,64.5%,9,7,2,77.8%,1993,2004,F,30,1.06,2.9%,3.2%,53.7%,66.3%,52.0%,59.7%,42.8%,57.4%,44.4%
Hamburg Masters,11,Clay,29,18,11,62.1%,3,1,2,33.3%,1992,2004,F,29,1.07,4.0%,2.5%,58.1%,67.3%,51.8%,60.8%,41.8%,58.5%,45.6%
Gstaad,10,Clay,33,26,7,78.8%,8,3,5,37.5%,1993,2003,W,33,1.22,5.7%,4.0%,57.7%,74.7%,54.0%,65.9%,41.6%,70.3%,40.1%
Indian Wells Masters,10,Hard,23,14,9,60.9%,8,8,0,100.0%,1995,2004,W,22,1.02,5.7%,3.4%,53.7%,70.4%,53.6%,62.6%,38.2%,63.9%,43.3%
