Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Marrakech,Clay,R32,94,208,Muller vs (NG) Federico Cina [ITA],,,,,,,,,
23-Mar-2026,Naples CH,Clay,QF,90,115,(5) Hamad Medjedovic [SRB] d. (3) Muller,6-2 6-2,0.31,3.1%,0.0%,71.9%,52.2%,38.9%,6/10,1:11
23-Mar-2026,Naples CH,Clay,R16,90,399,(3) Muller d. (WC) Carlo Alberto Caniato [ITA],4-6 7-6(5) 6-4,1.07,4.5%,1.8%,64.5%,67.6%,59.0%,11/14,2:46
23-Mar-2026,Naples CH,Clay,R32,90,522,(3) Muller d. (Q) Jakub Paul [SUI],7-5 6-4,1.22,1.5%,1.5%,57.6%,78.9%,57.1%,3/4,1:33
18-Mar-2026,Miami Masters,Hard,R128,90,68,Matteo Berrettini [ITA] d. Muller,6-4 6-2,0.75,8.5%,3.4%,72.9%,62.8%,50.0%,4/7,1:22
07-Feb-2026,Davis Cup QLS R1: FRA vs SVK,Hard,RR,49,200,Alex Molcan [SVK] d. Muller,6-4 6-4,,,,,,,,
19-Jan-2026,Australian Open,Hard,R64,52,3,(3) Alexander Zverev [GER] d. Muller,6-3 4-6 6-3 6-4,0.76,3.2%,1.6%,69.6%,64.4%,44.7%,10/16,3:04
19-Jan-2026,Australian Open,Hard,R128,52,50,Muller d. Alexei Popyrin [AUS],2-6 6-3 3-6 7-6(5) 7-6(4),0.88,3.2%,2.6%,72.1%,70.3%,53.5%,5/10,3:54
12-Jan-2026,Auckland,Hard,R32,50,60,(SE) Marcos Giron [USA] d. Muller,6-2 6-2,0.62,6.7%,6.7%,62.2%,64.3%,35.3%,1/5,1:13
05-Jan-2026,Hong Kong,Hard,R16,52,64,Marcos Giron [USA] d. (7) Muller,6-4 7-6(4),0.75,3.9%,2.6%,61.8%,59.6%,41.4%,5/9,1:36
05-Jan-2026,Hong Kong,Hard,R32,52,51,(7) Muller d. Miomir Kecmanovic [SRB],7-5 6-4,1.32,15.3%,3.4%,72.9%,76.7%,50.0%,3/5,1:17
02-Nov-2025,Athens,Hard,QF,43,9,(2) Lorenzo Musetti [ITA] d. (5) Muller,6-2 6-4,0.57,2.8%,1.4%,70.8%,54.9%,38.1%,7/11,1:21
02-Nov-2025,Athens,Hard,R16,43,60,(5) Muller d. Tomas Martin Etcheverry [ARG],6-7(2) 7-6(4) 7-6(3),0.87,9.2%,3.1%,68.5%,73.0%,61.0%,8/9,3:04
02-Nov-2025,Athens,Hard,R32,43,101,(5) Muller d. (Q) Jan Lennard Struff [GER],6-3 2-6 7-6(6),0.81,6.1%,2.6%,70.2%,62.5%,58.8%,8/11,2:09
27-Oct-2025,Paris Masters,Hard,R32,44,10,(9) Felix Auger Aliassime [CAN] d. Muller,5-7 7-6(5) 7-6(4),1.09,6.0%,4.3%,58.6%,79.4%,58.3%,4/5,3:04
27-Oct-2025,Paris Masters,Hard,R64,44,33,Muller d. Brandon Nakashima [USA],6-2 7-5,1.46,1.6%,4.8%,61.3%,71.1%,70.8%,2/2,1:31
20-Oct-2025,Basel,Hard,R32,44,55,(PR) Jenson Brooksby [USA] d. Muller,6-4 6-3,0.51,1.8%,3.6%,69.6%,71.8%,35.3%,0/3,1:07
