Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Houston,Clay,Q2,196,147,(2) Liam Draxl [CAN] d. (7) Galarneau,3-6 6-1 7-6(2),0.78,3.0%,6.0%,63.0%,47.6%,54.1%,2/7,2:42
30-Mar-2026,Houston,Clay,Q1,196,,(7) Galarneau d. (PR) Gabriel Debru [FRA],6-2 6-3,1.40,0.0%,3.0%,70.1%,68.1%,60.0%,8/9,1:32
23-Mar-2026,Morelia CH,Hard,QF,209,219,Luka Pavlovic [FRA] d. Galarneau,7-6(5) 4-6 7-6(5),1.11,4.0%,4.0%,58.4%,84.7%,50.0%,1/3,2:40
23-Mar-2026,Morelia CH,Hard,R16,209,150,Galarneau d. (7) Bu Yunchaokete [CHN],7-6(0) 6-4,1.23,6.3%,8.8%,61.3%,73.5%,51.6%,7/9,1:57
23-Mar-2026,Morelia CH,Hard,R32,209,563,Galarneau d. (Q) Miguel Tobon [COL],7-6(4) 2-6 6-3,1.07,7.1%,6.1%,63.6%,66.7%,63.9%,3/6,2:16
16-Mar-2026,Cuernavaca CH,Hard,R32,209,303,Rodrigo Pacheco Mendez [MEX] d. (4) Galarneau,6-3 6-0,0.51,0.0%,12.5%,52.5%,52.4%,31.6%,1/6,1:08
04-Mar-2026,Indian Wells Masters,Hard,R128,219,148,(WC) Gael Monfils [FRA] d. (Q) Galarneau,6-3 6-4,0.68,1.7%,10.0%,58.3%,54.3%,44.0%,4/8,1:22
04-Mar-2026,Indian Wells Masters,Hard,Q2,219,115,Galarneau d. (14) Tomas Barrios Vera [CHI],6-3 6-4,1.23,4.7%,9.4%,64.1%,75.6%,56.5%,1/1,1:37
04-Mar-2026,Indian Wells Masters,Hard,Q1,219,105,Galarneau d. (7) Luca Van Assche [FRA],7-6(6) 6-4,1.23,10.1%,7.2%,59.4%,80.5%,42.9%,3/5,2:00
16-Feb-2026,Metepec CH,Hard,F,230,237,(5) Borna Gojo [CRO] d. (4) Galarneau,6-1 6-4,0.79,4.4%,17.8%,55.6%,64.0%,45.0%,2/5,1:16
16-Feb-2026,Metepec CH,Hard,SF,230,252,(4) Galarneau d. (6) Andres Andrade [ECU],5-7 7-5 6-4,0.97,2.5%,11.9%,59.3%,71.4%,41.7%,9/13,2:40
16-Feb-2026,Metepec CH,Hard,QF,230,494,(4) Galarneau d. Edward Winter [AUS],5-7 7-5 7-5,1.09,1.8%,13.4%,64.3%,69.4%,32.5%,7/14,3:00
16-Feb-2026,Metepec CH,Hard,R16,230,475,(4) Galarneau d. (Q) Cannon Kingsley [USA],6-4 3-6 6-3,0.98,4.3%,7.4%,58.5%,74.5%,46.2%,1/3,1:55
16-Feb-2026,Metepec CH,Hard,R32,230,607,(4) Galarneau d. Nick Hardt [DOM],6-3 6-0,2.66,2.5%,7.5%,47.5%,89.5%,71.4%,0/0,0:56
09-Feb-2026,Baton Rouge CH,Hard,F,236,505,(Q) Stefan Dostanic [USA] d. (1) Galarneau,6-4 6-1,0.47,2.4%,14.6%,46.3%,47.4%,36.4%,0/4,1:05
09-Feb-2026,Baton Rouge CH,Hard,SF,236,361,(1) Galarneau d. Andre Ilagan [USA],6-3 6-2,1.43,3.3%,1.6%,65.6%,75.0%,42.9%,1/2,1:30
09-Feb-2026,Baton Rouge CH,Hard,QF,236,404,(1) Galarneau d. Daniel Milavsky [USA],6-4 6-4,1.21,6.6%,1.6%,60.7%,78.4%,54.2%,0/1,1:22
09-Feb-2026,Baton Rouge CH,Hard,R16,236,886,(1) Galarneau d. (JR) Jack Kennedy [USA],6-4 6-3,1.43,13.7%,3.9%,66.7%,79.4%,29.4%,2/5,1:10
09-Feb-2026,Baton Rouge CH,Hard,R32,236,811,(1) Galarneau d. (Q) Karlis Ozolins [LAT],7-5 6-3,1.47,7.3%,1.8%,58.2%,71.9%,69.6%,0/1,1:28
26-Jan-2026,Oeiras 2 CH,Hard,SF,214,209,Chris Rodesch [LUX] d. Galarneau,6-4 6-4,0.87,2.4%,7.2%,51.8%,53.5%,47.5%,11/16,1:48
26-Jan-2026,Oeiras 2 CH,Hard,QF,214,151,Galarneau d. (4) Jaime Faria [POR],7-5 7-6(4),1.05,2.9%,8.6%,61.9%,60.0%,57.5%,7/10,2:25
26-Jan-2026,Oeiras 2 CH,Hard,R16,214,193,Galarneau d. August Holmgren [DEN],6-4 4-6 7-5,0.99,0.0%,4.2%,52.6%,72.0%,55.6%,4/7,2:24
26-Jan-2026,Oeiras 2 CH,Hard,R32,214,187,Galarneau d. Jerome Kym [SUI],6-2 6-2,1.55,5.7%,11.3%,49.1%,76.9%,44.4%,2/4,1:10
