Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
5,Juan Antonio Marin [CRC],4,1,80.0%,1,0,1,0.0%,1999,2006,3,1.06,3.9%,3.9%,57.8%,65.5%,43.4%,56.2%,46.5%,61.5%,30.4%
4,Guillermo Canas [ARG],2,2,50.0%,2,1,1,50.0%,2001,2009,4,0.86,2.7%,2.7%,65.5%,68.3%,52.3%,62.7%,32.0%,42.1%,35.0%
4,Harel Levy [ISR],2,2,50.0%,1,1,0,100.0%,2001,2009,2,1.36,4.5%,5.2%,61.2%,80.5%,50.0%,68.7%,42.5%,75.0%,38.5%
4,Tomas Zib [CZE],4,0,100.0%,0,0,0,-,2001,2004,1,1.47,12.5%,1.8%,60.7%,79.4%,45.5%,66.1%,50.0%,83.3%,71.4%
4,Franco Squillari [ARG],1,3,25.0%,1,1,0,100.0%,2001,2002,3,0.87,9.1%,4.1%,56.4%,67.7%,48.8%,59.5%,35.2%,71.1%,35.0%
4,Cedric Pioline [FRA],1,3,25.0%,0,0,0,-,1998,2002,4,0.77,7.7%,4.0%,52.6%,65.9%,45.8%,56.3%,33.6%,69.2%,29.2%
4,Yevgeny Kafelnikov [RUS],0,4,0.0%,2,0,2,0.0%,2000,2001,4,0.64,6.2%,5.9%,48.5%,67.6%,43.3%,55.1%,29.0%,59.1%,57.1%
4,Marat Safin [RUS],4,0,100.0%,0,0,0,-,2000,2001,4,1.56,2.8%,4.1%,60.1%,77.1%,62.1%,71.1%,45.0%,66.7%,63.6%
3,Stefano Galvani [ITA],3,0,100.0%,1,0,1,0.0%,1999,2006,0,,,,,,,,,,
3,Karol Beck [SVK],1,2,33.3%,1,1,0,100.0%,2002,2004,1,1.13,5.9%,3.5%,69.4%,62.7%,61.5%,62.4%,42.6%,85.7%,42.9%
3,Gustavo Kuerten [BRA],0,3,0.0%,0,0,0,-,2000,2003,2,0.54,3.0%,2.3%,55.3%,49.3%,40.7%,45.5%,29.4%,65.6%,16.7%
3,Karim Alami [MAR],3,0,100.0%,2,2,0,100.0%,2000,2002,3,1.26,2.8%,2.8%,67.1%,71.0%,49.3%,63.9%,45.5%,50.0%,48.0%
3,Andrei Stoliarov [RUS],1,2,33.3%,0,0,0,-,2001,2002,1,0.68,6.3%,4.2%,58.3%,60.7%,40.0%,52.1%,32.8%,50.0%,0.0%
3,Wayne Ferreira [RSA],2,1,66.7%,4,2,2,50.0%,2001,2001,3,1.13,6.8%,4.7%,56.6%,80.2%,54.7%,69.2%,34.8%,84.6%,44.4%
3,Bohdan Ulihrach [CZE],1,2,33.3%,1,0,1,0.0%,2000,2001,2,0.68,4.5%,2.7%,54.1%,58.3%,47.1%,53.2%,31.7%,41.7%,37.5%
