Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
06-Oct-2025,Jinan CH,Hard,F,70,99,(1) Cazaux d. (6) Mackenzie Mcdonald [USA],6-3 6-2,1.58,8.5%,1.7%,59.3%,71.4%,62.5%,4/5,1:30
21-Jul-2025,Kitzbuhel,Clay,F,100,30,(1) Alexander Bublik [KAZ] d. Cazaux,6-4 6-3,0.76,11.5%,0.0%,52.5%,68.8%,48.3%,4/7,1:24
14-Oct-2024,Shenzhen Longhua CH,Hard,F,87,137,(5) Mackenzie Mcdonald [USA] d. (1) Cazaux,6-4 7-6(4),0.91,10.4%,1.5%,53.7%,77.8%,64.5%,1/2,1:47
01-Jan-2024,Noumea CH,Hard,F,130,210,(5) Cazaux d. Enzo Couacaud [FRA],6-1 6-1,2.98,25.6%,0.0%,61.5%,91.7%,60.0%,2/2,0:51
31-Jul-2023,Lexington CH,Hard,F,138,193,(2) Steve Johnson [USA] d. (1) Cazaux,7-6(5) 6-4,0.96,23.5%,1.5%,61.8%,78.6%,57.7%,4/5,1:47
12-Jun-2023,Nottingham CH,Grass,F,181,44,(1) Andy Murray [GBR] d. (Q) Cazaux,6-4 6-4,0.65,4.5%,0.0%,59.1%,71.8%,40.7%,1/4,1:45
16-Jan-2023,Nonthaburi 3 CH,Hard,F,265,261,Sho Shimabukuro [JPN] d. (Q) Cazaux,6-2 7-5,0.43,11.0%,2.7%,57.5%,66.7%,45.2%,7/10,1:22
09-Jan-2023,Nonthaburi 2 CH,Hard,F,382,212,(Q) Cazaux d. (2) Lloyd Harris [RSA],7-6(5) 6-2,1.60,11.1%,3.2%,60.3%,86.8%,56.0%,3/3,1:34
05-Sep-2022,Nonthaburi 3 CH,Hard,F,432,464,(Q) Stuart Parker [GBR] d. Cazaux,6-4 4-1 RET,0.67,8.8%,3.5%,61.4%,77.1%,18.2%,4/7,1:39
29-Aug-2022,Nonthaburi 2 CH,Hard,F,432,367,(Q) Cazaux d. (Alt) Omar Jasika [AUS],7-6(6) 6-4,1.29,20.3%,5.4%,63.5%,83.0%,44.4%,1/2,2:00
