Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Wimbledon R128,L vs Khachanov,38,38,1.0,15.5%,15.5%,34,33,1.0,15.7%,15.2%,10.1%,4.6%,1.3,15.9%,12.7%
2023 Tokyo F,L vs Shelton,9,19,0.5,8.0%,16.8%,7,15,0.5,6.8%,14.6%,5.8%,1.0%,1.5,17.7%,11.5%
2023 US Open R32,L vs Shelton,31,33,0.9,16.2%,17.3%,29,18,1.6,20.1%,12.5%,14.6%,4.2%,2.5,19.9%,7.9%
2023 US Open R64,W vs Carballes Baena,83,54,1.5,32.8%,21.3%,73,40,1.8,32.2%,17.6%,22.5%,8.4%,1.3,4.0%,3.2%
2023 US Open R128,W vs Lehecka,32,25,1.3,19.6%,15.3%,24,24,1.0,16.4%,16.4%,10.3%,4.1%,0.7,12.3%,17.8%
2023 Wimbledon R64,L vs Rublev,32,52,0.6,12.2%,19.8%,24,47,0.5,10.2%,19.9%,6.8%,2.1%,1.1,13.0%,12.2%
2023 Wimbledon R128,W vs Van Assche,57,60,1.0,20.1%,21.2%,46,52,0.9,18.3%,20.6%,13.5%,4.4%,0.7,8.5%,12.0%
2023 Madrid Masters SF,L vs Struff,30,22,1.4,16.3%,12.0%,27,18,1.5,17.2%,11.5%,10.2%,6.4%,1.3,16.8%,13.0%
2023 Madrid Masters R16,W vs Medvedev,26,23,1.1,20.8%,18.4%,24,23,1.0,20.2%,19.3%,14.3%,5.9%,0.7,6.4%,8.8%
2023 Rotterdam R32,L vs Dimitrov,10,24,0.4,12.8%,30.8%,9,22,0.4,13.4%,32.8%,6.0%,3.0%,1.6,28.2%,17.9%
2023 Australian Open R128,L vs Dimitrov,32,57,0.6,16.0%,28.5%,22,46,0.5,13.8%,28.7%,3.8%,6.3%,2.2,15.5%,7.0%
2023 Pune SF,L vs Griekspoor,17,27,0.6,15.2%,24.1%,14,22,0.6,15.4%,24.2%,7.7%,6.6%,3.7,23.2%,6.3%
2022 Paris Masters R64,L vs Nishioka,41,38,1.1,29.7%,27.5%,31,33,0.9,26.5%,28.2%,8.5%,12.8%,2.7,19.6%,7.2%
2022 Basel R32,L vs Bublik,20,22,0.9,16.7%,18.3%,16,19,0.8,16.3%,19.4%,5.1%,2.0%,1.6,33.3%,20.8%
2022 Tel Aviv R32,L vs Etcheverry,37,57,0.6,20.1%,31.0%,27,52,0.5,16.8%,32.3%,11.8%,5.0%,0.7,8.2%,11.4%
2022 US Open R128,L vs Fognini,25,61,0.4,8.5%,20.8%,21,57,0.4,8.2%,22.2%,5.8%,1.6%,0.5,10.2%,20.8%
2022 Canada Masters R64,L vs Cressy,26,27,1.0,22.2%,23.1%,23,24,1.0,25.6%,26.7%,8.9%,5.6%,1.5,27.4%,18.8%
2022 Hamburg R32,W vs Basilashvili,26,6,4.3,30.6%,7.1%,22,5,4.4,30.1%,6.8%,5.5%,9.6%,0.6,18.8%,29.4%
2022 Roland Garros R128,L vs Ugo Carabelli,51,97,0.5,16.3%,31.1%,48,89,0.5,16.5%,30.6%,13.7%,2.7%,0.5,7.7%,15.1%
2022 Rome Masters R32,L vs Djokovic,25,41,0.6,21.9%,36.0%,21,37,0.6,20.4%,35.9%,10.7%,3.9%,1.2,17.5%,14.9%
Career (55 matches),,1794,2132,0.8,18.0%,21.4%,1552,1911,0.8,17.7%,21.8%,9.1%,4.7%,0.8,11.3%,13.4%
