Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Segovia CH R16,L vs Rola,1.00,0.58,40.9,3.2,-,55.2%,-,48.3%,35.7%,19.2%
2019 M25 Porto R16,L vs Rodrigues,1.04,0.78,63.5,2.1,-,52.4%,-,53.8%,25.0%,45.9%
2019 M15 Idanha a Nova QF,L vs Jorda Sanchis,0.85,0.52,41.6,2.3,-,51.9%,-,64.0%,23.3%,29.2%
2019 M15 Idanha a Nova R16,W vs Roglan,1.14,1.24,69.3,2.6,-,59.6%,-,76.2%,36.2%,34.9%
2019 M15 Idanha a Nova R32,W vs Canter,1.23,1.40,55.8,2.3,-,72.2%,-,64.7%,33.3%,38.5%
2019 M25 Bakio R16,L vs Vivero Gonzalez,1.03,0.64,48.1,3.0,-,46.4%,-,42.3%,33.3%,36.4%
2019 Fergana CH R16,L vs Sultanov,0.81,0.82,55.0,4.2,-,57.5%,-,62.9%,40.9%,39.5%
2019 M15 Plovdiv SF,L vs Mridha,1.06,0.84,58.2,19.5,-,52.8%,-,54.9%,36.8%,36.4%
2019 M15 Plovdiv QF,W vs Tyurnev,1.29,1.42,31.6,2.4,-,60.7%,-,64.7%,40.6%,42.1%
2019 Puerto Vallarta CH R64,L vs King,0.91,0.63,42.8,2.2,0.0%,38.5%,0.0%,40.9%,50.0%,33.3%
2019 Leon CH R32,L vs Ward,0.74,0.64,42.5,2.3,21.4%,71.4%,0.0%,53.8%,38.2%,25.0%
2019 Leon CH R64,W vs Franco Descotte,1.75,2.47,30.5,2.0,21.4%,71.4%,15.4%,76.9%,33.3%,40.0%
2019 San Luis Potosi CH R64,L vs Seyboth Wild,1.06,0.70,56.9,2.0,5.9%,64.7%,0.0%,70.4%,16.1%,27.6%
2019 Sophia Antipolis CH R64,L vs Brown,0.89,0.64,47.9,2.4,0.0%,50.0%,0.0%,57.7%,29.4%,37.5%
2019 St. Brieuc CH R32,L vs Majchrzak,0.94,0.63,62.3,2.1,21.6%,67.6%,9.4%,62.5%,26.5%,20.0%
2019 St. Brieuc CH R64,W vs Furness,1.18,1.44,50.0,2.7,8.1%,62.2%,5.9%,67.6%,51.5%,34.4%
2019 Zhangjiagang CH R64,L vs Mukund,1.08,0.55,41.1,2.6,0.0%,40.9%,0.0%,36.8%,34.8%,26.3%
2019 Shenzhen CH SF,L vs Baghdatis,0.87,0.65,46.4,2.2,0.0%,66.7%,3.4%,41.4%,35.5%,32.1%
2019 Shenzhen CH QF,W vs Polmans,1.38,3.10,25.9,2.0,8.3%,75.0%,10.0%,80.0%,50.0%,52.2%
2019 Shenzhen CH R16,W vs Otte,1.31,1.19,69.9,3.6,7.4%,68.5%,4.1%,57.1%,28.9%,38.9%
2019 (34 matches),,1.09,0.99,53.7,2.6,8.6%,61.1%,4.9%,62.3%,34.1%,35.7%
2018 (1 matches),,0.88,0.68,51.3,3.0,6.1%,51.5%,3.2%,64.5%,32.4%,32.4%
2016 (2 matches),,1.02,0.61,42.2,2.1,0.0%,44.4%,0.0%,42.4%,40.7%,26.9%
2015 (1 matches),,1.15,0.58,44.2,2.3,0.0%,40.7%,0.0%,41.7%,20.8%,39.1%
Career (38 matches),,1.09,0.95,52.9,2.6,7.8%,59.7%,4.4%,61.0%,34.1%,35.3%
