Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2017 Halle Q1,L vs Youzhny,0% (0/10),- (0/0),0/2,33% (3/9),33% (1/3),0/0,0/0,2/2,0/0,1/1
2017 s Hertogenbosch Q1,L vs Tsitsipas,24% (4/17),50% (2/4),0/4,31% (5/16),20% (1/5),2/2,0/0,1/1,0/0,0/0
2017 Houston Q2,L vs Gonzalez,11% (1/9),0% (0/1),0/3,75% (6/8),50% (3/6),0/0,0/0,1/1,0/0,0/0
2017 Houston Q1,W vs Andreozzi,67% (6/9),100% (6/6),1/2,22% (2/9),0% (0/2),4/6,2/2,1/1,1/1,0/0
2017 Miami R128,L vs Mannarino,0% (0/11),- (0/0),0/1,10% (1/10),0% (0/1),0/0,0/0,1/1,0/0,1/1
2017 Irving CH R16,L vs Rublev,33% (3/9),0% (0/3),0/3,44% (4/9),25% (1/4),0/0,0/0,1/1,0/0,1/1
2017 Irving CH R32,W vs Giraldo,30% (3/10),100% (3/3),0/0,0% (0/10),- (0/0),1/1,0/0,0/0,0/0,0/0
2017 Delray Beach Q2,L vs Santillan,38% (3/8),33% (1/3),0/5,71% (5/7),0% (0/5),0/1,0/0,0/0,0/0,0/0
2017 Delray Beach Q1,W vs Bester,50% (7/14),86% (6/7),1/2,14% (2/14),0% (0/2),4/5,1/1,2/2,0/0,0/0
2017 Memphis R32,L vs Kukushkin,33% (3/9),67% (2/3),0/3,50% (5/10),0% (0/5),0/2,0/0,2/4,0/0,1/2
2017 Memphis Q1,W vs Mektic,44% (4/9),75% (3/4),0/0,22% (2/9),100% (2/2),2/2,1/1,0/0,1/1,0/0
2017 Quito R32,L vs Giraldo,40% (4/10),50% (2/4),0/2,50% (5/10),20% (1/5),2/2,0/0,0/2,0/0,0/1
2017 Dallas CH R32,L vs Sarmiento,33% (4/12),50% (2/4),1/2,42% (5/12),20% (1/5),2/2,0/0,3/5,0/0,2/3
2016 Ortisei CH R16,L vs Sonego,0% (0/10),- (0/0),0/2,56% (5/9),60% (3/5),0/0,0/0,0/0,0/0,0/0
2016 Ortisei CH R32,W vs Dubail,56% (5/9),100% (5/5),0/1,38% (3/8),67% (2/3),4/4,1/1,0/0,0/0,0/0
2016 Vienna R32,L vs Tsonga,0% (0/10),- (0/0),0/2,56% (5/9),60% (3/5),0/0,0/0,2/2,0/0,1/1
2016 Vienna Q2,W vs Sugita,30% (3/10),100% (3/3),1/2,36% (4/11),50% (2/4),2/3,1/2,1/1,1/1,0/0
2016 Vienna Q1,W vs Rosol,28% (5/18),60% (3/5),0/3,28% (5/18),20% (1/5),2/3,0/1,2/2,0/0,1/1
2016 Stockholm R32,L vs Zopp,10% (1/10),0% (0/1),0/2,44% (4/9),50% (2/4),0/0,0/0,2/2,0/0,1/1
2016 Monterrey CH SF,L vs Escobedo,17% (2/12),100% (2/2),0/3,31% (4/13),0% (0/4),1/1,0/0,0/1,0/0,0/1
2017 (13 matches),,30.7%,64.3%,10.3%,33.8%,22.2%,73.9%,100.0%,70.0%,100.0%,66.7%
2016 (51 matches),,34.2%,69.5%,16.5%,32.3%,29.0%,80.0%,82.6%,75.0%,80.0%,81.0%
2015 (30 matches),,25.7%,63.7%,6.8%,32.0%,38.6%,86.2%,88.2%,73.3%,81.8%,46.2%
2014 (45 matches),,27.8%,65.4%,13.8%,34.2%,35.1%,83.5%,86.5%,80.0%,83.3%,66.7%
2013 (59 matches),,27.6%,65.8%,13.5%,30.4%,31.2%,83.0%,78.3%,80.2%,94.1%,80.0%
Career (243 matches),,29.3%,65.9%,13.9%,32.4%,32.5%,82.3%,83.3%,76.8%,85.0%,71.3%
