Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,15,5,10,33.3%,9,4,5,44.4%,2007,2017,R32,14,0.84,10.0%,3.5%,54.9%,71.8%,50.3%,62.1%,31.8%,49.2%,48.3%
Roland Garros,10,Clay,14,4,10,28.6%,4,1,3,25.0%,2006,2017,R32,9,0.74,7.0%,2.9%,59.2%,67.0%,45.2%,58.1%,31.0%,51.5%,31.7%
Wimbledon,11,Grass,22,11,11,50.0%,13,5,8,38.5%,2006,2017,R64,17,0.96,12.6%,3.8%,62.4%,77.1%,48.5%,66.3%,32.2%,66.4%,43.7%
US Open,9,Hard,17,8,9,47.1%,8,6,2,75.0%,2006,2016,R16,14,0.87,8.8%,5.4%,52.7%,71.2%,48.7%,60.5%,34.5%,54.0%,37.4%
Davis Cup,3,,5,1,4,20.0%,3,3,0,100.0%,2007,2015,,0,,,,,,,,,,
Miami Masters,11,Hard,27,15,12,55.6%,9,4,5,44.4%,2007,2017,R16,25,1.01,9.1%,3.9%,54.8%,73.0%,49.2%,62.2%,38.3%,51.0%,42.4%
Memphis,10,Hard,21,10,11,47.6%,8,4,4,50.0%,2007,2017,SF,20,1.01,10.0%,4.3%,56.5%,74.4%,51.1%,64.3%,35.9%,60.8%,33.3%
Halle,9,Grass,19,10,9,52.6%,7,4,3,57.1%,2006,2017,SF,19,1.03,13.4%,3.5%,57.4%,77.0%,51.3%,66.0%,35.0%,67.8%,32.5%
Delray Beach,9,Hard,19,10,9,52.6%,9,4,5,44.4%,2007,2017,SF,15,0.99,7.3%,4.2%,53.0%,71.6%,50.1%,61.5%,38.0%,60.6%,38.9%
Indian Wells Masters,9,Hard,11,2,9,18.2%,5,0,5,0.0%,2007,2017,R64,9,0.90,9.4%,4.9%,52.7%,76.1%,45.0%,61.4%,34.8%,51.9%,35.7%
s Hertogenbosch,8,Grass,25,18,7,72.0%,14,9,5,64.3%,2007,2017,W,23,1.17,13.2%,3.4%,59.8%,79.3%,53.3%,68.8%,36.5%,64.1%,38.0%
