Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,1,2,33.3%,5-5,50.0%,49-53,48.0%,1-1,50.0%,3,77.6%,19.6%,4.8%,1.4%,70.0%,67.8%,53.4%,63.5%,37.4%,49.4%,1.02,R64 (Indian Wells Masters)
2025,33,14,19,42.4%,45-50,47.4%,467-485,49.1%,8-7,53.3%,33,80.4%,17.1%,6.0%,2.5%,63.8%,70.4%,52.5%,63.9%,34.9%,49.7%,0.97,QF (2x)
2024,13,6,7,46.2%,14-17,45.2%,154-169,47.7%,5-4,55.6%,13,76.9%,18.4%,8.4%,2.0%,64.2%,71.2%,52.0%,64.3%,35.5%,49.5%,0.99,W (Metz)
2023,32,15,17,46.9%,40-42,48.8%,416-419,49.8%,9-10,47.4%,31,80.3%,19.4%,8.5%,3.0%,61.7%,72.4%,50.9%,64.2%,35.6%,49.9%,0.99,F (2x)
2022,47,21,26,44.7%,56-57,49.6%,582-548,51.5%,8-13,38.1%,43,83.3%,20.2%,8.0%,3.2%,60.4%,73.9%,53.2%,65.7%,36.2%,50.9%,1.05,SF (2x)
2021,9,2,7,22.2%,10-17,37.0%,126-143,46.8%,2-3,40.0%,9,75.4%,18.3%,8.3%,2.5%,60.5%,67.7%,47.4%,59.7%,35.9%,48.2%,0.89,R16 (Montpellier)
2020,4,2,2,50.0%,5-6,45.5%,52-49,51.5%,0-0,-,4,72.5%,30.0%,5.7%,1.9%,57.1%,69.1%,45.6%,59.0%,40.2%,49.9%,0.98,R32 (Paris Masters)
2018,1,0,1,0.0%,1-3,25.0%,19-23,45.2%,0-1,0.0%,1,76.2%,19.0%,9.5%,4.3%,59.5%,72.5%,51.1%,63.8%,33.3%,47.8%,0.92,R128 (Wimbledon)
2017,2,1,1,50.0%,2-4,33.3%,21-30,41.2%,0-0,-,2,64.3%,22.2%,3.2%,3.2%,55.9%,64.8%,43.4%,55.3%,35.8%,46.0%,0.80,R64 (Roland Garros)
Career,144,62,82,43.1%,178-201,47.0%,1886-1919,49.6%,33-39,45.8%,139,80.0%,19.2%,7.4%,2.7%,62.0%,71.5%,51.5%,63.9%,35.8%,49.9%,0.99,
