Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 US Open R128,L vs Norrie,1.19,0.56,32.3,2.0,2.4%,48.8%,2.6%,42.1%,33.3%,17.6%
2022 Canada R64,L vs Nishioka,0.89,0.68,53.3,2.1,18.5%,63.0%,22.2%,51.9%,40.0%,24.2%
2022 Washington R32,L vs Rune,0.79,0.58,38.2,2.1,14.3%,57.1%,12.0%,56.0%,23.5%,40.6%
2022 Washington R64,W vs Gojowczyk,1.18,1.56,49.6,2.9,15.2%,69.7%,6.9%,72.4%,40.0%,36.4%
2022 Wimbledon R128,L vs Halys,0.90,0.66,33.1,3.3,10.2%,64.4%,3.8%,54.7%,25.0%,34.0%
2022 Geneva R16,L vs Ruud,0.97,0.55,41.7,2.7,4.5%,36.4%,0.0%,47.4%,28.0%,39.1%
2022 Monte Carlo R64,L vs Musetti,1.04,0.82,60.9,2.1,0.0%,57.7%,2.0%,46.9%,39.1%,35.7%
2022 Acapulco R32,L vs Medvedev,1.04,0.74,52.0,2.4,5.1%,53.8%,5.3%,44.7%,26.5%,46.7%
2021 US Open R128,L vs Lajovic,0.93,0.81,39.5,2.2,17.4%,63.8%,4.7%,51.6%,36.1%,36.8%
2021 Cincinnati QF,L vs Rublev,0.94,0.71,64.0,2.4,15.2%,71.7%,4.7%,48.8%,31.6%,27.8%
2021 Gstaad QF,L vs Ruud,1.01,0.71,52.6,2.0,27.7%,63.8%,6.8%,61.4%,27.9%,25.0%
2021 Wimbledon R128,L vs Schwartzman,1.11,0.56,31.1,2.1,8.3%,47.9%,6.7%,53.3%,22.9%,27.3%
2021 Queen's Club R32,L vs Murray,0.70,0.50,37.1,2.0,4.3%,69.6%,4.8%,42.9%,29.6%,32.0%
2021 Roland Garros R128,L vs Ruud,1.03,0.87,51.5,4.7,7.7%,61.5%,3.3%,53.3%,36.2%,34.8%
2021 Madrid R32,L vs Tsitsipas,1.04,0.54,40.8,2.2,4.8%,38.1%,0.0%,42.9%,24.0%,40.0%
2021 Madrid R64,W vs Basilashvili,1.20,1.35,58.0,2.0,15.8%,57.9%,22.9%,65.7%,35.3%,51.5%
2021 Acapulco R32,L vs Tsitsipas,0.76,0.45,27.6,2.1,12.5%,62.5%,3.4%,34.5%,29.6%,30.4%
2021 Australian Open R128,L vs Gerasimov,0.94,0.88,57.5,3.6,17.9%,51.3%,9.5%,54.1%,50.0%,38.8%
2020 Roland Garros R64,L vs Coria,0.90,0.78,39.0,3.0,6.6%,60.7%,7.3%,47.3%,42.0%,36.9%
2020 Roland Garros R128,W vs Kwon,1.10,1.26,39.7,2.2,14.3%,59.2%,10.9%,60.9%,47.4%,44.2%
2022 (8 matches),,1.01,0.73,45.0,2.4,8.0%,57.5%,6.1%,51.4%,31.9%,33.9%
2021 (10 matches),,0.97,0.77,47.9,2.3,14.3%,59.1%,6.9%,52.3%,34.9%,34.9%
2020 (8 matches),,1.07,1.11,57.2,3.0,10.2%,62.2%,10.0%,58.5%,42.1%,40.0%
2019 (47 matches),,1.05,1.08,56.2,3.0,10.8%,63.4%,9.3%,61.6%,37.0%,40.3%
2018 (58 matches),,1.03,1.01,55.1,2.8,11.0%,62.2%,9.3%,59.0%,37.5%,39.2%
Career (462 matches),,1.04,1.02,53.9,2.8,9.0%,62.0%,7.3%,60.0%,37.5%,39.1%
