Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 Barcelona Q1,L vs Garcia Lopez,40% (4/10),75% (3/4),1/4,67% (6/9),17% (1/6),1/3,0/0,0/1,0/0,0/0
2019 Marrakech R32,L vs Londero,33% (3/9),33% (1/3),1/2,44% (4/9),0% (0/4),1/1,0/0,0/2,0/0,0/1
2019 Marrakech Q2,L vs Sonego,18% (2/11),50% (1/2),1/3,27% (3/11),0% (0/3),1/1,0/0,1/1,0/0,0/0
2019 Marrakech Q1,W vs Moundir,75% (6/8),83% (5/6),0/0,29% (2/7),100% (2/2),3/3,0/0,0/0,0/0,0/0
2019 Villena CH R32,L vs Domingues,10% (1/10),100% (1/1),0/3,50% (5/10),40% (2/5),0/1,0/0,1/1,0/0,0/0
2019 Sao Paulo Q2,L vs Sakamoto,36% (4/11),25% (1/4),0/2,36% (4/11),50% (2/4),1/1,0/0,4/4,0/0,1/1
2019 Sao Paulo Q1,W vs Moroni,54% (7/13),86% (6/7),2/5,46% (6/13),0% (0/6),2/4,0/0,0/1,0/0,0/0
2019 Rio de Janeiro R32,L vs Ruud,25% (2/8),0% (0/2),0/4,57% (4/7),0% (0/4),0/0,0/0,1/1,0/0,1/1
2019 Rio de Janeiro Q2,L vs Dellien,40% (4/10),75% (3/4),2/4,55% (6/11),17% (1/6),2/3,0/0,3/4,0/0,3/3
2019 Rio de Janeiro Q1,W vs Rodrigues,63% (5/8),80% (4/5),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,1/1,0/0
2019 Buenos Aires Q1,L vs Arevalo,33% (3/9),33% (1/3),0/3,50% (5/10),20% (1/5),0/1,0/0,0/1,0/0,0/1
2019 Cordoba R32,L vs Jaziri,40% (6/15),83% (5/6),0/5,44% (7/16),14% (1/7),3/5,1/3,1/2,0/1,1/1
2018 Buenos Aires CH R32,L vs Vilella Martinez,42% (5/12),100% (5/5),2/6,58% (7/12),14% (1/7),1/4,0/0,1/1,0/0,0/0
2018 Montevideo CH F,L vs Pella,54% (7/13),43% (3/7),1/5,42% (5/12),0% (0/5),1/3,1/2,0/0,0/0,0/0
2018 Montevideo CH SF,W vs Vilella Martinez,63% (5/8),60% (3/5),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2018 Montevideo CH QF,W vs Arguello,27% (4/15),100% (4/4),0/3,33% (5/15),40% (2/5),2/3,1/3,0/0,0/1,0/0
2018 Montevideo CH R16,W vs Lorenzi,47% (7/15),100% (7/7),2/5,43% (6/14),17% (1/6),4/5,0/1,0/0,0/1,0/0
2018 Montevideo CH R32,W vs Bagnis,100% (7/7),71% (5/7),0/0,14% (1/7),100% (1/1),5/5,2/2,0/0,1/1,0/0
2018 Guayaquil CH R32,L vs Andreozzi,40% (4/10),100% (4/4),1/5,70% (7/10),14% (1/7),0/3,0/1,0/1,0/0,0/1
2018 Santo Domingo CH SF,L vs Garin,38% (6/16),83% (5/6),1/6,53% (8/15),25% (2/8),3/4,0/1,2/2,0/1,1/1
2019 (12 matches),,38.5%,66.0%,20.0%,43.4%,20.8%,65.4%,50.0%,61.1%,50.0%,75.0%
2018 (44 matches),,42.2%,78.0%,31.5%,41.5%,32.5%,75.2%,66.0%,68.1%,58.8%,64.7%
2017 (54 matches),,40.6%,68.1%,22.6%,38.5%,25.6%,74.7%,78.6%,71.6%,76.0%,68.2%
2016 (52 matches),,51.8%,77.9%,38.3%,35.4%,31.6%,79.9%,83.1%,65.8%,85.7%,58.3%
2015 (32 matches),,48.7%,74.7%,38.2%,36.3%,34.9%,79.8%,83.3%,69.6%,73.3%,66.7%
Career (322 matches),,43.1%,72.9%,28.5%,38.2%,30.0%,76.3%,76.9%,68.1%,76.4%,65.1%
