Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2000 Monte Carlo F,W vs Hrbaty,64% (14/22),50% (4/8),3/6,1/2,70% (7/10),0/0,0/0,67% (8/12),58% (7/12)
2000 Monte Carlo SF,W vs Alami,80% (8/10),40% (4/10),2/4,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
1999 US Open SF,L vs Martin,60% (6/10),17% (1/6),0/0,0/0,33% (3/9),2/5,0/1,- (0/0),- (0/0)
1999 US Open QF,W vs Kuerten,81% (21/26),25% (1/4),3/11,1/1,75% (6/8),6/7,0/0,81% (25/31),29% (9/31)
1998 Roland Garros SF,L vs Corretja,40% (8/20),8% (1/12),0/0,0/0,50% (6/12),2/5,0/1,- (0/0),- (0/0)
1998 Roland Garros R16,W vs Safin,86% (25/29),67% (4/6),3/3,1/1,60% (3/5),2/4,0/0,33% (2/6),50% (3/6)
1998 Monte Carlo F,L vs Moya,67% (4/6),57% (4/7),0/0,0/0,55% (11/20),2/5,1/2,- (0/0),- (0/0)
1998 Monte Carlo SF,W vs Berasategui,50% (7/14),56% (5/9),2/3,1/1,46% (6/13),2/3,2/2,50% (3/6),67% (4/6)
1997 Wimbledon F,L vs Sampras,71% (10/14),0% (0/1),0/0,0/0,50% (4/8),0/3,0/1,- (0/0),- (0/0)
1997 Wimbledon SF,W vs Stich,69% (24/35),36% (5/14),3/5,1/1,89% (8/9),5/7,0/0,25% (1/4),20% (1/5)
1996 Monte Carlo SF,L vs Muster,67% (4/6),40% (2/5),0/0,0/0,38% (3/8),2/4,0/1,- (0/0),- (0/0)
1996 Marseille F,L vs Forget,55% (6/11),60% (3/5),0/0,0/0,64% (9/14),3/5,2/3,- (0/0),- (0/0)
1993 US Open F,L vs Sampras,64% (9/14),67% (2/3),0/0,0/0,45% (5/11),1/4,1/2,- (0/0),- (0/0)
1993 US Open SF,W vs Masur,51% (19/37),31% (5/16),3/7,1/1,100% (7/7),0/1,0/0,70% (7/10),33% (3/9)
1993 Monte Carlo F,L vs Bruguera,50% (4/8),100% (2/2),0/0,0/0,71% (12/17),6/8,0/1,50% (2/4),0% (0/5)
1993 Monte Carlo SF,W vs Edberg,89% (8/9),33% (4/12),2/5,1/4,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2000 (2 matches),,68.8%,44.4%,50.0%,66.7%,76.9%,-,-,66.7%,58.3%
1999 (2 matches),,75.0%,20.0%,27.3%,100.0%,52.9%,66.7%,0.0%,80.6%,29.0%
1998 (4 matches),,63.8%,41.2%,83.3%,100.0%,52.0%,47.1%,60.0%,41.7%,58.3%
1997 (2 matches),,69.4%,33.3%,60.0%,100.0%,70.6%,50.0%,0.0%,25.0%,20.0%
1996 (2 matches),,58.8%,50.0%,-,-,54.5%,55.6%,50.0%,-,-
Career (16 matches),,65.3%,39.2%,47.7%,66.7%,59.9%,54.1%,42.9%,65.8%,36.5%
