Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
18-Aug-2025,Augsburg CH,Clay,F,660,314,(PR) Stebe d. (8) Alexander Ritschard [SUI],6-3 6-3,1.23,5.0%,8.3%,51.7%,74.2%,44.8%,1/3,1:37
23-Jun-2025,M15 Kamen,Clay,F,1241,466,Stebe d. Jakub Nicod [CZE],3-6 6-4 5-3,0.87,1.8%,3.5%,64.0%,60.3%,39.0%,13/18,2:38
29-Aug-2022,Como CH,Clay,F,233,146,Stebe d. (3) Francesco Passaro [ITA],7-6(2) 6-4,1.22,1.6%,0.0%,58.1%,58.3%,65.4%,3/7,1:37
02-Nov-2020,Parma CH,Hard,F,141,202,(7) Stebe d. Liam Broady [GBR],6-4 6-4,2.04,4.0%,0.0%,68.0%,79.4%,81.3%,0/0,1:36
22-Jul-2019,Gstaad,Clay,F,455,85,Albert Ramos [ESP] d. (PR) Stebe,6-3 6-2,0.69,0.0%,1.7%,63.8%,51.4%,52.4%,3/7,1:21
18-Sep-2017,Sibiu CH,Clay,F,90,226,(1) Stebe d. Carlos Taberner [ESP],6-3 6-3,1.42,4.9%,3.3%,54.1%,78.8%,42.9%,8/10,1:31
14-Aug-2017,Vancouver CH,Hard,F,128,79,Stebe d. (2) Jordan Thompson [AUS],6-0 6-1,2.08,2.5%,0.0%,52.5%,66.7%,63.2%,1/2,0:54
03-Jul-2017,Marburg CH,Clay,F,167,180,Filip Krajinovic [SRB] d. Stebe,6-2 6-3,0.66,2.0%,4.0%,50.0%,44.0%,40.0%,0/6,1:16
19-Jun-2017,Poprad-Tatry CH,Clay,F,215,121,Stebe d. (3) Laslo Djere [SRB],6-0 6-3,1.44,0.0%,4.6%,55.4%,58.3%,65.5%,8/9,1:19
09-Sep-2013,Meknes CH,Clay,F,206,338,(3) Stebe d. Yannik Reuter [BEL],6-1 4-6 6-2,1.32,1.0%,0.0%,82.2%,59.0%,44.4%,10/14,2:25
