Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,5,1,4,20.0%,4,1,3,25.0%,2022,2026,R128,5,0.85,2.6%,4.1%,56.6%,71.9%,49.2%,62.1%,32.4%,62.2%,23.7%
Roland Garros,3,Clay,7,4,3,57.1%,2,2,0,100.0%,2022,2025,R128,7,1.06,2.3%,3.0%,67.4%,63.5%,52.0%,59.7%,42.6%,56.4%,32.5%
Wimbledon,4,Grass,4,0,4,0.0%,2,0,2,0.0%,2019,2025,R128,4,0.75,4.3%,4.3%,61.7%,69.4%,43.8%,59.6%,30.3%,59.5%,30.0%
US Open,3,Hard,4,1,3,25.0%,5,1,4,20.0%,2022,2025,R128,4,0.85,3.2%,7.9%,50.9%,67.1%,45.5%,56.5%,37.0%,66.0%,42.9%
Davis Cup,5,,10,4,6,40.0%,2,0,2,0.0%,2018,2025,,4,1.13,3.0%,2.6%,56.9%,78.0%,52.0%,66.8%,37.4%,73.9%,55.0%
Miami Masters,3,Hard,6,3,3,50.0%,4,3,1,75.0%,2019,2026,R64,6,1.04,7.0%,3.3%,61.4%,75.8%,54.8%,67.7%,33.6%,57.1%,33.3%
Indian Wells Masters,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2022,2026,R128,5,0.85,3.2%,5.2%,59.9%,63.2%,44.4%,55.7%,37.7%,41.9%,40.9%
Rio de Janeiro,2,Clay,6,4,2,66.7%,5,1,4,20.0%,2025,2026,QF,6,1.06,5.3%,4.5%,59.5%,69.4%,45.8%,59.8%,42.6%,65.5%,44.6%
Shanghai Masters,3,Hard,6,3,3,50.0%,1,1,0,100.0%,2023,2025,R64,6,0.95,7.6%,3.5%,61.8%,73.0%,50.3%,64.3%,33.8%,59.5%,37.1%
Winston-Salem,2,Hard,3,1,2,33.3%,2,1,1,50.0%,2022,2025,R32,3,0.88,6.1%,3.4%,54.4%,68.5%,52.5%,61.2%,34.3%,69.2%,25.0%
Umag,2,Clay,6,3,3,50.0%,0,0,0,-,2024,2025,QF,6,1.06,4.2%,1.8%,55.2%,68.8%,56.3%,63.2%,39.0%,57.6%,45.2%
