Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1250,7,,,,,,,,,,,,
2025,350,141,201,1564,180,1535,260,1434,186,1457,,,,
2024,188,307,173,1595,150,1569,243,1444,181,1477,,,,
2023,87,699,100,1693,78,1674,182,1512,133,1521,,,,
2022,65,760,82,1733,63,1712,164,1554,95,1573,,,,
2021,228,280,204,1554,157,1547,204,1478,212,1419,,,,
2020,225,255,215,1485,216,1444,190,1466,,,,,,
2019,204,246,210,1538,226,1469,170,1516,200,1421,,,,
2018,151,357,156,1598,146,1562,221,1467,173,1465,428,50,,
2017,316,153,301,1406,299,1356,275,1376,,,373,147,,
2016,165,352,214,1515,253,1409,175,1512,193,1429,1004,28,,
2015,289,174,242,1469,265,1396,217,1454,,,707,69,,
2014,456,83,,,,,,,,,664,68,,
2013,459,82,,,,,,,,,,,,
2012,1383,3,,,,,,,,,1415,8,,
