Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,94,36,58,38.3%,108-152,41.5%,1196-1348,47.0%,17-26,39.5%,87,75.5%,19.2%,6.0%,4.0%,61.0%,70.2%,49.9%,62.3%,35.1%,48.7%,0.93
Clay,153,91,62,59.5%,215-170,55.8%,1954-1814,51.9%,37-27,57.8%,143,75.3%,27.4%,4.5%,3.7%,61.9%,68.6%,49.3%,61.2%,40.0%,50.5%,1.03
Grass,21,10,11,47.6%,34-36,48.6%,345-352,49.5%,6-7,46.2%,21,79.5%,20.1%,6.5%,3.3%,62.1%,70.7%,50.7%,63.1%,36.3%,49.6%,0.99
Grand Slams,46,24,22,52.2%,86-91,48.6%,853-881,49.2%,15-14,51.7%,46,77.2%,21.2%,5.7%,3.4%,62.0%,69.4%,50.6%,62.3%,36.8%,49.5%,0.97
Masters,49,27,22,55.1%,61-50,55.0%,556-539,50.8%,12-8,60.0%,49,76.4%,24.8%,4.6%,3.9%,61.3%,69.6%,49.7%,61.9%,38.3%,50.1%,1.00
Other Tours,139,69,70,49.6%,160-168,48.8%,1590-1620,49.5%,24-29,45.3%,138,74.9%,24.6%,4.8%,4.0%,61.4%,69.2%,49.0%,61.4%,38.3%,49.7%,0.99
Best of 5,56,28,28,50.0%,105-113,48.2%,1060-1090,49.3%,19-17,52.8%,49,76.9%,21.4%,5.9%,3.5%,61.7%,69.6%,50.2%,62.1%,37.0%,49.5%,0.98
Best of 3,212,109,103,51.4%,252-245,50.7%,2435-2424,50.1%,41-43,48.8%,202,75.3%,24.6%,5.0%,3.9%,61.5%,69.3%,49.5%,61.7%,38.3%,49.9%,1.00
Finals,6,5,1,83.3%,10-6,62.5%,88-78,53.0%,3-1,75.0%,6,79.3%,25.0%,6.7%,1.9%,64.1%,69.7%,49.5%,62.4%,38.2%,50.7%,1.02
Semi-finals,10,6,4,60.0%,15-9,62.5%,123-107,53.5%,1-0,100.0%,10,83.9%,23.9%,4.8%,3.7%,66.6%,73.2%,49.6%,65.3%,37.3%,51.1%,1.07
Quarter-finals,22,10,12,45.5%,26-30,46.4%,269-289,48.2%,3-5,37.5%,22,74.6%,22.2%,4.2%,3.9%,61.5%,67.9%,49.4%,60.8%,37.4%,49.1%,0.95
vs Righties,235,115,120,48.9%,307-328,48.3%,3059-3165,49.1%,57-52,52.3%,223,75.2%,23.5%,5.0%,3.8%,61.8%,69.0%,49.5%,61.6%,37.8%,49.6%,0.98
vs Lefties,28,17,11,60.7%,38-28,57.6%,352-303,53.7%,3-7,30.0%,28,81.2%,26.1%,7.3%,3.9%,59.4%,72.7%,51.3%,64.0%,38.7%,51.2%,1.08
vs Top 10,25,4,21,16.0%,14-48,22.6%,226-347,39.4%,1-3,25.0%,25,66.3%,13.8%,4.0%,3.3%,63.5%,64.4%,46.0%,57.7%,32.1%,45.1%,0.76
