Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2023 Australian Open Q1,W vs Kuzmanov,13,9,1.4,13.3%,9.2%,11,8,1.4,11.6%,8.4%,3.2%,8.4%,0.4,9.2%,23.5%
2022 Sibiu CH F,L vs Fatic,17,23,0.7,13.1%,17.7%,15,20,0.8,12.0%,16.0%,8.0%,4.0%,0.8,10.0%,13.1%
2021 Australian Open R128,L vs Duckworth,13,30,0.4,7.6%,17.6%,13,30,0.4,8.4%,19.5%,,,0.5,8.8%,17.1%
2020 Barcelona CH F,L vs Alcaraz,13,36,0.4,7.9%,22.0%,12,34,0.4,7.6%,21.7%,4.5%,3.2%,0.9,17.1%,18.9%
2020 US Open R128,L vs Djokovic,24,41,0.6,13.6%,23.2%,22,33,0.7,14.0%,21.0%,8.3%,5.7%,1.1,18.1%,16.4%
2020 Australian Open R128,L vs Wawrinka,28,28,1.0,11.0%,11.0%,28,28,1.0,12.3%,12.3%,,,0.9,14.2%,15.7%
2019 US Open R64,L vs Federer,26,40,0.7,11.0%,16.9%,24,32,0.8,11.7%,15.5%,4.9%,5.8%,1.3,24.6%,19.1%
2019 US Open R128,W vs Benchetrit,26,26,1.0,12.6%,12.6%,21,20,1.1,11.3%,10.8%,5.9%,4.8%,0.6,15.5%,25.6%
2019 Wimbledon R128,L vs Cuevas,47,48,1.0,15.0%,15.3%,40,45,0.9,14.2%,16.0%,8.2%,6.0%,1.0,18.8%,18.5%
2019 Roland Garros R128,L vs Hoang,21,28,0.8,8.4%,11.2%,21,28,0.8,9.0%,12.0%,,,0.9,21.1%,23.9%
2019 Rotterdam QF,L vs Monfils,11,27,0.4,10.2%,25.0%,11,26,0.4,11.0%,26.0%,4.0%,7.0%,0.8,17.6%,22.2%
2019 Rotterdam R16,W vs Kukushkin,20,23,0.9,13.7%,15.8%,17,22,0.8,12.3%,15.9%,6.5%,5.8%,0.3,7.5%,22.6%
2019 Rotterdam R32,W vs Tsitsipas,28,24,1.2,16.4%,14.0%,27,20,1.4,17.3%,12.8%,9.0%,8.3%,0.8,15.8%,19.3%
2018 Shenzhen QF,L vs De Minaur,21,36,0.6,15.1%,25.9%,21,35,0.6,15.9%,26.5%,8.3%,7.6%,0.6,11.5%,20.1%
2018 St. Petersburg QF,L vs Wawrinka,25,22,1.1,20.2%,17.7%,24,21,1.1,20.5%,17.9%,6.8%,2.6%,1.0,22.6%,23.4%
2018 Los Cabos SF,L vs Del Potro,21,31,0.7,15.6%,23.0%,19,29,0.7,16.1%,24.6%,11.9%,4.2%,1.1,21.5%,19.3%
2018 Wimbledon R64,L vs Gulbis,23,24,1.0,8.9%,9.3%,18,19,0.9,8.0%,8.4%,6.6%,1.3%,0.9,20.6%,23.3%
2018 Wimbledon R128,W vs Marterer,27,13,2.1,16.6%,8.0%,22,8,2.8,15.5%,5.6%,12.0%,2.8%,0.4,8.0%,20.2%
2018 Antalya F,W vs Mannarino,28,22,1.3,22.6%,17.7%,21,20,1.1,18.4%,17.5%,7.9%,9.6%,0.6,8.1%,13.7%
2018 Roland Garros R32,L vs Zverev,50,64,0.8,15.3%,19.6%,50,64,0.8,16.3%,20.8%,,,0.7,13.1%,20.2%
Career (52 matches),,1394,1665,0.8,14.0%,16.7%,1286,1516,0.8,14.0%,16.6%,6.1%,4.2%,0.8,15.7%,19.0%
