Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Cincinnati R64,L vs Sinner,38.9%,21.4%,8.3%,1/2,2.30,3.0%,26.1%,16.7%,8.7%,2.53,6.3%,80.0%,25.0%,10.0%,2.09,0.0%
2025 Roland Garros R64,L vs Musetti,79.5%,40.9%,1.2%,1/0,2.05,15.6%,75.4%,46.5%,0.0%,2.01,20.8%,88.5%,30.4%,3.8%,2.16,0.0%
2025 Roland Garros R128,W vs Royer,69.7%,46.3%,2.6%,1/3,2.24,2.9%,61.6%,43.4%,2.3%,2.28,4.5%,87.3%,49.1%,3.2%,2.17,0.0%
2024 Cagliari CH SF,L vs Musetti,80.4%,43.9%,2.0%,1/0,2.27,11.6%,85.3%,31.0%,0.0%,2.06,27.8%,70.6%,75.0%,5.9%,2.42,0.0%
2024 Australian Open R128,W vs Kubler,73.7%,51.9%,9.1%,5/11,2.16,7.3%,71.6%,48.7%,5.5%,2.03,11.7%,82.3%,56.9%,16.1%,2.37,0.0%
2023 Wimbledon R16,L vs Sinner,59.1%,34.6%,9.1%,3/5,2.21,8.0%,47.9%,30.4%,0.0%,2.13,15.0%,74.4%,37.9%,20.5%,2.30,0.0%
2023 Wimbledon R128,W vs Nishioka,70.1%,57.4%,5.2%,2/2,2.09,7.5%,69.8%,54.1%,3.8%,2.26,16.0%,89.5%,64.7%,10.5%,1.95,0.0%
2023 Madrid R128,L vs Bublik,55.0%,42.9%,6.4%,1/8,2.21,40.2%,52.4%,45.5%,2.4%,1.98,48.1%,76.7%,39.4%,16.3%,2.65,25.0%
2022 San Diego QF,L vs Nakashima,63.6%,49.0%,3.9%,0/3,2.26,1.9%,60.0%,48.5%,1.8%,2.21,3.4%,80.0%,50.0%,10.0%,2.33,0.0%
2022 US Open R64,W vs Thompson,67.9%,53.8%,6.7%,5/4,2.15,6.6%,61.4%,44.4%,2.3%,2.03,10.6%,88.1%,67.6%,16.7%,2.28,1.8%
2021 Davis Cup Finals RR,L vs Sinner,74.5%,47.4%,3.9%,1/1,2.20,2.3%,60.0%,46.7%,8.0%,2.24,3.7%,88.5%,47.8%,0.0%,2.15,0.0%
2021 Acapulco R32,L vs Ruud,68.8%,21.2%,4.2%,1/1,-,2.6%,68.0%,11.8%,0.0%,-,5.0%,80.0%,31.3%,10.0%,-,0.0%
2021 Delray Beach R16,L vs Hurkacz,62.8%,33.3%,4.7%,2/0,2.25,12.2%,61.5%,31.3%,0.0%,2.05,22.7%,64.7%,36.4%,11.8%,2.47,0.0%
2020 Lima CH F,W vs Tirante,75.0%,55.6%,2.8%,1/1,2.09,2.7%,68.9%,58.1%,4.4%,2.14,4.8%,88.5%,52.2%,0.0%,2.03,0.0%
2019 Houston R16,W vs Johnson,71.0%,56.8%,1.6%,1/0,2.64,52.6%,69.7%,65.2%,3.0%,2.50,45.8%,77.8%,47.6%,0.0%,2.89,64.3%
Career (15 matches),,67.9%,46.6%,5.2%,38.8%,2.20,10.7%,63.5%,44.8%,2.8%,2.14,15.5%,82.1%,49.1%,9.8%,2.29,3.9%
