Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
10,Marcel Granollers [ESP],7,3,70.0%,0,0,0,-,2004,2018,5,1.13,2.0%,1.6%,52.5%,68.0%,56.9%,62.7%,42.2%,46.7%,42.3%
9,Nicolas Almagro [ESP],2,7,22.2%,5,1,4,20.0%,2004,2014,8,0.89,6.6%,4.2%,60.2%,74.0%,50.0%,64.5%,31.5%,54.5%,27.7%
8,Paolo Lorenzi [ITA],4,4,50.0%,4,2,2,50.0%,2004,2018,3,0.83,2.6%,4.7%,65.3%,60.4%,48.3%,56.2%,36.4%,65.9%,52.4%
8,Albert Montanes [ESP],3,5,37.5%,3,3,0,100.0%,2009,2016,8,0.90,3.5%,3.4%,55.2%,64.7%,46.8%,56.7%,39.0%,57.9%,35.6%
8,Ruben Ramirez Hidalgo [ESP],6,2,75.0%,3,2,1,66.7%,2004,2015,6,1.46,14.1%,2.4%,57.1%,81.0%,55.1%,69.8%,44.0%,56.3%,39.1%
8,Santiago Giraldo [COL],1,7,12.5%,2,2,0,100.0%,2007,2014,7,0.82,4.5%,5.3%,50.1%,63.1%,51.2%,57.2%,35.2%,43.1%,27.5%
8,Ivan Navarro [ESP],3,5,37.5%,3,1,2,33.3%,2005,2012,3,0.94,3.8%,2.5%,59.3%,67.9%,52.1%,61.4%,36.4%,47.1%,22.6%
8,Pere Riba [ESP],4,4,50.0%,4,3,1,75.0%,2007,2011,1,0.66,3.2%,4.8%,61.9%,64.1%,37.5%,54.0%,30.4%,25.0%,0.0%
7,Filippo Volandri [ITA],4,3,57.1%,3,1,2,33.3%,2006,2016,7,1.06,7.5%,5.1%,50.9%,70.2%,53.0%,61.8%,40.6%,34.4%,50.0%
7,Fabio Fognini [ITA],2,5,28.6%,0,0,0,-,2006,2016,5,1.03,4.9%,3.8%,56.9%,69.5%,41.9%,57.6%,43.7%,42.9%,64.0%
7,Flavio Cipolla [ITA],5,2,71.4%,5,3,2,60.0%,2007,2015,3,1.15,1.8%,5.0%,57.5%,69.3%,50.0%,61.1%,44.9%,70.0%,34.4%
7,Albert Ramos [ESP],5,2,71.4%,3,1,2,33.3%,2007,2014,4,1.08,6.1%,2.4%,63.6%,75.2%,41.1%,62.8%,40.2%,52.9%,33.3%
7,Daniel Munoz De La Nava [ESP],5,2,71.4%,1,1,0,100.0%,2007,2014,3,0.93,12.3%,3.2%,52.4%,73.5%,42.7%,58.8%,38.1%,36.8%,53.8%
7,Jeremy Chardy [FRA],3,4,42.9%,5,2,3,40.0%,2007,2014,5,0.95,8.5%,3.8%,61.1%,68.5%,57.1%,64.1%,34.3%,51.4%,28.6%
7,Carlos Berlocq [ARG],1,6,14.3%,2,0,2,0.0%,2010,2014,7,0.85,3.1%,5.7%,54.6%,73.2%,44.5%,60.2%,34.0%,60.3%,40.5%
