Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Bucharest,Clay,Q1,265,129,(1) Nikoloz Basilashvili [GEO] d. Michalski,6-4 7-5,0.66,1.2%,0.0%,51.8%,68.2%,46.3%,6/9,1:44
23-Mar-2026,Split CH,Clay,R32,266,238,(5) Frederico Ferreira Silva [POR] d. Michalski,6-4 6-2,0.68,0.0%,3.7%,61.1%,51.5%,52.4%,1/5,1:50
16-Mar-2026,Zadar CH,Clay,R16,266,144,(3) Arthur Gea [FRA] d. Michalski,6-3 7-6(4),0.78,0.0%,2.6%,75.3%,62.1%,26.3%,5/8,2:07
16-Mar-2026,Zadar CH,Clay,R32,266,494,Michalski d. (Q) Samuele Pieri [ITA],6-3 6-0,1.45,1.8%,1.8%,68.4%,61.5%,50.0%,5/7,1:30
23-Feb-2026,Pune CH,Hard,R32,257,390,Alastair Gray [GBR] d. Michalski,6-3 3-6 6-3,1.01,2.7%,5.3%,57.3%,74.4%,53.1%,2/4,2:30
16-Feb-2026,New Delhi CH,Hard,R16,260,299,Michael Geerts [BEL] d. (7) Michalski,7-6(8) 6-4,0.82,3.5%,1.2%,55.8%,64.6%,52.6%,2/5,2:01
16-Feb-2026,New Delhi CH,Hard,R32,260,436,(7) Michalski d. (WC) Karan Singh [IND],4-6 7-6(5) 6-3,1.16,4.0%,3.0%,61.6%,70.5%,55.3%,2/6,2:28
26-Jan-2026,Phan Thiet 2 CH,Hard,SF,257,238,(6) Yi Zhou [CHN] d. (7) Michalski,7-6(3) 0-0 RET,0.98,7.9%,0.0%,60.5%,56.5%,40.0%,2/5,0:56
26-Jan-2026,Phan Thiet 2 CH,Hard,QF,257,284,(7) Michalski d. Florent Bax [FRA],6-2 6-4,1.71,0.0%,2.0%,38.0%,78.9%,71.0%,0/0,1:40
26-Jan-2026,Phan Thiet 2 CH,Hard,R16,257,334,(7) Michalski d. Omar Jasika [AUS],6-4 1-6 6-1,1.08,3.5%,3.5%,50.0%,60.5%,58.1%,6/10,2:10
26-Jan-2026,Phan Thiet 2 CH,Hard,R32,257,665,(7) Michalski d. (WC) Tim Handel [GER],7-5 6-1,1.52,6.7%,3.3%,68.3%,68.3%,63.2%,5/6,1:35
19-Jan-2026,Phan Thiet 1 CH,Hard,SF,257,275,Ilia Simakin [RUS] d. Michalski,6-7(6) 6-1 6-3,0.79,2.8%,0.9%,58.5%,59.7%,43.2%,6/12,2:40
19-Jan-2026,Phan Thiet 1 CH,Hard,QF,257,305,Michalski d. Darwin Blanch [USA],5-7 7-6(3) 6-3,1.01,3.7%,2.8%,67.6%,67.1%,54.3%,3/7,2:28
19-Jan-2026,Phan Thiet 1 CH,Hard,R16,257,237,Michalski d. Federico Cina [ITA],6-2 6-4,1.34,2.0%,2.0%,49.0%,68.0%,57.7%,1/3,1:20
19-Jan-2026,Phan Thiet 1 CH,Hard,R32,257,248,Michalski d. Kaichi Uchida [JPN],3-6 6-3 6-3,1.33,12.3%,2.7%,54.8%,80.0%,54.5%,1/3,2:12
12-Jan-2026,Nonthaburi 2 CH,Hard,R16,260,303,Marat Sharipov [RUS] d. (4) Michalski,6-4 6-3,0.64,3.6%,0.0%,63.6%,60.0%,55.0%,1/4,1:12
12-Jan-2026,Nonthaburi 2 CH,Hard,R32,260,340,(4) Michalski d. Yuta Shimizu [JPN],6-2 2-6 6-3,1.28,2.8%,1.4%,75.0%,64.8%,66.7%,6/8,1:50
24-Nov-2025,Maia CH,Clay,R16,258,147,(3) Elmer Moller [DEN] d. Michalski,2-6 6-4 7-6(6),1.05,4.1%,2.4%,62.6%,61.0%,45.7%,11/16,2:40
24-Nov-2025,Maia CH,Clay,R32,258,777,Michalski d. (Q) Tomas Curras Abasolo [ESP],3-6 6-4 6-4,0.97,3.3%,4.4%,47.8%,58.1%,36.2%,3/11,2:39
17-Nov-2025,Montemar CH,Clay,R32,256,395,(Q) Gianluca Cadenasso [ITA] d. Michalski,6-4 2-6 6-4,0.97,0.0%,3.3%,52.7%,62.5%,44.2%,4/10,2:26
