Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,32,11,21,34.4%,29-48,37.7%,334-396,45.8%,3-7,30.0%,32,69.4%,22.5%,7.3%,4.8%,54.5%,70.5%,47.3%,59.9%,37.6%,48.4%,0.94,QF (2x)
2024,34,17,17,50.0%,42-48,46.7%,420-441,48.8%,4-7,36.4%,34,72.9%,25.4%,6.2%,3.9%,59.3%,68.7%,47.6%,60.1%,38.7%,49.6%,0.97,SF (Winston-Salem)
2023,25,10,15,40.0%,28-34,45.2%,292-294,49.8%,3-3,50.0%,22,72.7%,27.2%,6.0%,3.2%,58.8%,69.0%,49.9%,61.1%,39.0%,49.8%,1.00,QF (Auckland)
2022,53,27,26,50.9%,70-68,50.7%,683-683,50.0%,11-11,50.0%,50,75.7%,25.2%,5.5%,4.0%,57.7%,70.5%,49.4%,61.6%,38.9%,50.1%,1.01,W (Marrakech)
2021,29,14,15,48.3%,34-36,48.6%,335-334,50.1%,2-7,22.2%,29,74.4%,27.1%,6.5%,4.6%,58.6%,70.0%,46.8%,60.4%,39.5%,50.0%,1.00,W (Montpellier)
2020,23,12,11,52.2%,33-31,51.6%,327-314,51.0%,9-5,64.3%,23,75.2%,26.2%,6.2%,4.6%,58.7%,71.0%,46.0%,60.7%,39.4%,50.1%,1.00,SF (Montpellier)
2019,63,37,26,58.7%,87-68,56.1%,784-703,52.7%,12-12,50.0%,62,77.9%,28.1%,8.2%,4.1%,58.3%,72.5%,50.1%,63.2%,39.9%,51.2%,1.08,F (2x)
2018,47,30,17,63.8%,71-50,58.7%,627-534,54.0%,9-10,47.4%,45,78.4%,30.3%,6.7%,3.1%,60.7%,70.7%,52.9%,63.7%,40.9%,52.0%,1.13,SF (4x)
2017,83,59,24,71.1%,137-77,64.0%,1143-962,54.3%,21-17,55.3%,82,81.7%,27.3%,7.5%,3.3%,57.8%,73.6%,52.5%,64.7%,39.9%,52.2%,1.13,W (2x)
2016,74,49,25,66.2%,121-78,60.8%,1037-888,53.9%,11-15,42.3%,74,78.6%,30.4%,6.4%,4.4%,59.3%,71.9%,50.1%,63.0%,41.2%,51.9%,1.11,F (Tokyo)
2015,64,39,25,60.9%,100-67,59.9%,844-724,53.8%,13-7,65.0%,57,78.1%,27.4%,8.1%,4.8%,55.8%,74.1%,50.9%,63.8%,40.1%,51.6%,1.11,F (2x)
2014,40,25,15,62.5%,62-43,59.0%,537-468,53.4%,5-6,45.5%,36,78.6%,26.6%,8.3%,4.9%,55.7%,73.1%,51.2%,63.4%,39.1%,51.1%,1.07,W (2x)
2013,32,10,22,31.3%,30-56,34.9%,370-442,45.6%,4-8,33.3%,30,66.9%,23.1%,3.7%,6.5%,61.5%,64.0%,47.9%,57.8%,38.4%,48.2%,0.91,R16 (3x)
2012,33,18,15,54.5%,44-44,50.0%,430-425,50.3%,5-7,41.7%,30,76.1%,22.9%,5.5%,5.7%,57.0%,70.0%,50.2%,61.5%,37.0%,49.3%,0.96,QF (3x)
2011,4,2,2,50.0%,4-4,50.0%,43-42,50.6%,1-2,33.3%,4,85.4%,17.1%,5.4%,3.6%,61.6%,70.6%,54.7%,64.5%,35.9%,50.2%,1.01,R16 (2x)
Career,636,360,276,56.6%,892-752,54.3%,8206-7650,51.8%,113-124,47.7%,610,76.7%,26.9%,6.8%,4.3%,58.2%,71.2%,50.0%,62.4%,39.5%,50.8%,1.05,
