Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,22,14,8,63.6%,10,7,3,70.0%,1989,1998,QF,16,1.07,7.8%,4.6%,63.9%,73.5%,45.4%,63.4%,39.3%,65.2%,41.0%
Roland Garros,8,Clay,14,6,8,42.9%,12,7,5,58.3%,1989,1996,R32,9,0.97,7.5%,2.8%,64.5%,70.0%,48.8%,62.5%,36.5%,55.8%,37.4%
Wimbledon,9,Grass,26,17,9,65.4%,20,10,10,50.0%,1989,1998,SF,20,1.08,9.1%,5.6%,62.9%,78.1%,46.3%,66.3%,36.3%,69.7%,41.2%
US Open,12,Hard,27,15,12,55.6%,10,7,3,70.0%,1987,2000,QF,17,1.04,8.7%,5.2%,61.7%,76.9%,42.7%,63.8%,37.8%,57.7%,40.7%
Davis Cup,1,,2,1,1,50.0%,1,0,1,0.0%,1993,1993,,0,,,,,,,,,,
Queen's Club,10,Grass,26,16,10,61.5%,5,3,2,60.0%,1989,2000,F,20,1.03,8.3%,7.0%,60.0%,72.5%,48.6%,62.9%,38.3%,58.8%,40.3%
Indianapolis,10,Hard,23,13,10,56.5%,8,1,7,12.5%,1989,2000,SF,20,1.06,8.5%,6.9%,52.3%,73.0%,50.4%,62.2%,40.2%,66.9%,41.5%
Newport,7,Grass,19,13,6,68.4%,7,5,2,71.4%,1988,1998,W,18,1.19,11.4%,6.7%,62.3%,77.1%,49.4%,66.7%,39.8%,68.4%,33.3%
Washington,7,Hard,19,12,7,63.2%,8,6,2,75.0%,1987,1998,SF,13,1.04,11.9%,3.9%,62.4%,73.1%,50.1%,64.5%,36.9%,64.4%,37.7%
Cincinnati Masters,7,Hard,18,11,7,61.1%,10,8,2,80.0%,1990,1997,SF,16,1.03,9.6%,5.6%,56.5%,72.9%,48.8%,62.4%,38.9%,62.1%,36.4%
Miami Masters,6,Hard,15,9,6,60.0%,4,2,2,50.0%,1991,1998,F,15,1.03,8.9%,4.8%,58.8%,69.4%,50.2%,61.5%,39.7%,56.3%,34.7%
