Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
14-Feb-2022,Rio de Janeiro,Clay,F,14,29,(7) Carlos Alcaraz [ESP] d. (3) Schwartzman,6-4 6-2,0.65,0.0%,4.1%,63.3%,48.4%,38.9%,1/6,1:26
07-Feb-2022,Buenos Aires,Clay,F,15,8,(1) Casper Ruud [NOR] d. (2) Schwartzman,5-7 6-2 6-3,0.65,0.0%,2.1%,72.9%,64.3%,42.3%,13/17,2:34
18-Oct-2021,Antwerp,Hard,F,13,16,(1) Jannik Sinner [ITA] d. (2) Schwartzman,6-2 6-2,0.43,0.0%,2.0%,55.1%,48.1%,45.5%,3/7,1:16
01-Mar-2021,Buenos Aires,Clay,F,9,137,(1) Schwartzman d. (Q) Francisco Cerundolo [ARG],6-1 6-2,1.46,2.0%,4.1%,53.1%,65.4%,56.5%,3/4,1:20
19-Oct-2020,Cologne 2,Hard,F,9,7,(1) Alexander Zverev [GER] d. (2) Schwartzman,6-2 6-1,0.55,0.0%,9.1%,60.0%,63.6%,22.7%,3/8,1:11
14-Sep-2020,Rome Masters,Clay,F,15,1,(1) Novak Djokovic [SRB] d. (8) Schwartzman,7-5 6-3,0.80,1.5%,4.5%,65.2%,58.1%,34.8%,4/9,1:53
03-Feb-2020,Cordoba,Clay,F,14,31,(3) Cristian Garin [CHI] d. (1) Schwartzman,2-6 6-4 6-0,0.94,0.0%,3.8%,60.8%,50.0%,54.8%,4/10,2:04
21-Oct-2019,Vienna,Hard,F,15,5,(1) Dominic Thiem [AUT] d. (5) Schwartzman,3-6 6-4 6-3,0.87,0.0%,3.2%,71.6%,64.7%,40.7%,4/8,2:25
29-Jul-2019,Los Cabos,Hard,F,27,28,(3) Schwartzman d. (5) Taylor Fritz [USA],7-6(6) 6-3,1.23,2.8%,2.8%,54.9%,66.7%,59.4%,3/5,1:42
11-Feb-2019,Buenos Aires,Clay,F,19,18,(3) Marco Cecchinato [ITA] d. (4) Schwartzman,6-1 6-2,0.39,0.0%,8.8%,71.9%,56.1%,31.3%,5/9,1:05
