Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 Vienna R32,L vs Darderi,70% (7/10),20% (1/5),0/1,0/0,40% (2/5),0/2,0/1,71% (5/7),14% (1/7)
2024 US Open R128,L vs Shelton,44% (8/18),0% (0/1),0/0,0/0,55% (6/11),3/6,0/1,- (0/0),- (0/0)
2024 Munich R32,L vs Moro Canas,71% (5/7),38% (3/8),0/0,0/0,17% (1/6),1/3,1/2,- (0/0),- (0/0)
2024 Estoril R32,W vs Marterer,63% (12/19),50% (6/12),2/5,1/3,67% (4/6),1/2,0/0,20% (1/5),40% (2/5)
2024 Szekesfehervar CH R32,L vs Michalski,50% (6/12),14% (1/7),0/0,0/0,57% (4/7),1/3,1/2,- (0/0),- (0/0)
2024 Australian Open R128,L vs Auger Aliassime,57% (21/37),38% (3/8),2/2,0/0,62% (8/13),1/4,0/1,67% (4/6),50% (3/6)
2024 Brisbane R32,L vs Nadal,67% (6/9),- (0/0),0/0,0/0,50% (3/6),3/5,0/1,- (0/0),- (0/0)
2023 Paris R32,L vs Rune,75% (6/8),0% (0/5),0/0,0/0,50% (3/6),0/2,0/1,- (0/0),- (0/0)
2023 Paris R64,W vs Wawrinka,67% (12/18),80% (4/5),2/3,1/1,77% (10/13),2/3,1/1,- (0/0),- (0/0)
2023 Vienna R32,L vs Tsitsipas,56% (10/18),0% (0/3),0/0,0/0,75% (3/4),0/2,0/1,50% (3/6),33% (2/6)
2023 Astana QF,L vs Ofner,67% (12/18),33% (1/3),1/1,0/0,80% (12/15),3/5,0/1,- (0/0),- (0/0)
2023 Astana R16,W vs Giron,78% (14/18),29% (2/7),2/2,1/1,78% (7/9),1/2,0/0,75% (3/4),80% (4/5)
2023 Astana R32,W vs Varillas,91% (10/11),29% (2/7),2/3,1/2,75% (3/4),3/3,0/0,78% (7/9),33% (3/9)
2023 US Open R128,W vs Bublik,71% (12/17),60% (6/10),3/3,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2023 Kitzbuhel F,L vs Baez,57% (4/7),0% (0/2),0/0,0/0,33% (2/6),1/3,0/1,- (0/0),- (0/0)
2023 Kitzbuhel SF,W vs Djere,56% (18/32),25% (1/4),2/3,1/2,100% (12/12),6/7,5/5,71% (10/14),21% (3/14)
2023 Gstaad R16,L vs Medjedovic,75% (12/16),29% (2/7),1/4,0/0,33% (1/3),0/2,0/1,- (0/0),- (0/0)
2023 Gstaad R32,W vs Muller,71% (10/14),67% (2/3),2/3,1/2,100% (4/4),1/1,0/0,83% (5/6),40% (2/5)
2023 Madrid R64,L vs Tsitsipas,92% (12/13),50% (1/2),1/1,0/0,86% (12/14),1/3,1/2,50% (3/6),33% (2/6)
2023 Monte Carlo R64,W vs Gasquet,53% (9/17),30% (3/10),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 (7 matches),,58.0%,34.1%,50.0%,33.3%,51.9%,40.0%,25.0%,55.6%,33.3%
2023 (19 matches),,68.5%,36.2%,67.6%,71.4%,71.2%,47.7%,43.8%,67.3%,34.5%
2022 (28 matches),,64.4%,42.3%,67.9%,63.0%,54.8%,46.8%,56.0%,70.1%,41.5%
2021 (10 matches),,67.3%,37.6%,65.4%,60.0%,63.3%,38.1%,42.9%,61.5%,66.7%
2020 (26 matches),,68.3%,41.7%,54.7%,48.8%,67.9%,60.3%,16.7%,61.3%,46.2%
Career (500 matches),,66.5%,39.2%,56.4%,58.9%,62.0%,47.7%,48.1%,64.9%,38.7%
