Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,244,104,140,42.6%,258-353,42.2%,2769-3138,46.9%,51-42,54.8%,240,72.5%,21.2%,4.2%,5.1%,59.5%,67.6%,49.1%,60.1%,37.0%,48.6%,0.93
Clay,33,7,26,21.2%,24-61,28.2%,341-462,42.5%,4-6,40.0%,32,64.2%,21.0%,2.6%,4.8%,59.9%,62.4%,47.3%,56.3%,36.1%,46.7%,0.83
Grass,39,15,24,38.5%,36-60,37.5%,435-489,47.1%,1-8,11.1%,39,76.8%,18.1%,5.1%,4.3%,62.0%,69.4%,49.3%,61.8%,34.4%,48.3%,0.90
Grand Slams,57,21,36,36.8%,78-128,37.9%,899-1065,45.8%,9-12,42.9%,56,70.5%,20.9%,3.7%,4.7%,61.1%,65.7%,47.9%,58.7%,36.4%,47.8%,0.88
Masters,60,19,41,31.7%,48-87,35.6%,549-708,43.7%,7-7,50.0%,60,66.2%,20.8%,3.8%,5.7%,57.7%,64.4%,47.3%,57.2%,36.9%,47.2%,0.86
Other Tours,196,85,111,43.4%,191-252,43.1%,2076-2269,47.8%,40-37,51.9%,195,74.6%,20.8%,4.5%,4.8%,59.8%,68.8%,50.0%,61.3%,36.6%,49.0%,0.94
Best of 5,59,21,38,35.6%,79-134,37.1%,915-1105,45.3%,9-12,42.9%,56,70.5%,20.9%,3.7%,4.7%,61.1%,65.7%,47.9%,58.7%,36.4%,47.8%,0.88
Best of 3,257,105,152,40.9%,239-340,41.3%,2630-2984,46.8%,47-44,51.6%,255,72.7%,20.8%,4.3%,5.0%,59.3%,67.9%,49.3%,60.3%,36.6%,48.6%,0.92
Finals,2,0,2,0.0%,0-4,0.0%,8-24,25.0%,0-0,-,2,50.0%,0.0%,1.1%,5.7%,60.2%,50.9%,51.4%,51.1%,27.1%,38.6%,0.55
Semi-finals,8,2,6,25.0%,5-14,26.3%,87-108,44.6%,2-1,66.7%,8,76.8%,12.4%,2.0%,4.1%,57.8%,65.1%,54.9%,60.8%,31.3%,46.3%,0.80
Quarter-finals,17,8,9,47.1%,16-22,42.1%,178-198,47.3%,5-4,55.6%,16,76.9%,16.6%,5.9%,5.5%,62.6%,72.6%,44.2%,62.0%,33.0%,48.0%,0.87
vs Righties,277,112,165,40.4%,279-413,40.3%,3098-3570,46.5%,49-47,51.0%,272,72.2%,20.8%,4.1%,5.0%,59.6%,67.5%,48.8%,60.0%,36.6%,48.4%,0.91
vs Lefties,39,14,25,35.9%,39-61,39.0%,447-519,46.3%,7-9,43.8%,39,71.6%,20.8%,4.6%,4.8%,61.0%,65.5%,50.2%,59.5%,36.8%,48.5%,0.91
vs Top 10,29,3,26,10.3%,18-62,22.5%,311-464,40.1%,8-6,57.1%,27,68.6%,13.2%,4.2%,4.4%,61.3%,66.6%,46.2%,58.7%,32.1%,45.5%,0.78
