Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,15,Hard,31,16,15,51.6%,12,4,8,33.3%,2006,2022,R32,26,1.01,3.1%,2.7%,62.6%,65.6%,51.4%,60.2%,40.3%,59.9%,41.0%
Roland Garros,11,Clay,17,6,11,35.3%,8,4,4,50.0%,2005,2022,R64,12,0.77,1.9%,3.5%,61.5%,60.5%,44.9%,54.5%,35.1%,51.3%,33.0%
Wimbledon,16,Grass,23,7,16,30.4%,13,7,6,53.8%,2005,2022,R16,19,0.88,2.0%,2.7%,62.4%,67.5%,51.5%,61.5%,34.0%,60.9%,41.9%
US Open,15,Hard,23,8,15,34.8%,4,3,1,75.0%,2003,2022,R64,18,0.93,2.9%,4.3%,57.7%,65.5%,47.8%,58.1%,39.1%,46.0%,38.0%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2016,2016,R32,2,0.93,1.5%,0.8%,59.4%,53.2%,59.3%,55.6%,41.4%,65.0%,42.9%
Davis Cup,15,,45,21,24,46.7%,22,9,13,40.9%,2005,2019,,5,0.92,2.1%,2.9%,64.5%,62.8%,45.9%,56.8%,39.7%,48.0%,39.3%
New York,2,Hard,3,1,2,33.3%,0,0,0,-,2018,2020,R16,3,1.02,5.9%,5.0%,65.8%,65.3%,50.7%,60.3%,40.4%,52.2%,32.0%
St. Petersburg,2,Hard,3,1,2,33.3%,0,0,0,-,2011,2019,R16,3,0.80,1.0%,5.6%,61.2%,58.3%,47.4%,54.1%,36.7%,54.5%,53.8%
Newport,5,Grass,13,8,5,61.5%,6,3,3,50.0%,2011,2018,QF,13,1.13,5.1%,6.3%,56.2%,73.8%,51.1%,63.9%,40.8%,59.2%,52.1%
Indian Wells Masters,7,Hard,15,7,8,46.7%,3,1,2,33.3%,2008,2018,R32,15,0.95,1.9%,4.2%,61.2%,65.9%,44.0%,57.4%,40.5%,53.3%,48.4%
Delray Beach,8,Hard,14,6,8,42.9%,4,0,4,0.0%,2009,2018,SF,14,1.10,3.7%,4.7%,59.1%,67.5%,57.4%,63.3%,40.3%,60.7%,43.4%
Moscow,5,Hard,11,6,5,54.5%,4,3,1,75.0%,2008,2017,QF,9,0.99,2.4%,4.3%,59.8%,66.0%,51.9%,60.3%,39.1%,60.9%,37.3%
