Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,381,111,,,,,,,,,,,,
2020,233,249,,,,,,,,,1154,17,,
2019,142,373,153,1611,140,1576,,,79,1630,419,97,,
2018,236,205,115,1669,116,1619,191,1490,48,1678,571,18,,
2017,67,755,77,1744,77,1685,153,1538,37,1721,176,392,,
2016,96,616,98,1692,96,1651,170,1517,59,1642,155,480,,
2015,100,578,96,1706,90,1663,153,1537,81,1611,394,170,,
2014,98,560,91,1704,79,1681,168,1520,86,1586,808,45,,
2013,73,681,90,1702,73,1690,173,1518,98,1581,258,244,,
2012,109,512,113,1663,94,1636,169,1526,93,1597,257,261,,
2011,83,640,94,1707,78,1677,145,1547,90,1582,382,145,,
2010,75,643,60,1787,45,1749,116,1597,58,1640,174,405,,
2009,43,936,100,1691,87,1643,153,1548,83,1579,209,321,,
2008,112,453,79,1729,75,1684,144,1565,167,1474,487,96,,
2007,64,573,78,1715,66,1690,159,1535,133,1509,289,186,,
2006,202,194,318,1384,295,1356,281,1374,237,1335,466,92,,
2005,170,230,189,1551,168,1511,201,1489,180,1449,367,123,,
2004,308,108,250,1474,220,1451,278,1379,,,446,88,,
2003,259,134,,,,,,,,,432,93,,
2002,473,43,,,,,,,,,628,45,,
2001,1309,2,,,,,,,,,993,14,,
