Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,18,7,11,38.9%,7,4,3,57.1%,2010,2020,R128,17,0.84,10.0%,5.0%,62.6%,71.2%,45.0%,61.4%,32.2%,59.2%,33.9%
Roland Garros,9,Clay,17,8,9,47.1%,9,5,4,55.6%,2011,2020,R64,13,0.92,5.7%,3.8%,58.5%,69.4%,45.1%,59.3%,37.3%,54.8%,45.1%
Wimbledon,10,Grass,26,16,10,61.5%,12,7,5,58.3%,2010,2019,R32,15,0.92,11.6%,4.6%,65.5%,74.7%,49.4%,65.9%,31.3%,65.3%,40.9%
US Open,6,Hard,9,3,6,33.3%,4,1,3,25.0%,2010,2017,R64,9,0.89,11.3%,7.2%,56.2%,74.9%,46.9%,62.6%,33.4%,61.4%,41.2%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2016,2016,R64,1,1.02,0.0%,5.7%,71.7%,68.4%,46.7%,62.3%,38.6%,33.3%,60.0%
Davis Cup,1,,1,0,1,0.0%,2,0,2,0.0%,2015,2015,,0,,,,,,,,,,
Doha,6,Hard,20,13,7,65.0%,8,5,3,62.5%,2012,2018,QF,20,1.04,10.7%,4.1%,61.7%,73.6%,47.4%,63.6%,37.7%,59.6%,38.9%
Munich,7,Clay,18,11,7,61.1%,15,9,6,60.0%,2011,2018,R16,18,1.04,7.8%,4.2%,62.2%,72.6%,53.2%,65.3%,36.2%,68.2%,43.9%
Gstaad,7,Clay,18,11,7,61.1%,9,7,2,77.8%,2009,2017,SF,16,0.99,8.4%,5.4%,59.6%,77.0%,49.9%,66.0%,33.5%,66.3%,35.3%
Montpellier,7,Hard,16,9,7,56.3%,5,4,1,80.0%,2010,2020,SF,16,1.05,13.1%,4.5%,61.4%,74.1%,51.5%,65.4%,36.3%,69.1%,39.8%
Halle,7,Grass,12,5,7,41.7%,11,2,9,18.2%,2011,2018,QF,12,1.01,15.1%,8.6%,60.9%,79.1%,46.6%,66.4%,34.1%,61.1%,40.7%
Stuttgart,6,Grass,16,10,6,62.5%,13,8,5,61.5%,2010,2021,QF,13,0.95,12.2%,4.6%,61.7%,74.5%,51.3%,65.6%,32.7%,75.8%,33.8%
