Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21-Apr-2025,M15 Luan,Hard,SF,615,1633,Ilya Ivashka [BLR] d. Benchetrit,6-2 6-1,0.49,1.7%,0.0%,45.8%,44.4%,37.5%,5/11,1:22
21-Apr-2025,M15 Luan,Hard,QF,615,619,Benchetrit d. Evan Zhu [USA],6-4 6-3,1.44,3.4%,3.4%,57.6%,73.5%,64.0%,2/2,1:39
21-Apr-2025,M15 Luan,Hard,R16,615,1040,Benchetrit d. Yuquan Jin [CHN],7-6(3) 6-2,1.68,5.2%,1.7%,58.6%,91.2%,50.0%,0/1,1:44
21-Apr-2025,M15 Luan,Hard,R32,615,,Benchetrit d. Jordan Chiu [USA],6-4 6-4,1.69,6.0%,2.0%,58.0%,86.2%,71.4%,0/0,1:21
31-Mar-2025,Marrakech,Clay,R32,608,98,Jesper De Jong [NED] d. (WC) Benchetrit,7-5 6-1,0.24,4.1%,2.7%,56.8%,66.7%,37.5%,7/10,1:32
17-Mar-2025,M15 Rovinj,Clay,R32,603,1147,Marko Maksimovic [SRB] d. Benchetrit,4-6 6-2 6-4,0.82,6.2%,2.5%,58.0%,72.3%,32.4%,2/7,2:16
03-Mar-2025,M15 Monastir,Hard,QF,614,694,Nikolay Vylegzhanin [RUS] d. Benchetrit,6-7(7) 6-4 0-0 RET,1.01,8.8%,4.4%,59.3%,74.1%,35.1%,14/18,2:25
03-Mar-2025,M15 Monastir,Hard,R16,614,1771,Benchetrit d. Lorenzo Angelini [ITA],6-1 6-1,3.62,9.1%,3.0%,63.6%,95.2%,66.7%,0/0,1:08
03-Mar-2025,M15 Monastir,Hard,R32,614,1163,Benchetrit d. Toufik Sahtali [ALG],6-4 6-2,1.24,7.0%,1.8%,63.2%,66.7%,57.1%,3/4,1:31
17-Feb-2025,M15 Monastir,Hard,R32,606,1266,Nicolas Tepmahc [FRA] d. Benchetrit,6-3 7-6(3),0.55,6.9%,5.7%,49.4%,65.1%,52.3%,7/9,1:49
31-Jan-2025,Davis Cup WG2 PO: ZIM vs MAR,Hard,RR,608,,Benchetrit d. Ethan Denzel Sibanda [ZIM],6-2 6-3,,,,,,,,
16-Dec-2024,M15 Doha,Hard,R16,611,725,Alex Knaff [LUX] d. (5) Benchetrit,4-6 6-4 RET,,,,,,,,
16-Dec-2024,M15 Doha,Hard,R32,611,819,(5) Benchetrit d. Michael Zhu [USA],6-4 6-4,,,,,,,,
09-Dec-2024,M15 Doha,Hard,R32,609,612,(7) Eero Vasa [FIN] d. (WC) Benchetrit,7-6(6) 3-6 6-1,,,,,,,,
28-Oct-2024,M25 Qian Daohu,Hard,F,661,320,(6) Benchetrit d. (1) Fajing Sun [CHN],6-3 6-2,,,,,,,,
28-Oct-2024,M25 Qian Daohu,Hard,SF,661,933,(6) Benchetrit d. Aliaksandr Liaonenka [BLR],6-1 6-4,,,,,,,,
28-Oct-2024,M25 Qian Daohu,Hard,QF,661,931,(6) Benchetrit d. (Q) Kuan Yi Lee [TPE],6-3 1-2 RET,,,,,,,,
28-Oct-2024,M25 Qian Daohu,Hard,R16,661,1004,(6) Benchetrit d. Zhenxiong Dong [CHN],6-3 6-4,,,,,,,,
28-Oct-2024,M25 Qian Daohu,Hard,R32,661,2072,(6) Benchetrit d. (WC) Zhan Zheng [CHN],4-6 6-2 6-1,,,,,,,,
21-Oct-2024,M25 Huzhou,Hard,QF,653,268,(1) Yan Bai [CHN] d. (6) Benchetrit,6-2 6-4,,,,,,,,
21-Oct-2024,M25 Huzhou,Hard,R16,653,1764,(6) Benchetrit d. (Q) Yan Cheng Chen [TPE],6-1 6-1,,,,,,,,
21-Oct-2024,M25 Huzhou,Hard,R32,653,,(6) Benchetrit d. (Q) Jeffrey Hsu [TPE],6-2 6-1,,,,,,,,
