Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Washington R32,L vs Mpetshi Perricard,24,22,1.1,14.7%,13.5%,18,18,1.0,14.9%,14.9%,6.6%,5.0%,1.1,24.5%,21.5%
2024 Wimbledon R32,L vs Mpetshi Perricard,34,31,1.1,13.9%,12.7%,25,28,0.9,12.4%,13.9%,8.5%,3.0%,1.6,21.6%,13.9%
2024 Wimbledon R64,W vs Tsitsipas,41,32,1.3,15.4%,12.0%,34,27,1.3,14.8%,11.8%,10.0%,3.5%,1.3,19.1%,14.2%
2024 Wimbledon R128,W vs Mcdonald,66,81,0.8,18.8%,23.0%,52,75,0.7,16.4%,23.7%,8.8%,5.0%,1.6,13.9%,8.8%
2024 Eastbourne R32,W vs Norrie,21,22,1.0,15.0%,15.7%,16,20,0.8,12.5%,15.6%,5.5%,4.7%,0.8,17.9%,23.6%
2024 Miami Masters R128,L vs Hanfmann,22,33,0.7,13.1%,19.6%,19,30,0.6,12.8%,20.1%,6.0%,3.4%,0.9,19.0%,20.8%
2024 Indian Wells Masters R128,L vs Lajovic,12,30,0.4,9.1%,22.7%,9,28,0.3,7.4%,23.0%,3.3%,2.5%,0.6,12.9%,20.5%
2024 Rotterdam R16,W vs Struff,27,19,1.4,26.0%,18.3%,22,16,1.4,26.2%,19.0%,9.5%,4.8%,0.8,19.2%,25.0%
2024 Rotterdam R32,W vs Humbert,22,32,0.7,11.2%,16.2%,16,29,0.6,9.1%,16.5%,5.1%,2.8%,0.6,12.7%,21.8%
2024 Australian Open R64,L vs Medvedev,49,85,0.6,13.9%,24.1%,48,81,0.6,15.2%,25.6%,9.5%,5.7%,0.7,15.3%,21.6%
2024 Hong Kong F,L vs Rublev,15,24,0.6,12.5%,20.0%,10,20,0.5,9.4%,18.9%,4.7%,4.7%,1.0,15.0%,15.0%
2024 Hong Kong QF,W vs Kotov,34,29,1.2,24.5%,20.9%,29,29,1.0,22.5%,22.5%,15.5%,4.7%,1.2,10.8%,9.4%
2024 Hong Kong R16,W vs Khachanov,28,42,0.7,14.4%,21.5%,23,39,0.6,13.0%,22.0%,7.3%,5.1%,0.6,12.8%,22.6%
2023 Cincinnati Masters R32,W vs Rublev,38,79,0.5,13.7%,28.4%,32,72,0.4,12.9%,28.9%,7.6%,3.2%,0.5,11.5%,23.0%
2023 Wimbledon R128,L vs Wawrinka,31,40,0.8,14.4%,18.6%,28,37,0.8,14.0%,18.5%,9.0%,4.5%,0.7,8.4%,12.1%
2023 Queen's Club R32,L vs Dimitrov,10,27,0.4,8.8%,23.7%,10,22,0.5,10.3%,22.7%,4.1%,4.1%,1.6,21.9%,14.0%
2023 s Hertogenbosch QF,W vs Sinner,12,23,0.5,11.0%,21.1%,9,20,0.5,9.2%,20.4%,7.1%,2.0%,0.2,5.5%,25.7%
2023 Rome Masters R64,L vs Medvedev,11,28,0.4,10.5%,26.7%,11,28,0.4,11.3%,28.9%,8.2%,3.1%,0.5,11.4%,21.0%
2023 Madrid Masters R64,L vs Alcaraz,20,23,0.9,11.8%,13.5%,18,19,0.9,11.7%,12.3%,7.8%,1.9%,1.1,20.6%,19.4%
2023 Barcelona R64,W vs Bublik,17,19,0.9,20.0%,22.4%,17,18,0.9,22.1%,23.4%,9.1%,5.2%,0.3,9.4%,34.1%
Career (61 matches),,1485,2164,0.7,13.7%,20.0%,1241,1967,0.6,12.8%,20.3%,6.7%,3.5%,0.8,14.4%,19.1%
