Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,10,4,6,40.0%,6,2,4,33.3%,1990,1996,R16,9,0.99,4.3%,1.6%,70.5%,65.9%,51.3%,61.6%,38.1%,57.3%,42.0%
Roland Garros,11,Clay,31,20,11,64.5%,17,7,10,41.2%,1984,1995,QF,9,1.08,4.7%,1.5%,66.6%,69.2%,49.4%,62.6%,40.2%,62.5%,41.0%
Wimbledon,7,Grass,11,4,7,36.4%,6,2,4,33.3%,1984,1996,R16,3,0.65,4.3%,3.3%,62.0%,67.3%,36.2%,55.4%,28.8%,50.0%,36.4%
US Open,10,Hard,28,18,10,64.3%,19,9,10,47.4%,1986,1995,QF,12,1.11,5.5%,1.4%,70.9%,70.9%,52.9%,65.7%,38.0%,58.7%,38.7%
Olympics,3,,8,5,3,62.5%,6,3,3,50.0%,1984,1992,QF,0,,,,,,,,,,
Davis Cup,9,,30,18,12,60.0%,4,2,2,50.0%,1984,1992,,0,,,,,,,,,,
Barcelona,14,Clay,31,18,13,58.1%,8,4,4,50.0%,1984,1997,W,13,1.02,4.8%,1.3%,62.3%,67.1%,50.6%,60.8%,39.9%,58.1%,39.0%
Kitzbuhel,13,Clay,44,33,11,75.0%,11,6,5,54.5%,1985,1997,W,13,1.04,5.2%,2.0%,61.7%,70.0%,55.5%,64.4%,37.0%,56.7%,37.1%
Gstaad,9,Clay,30,23,7,76.7%,11,5,6,45.5%,1986,1996,W,12,1.19,6.6%,1.9%,63.2%,70.5%,53.9%,64.4%,42.3%,63.8%,39.8%
Palermo,8,Clay,19,11,8,57.9%,5,4,1,80.0%,1984,1996,F,16,1.07,5.9%,1.6%,62.2%,67.5%,51.0%,61.2%,41.6%,52.9%,49.2%
Stuttgart Outdoor,8,Clay,16,8,8,50.0%,8,2,6,25.0%,1986,1995,SF,9,1.01,4.8%,0.8%,68.4%,68.8%,57.3%,65.1%,35.2%,56.8%,30.8%
Madrid,7,Clay,17,11,6,64.7%,2,1,1,50.0%,1987,1993,W,6,0.97,3.1%,1.5%,62.2%,68.7%,49.7%,61.5%,37.2%,45.7%,43.9%
