Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Wimbledon R128,L vs Alcaraz,20.8%,29.2%,54.0%,29.4%,23.4%,34.6%,52.4%,36.8%,60.9%,41.0%,44.4%,19.2%,23.1%,57.1%,62
2024 Gstaad QF,L vs Tsitsipas,21.3%,31.9%,45.5%,25.5%,33.3%,50.0%,56.3%,41.7%,45.5%,61.5%,0.0%,10.5%,15.8%,35.3%,-22
2024 Rome R64,L vs Fritz,41.2%,49.0%,46.2%,45.3%,60.0%,70.0%,41.7%,67.0%,27.8%,50.0%,0.0%,17.6%,23.5%,50.0%,39
2023 Rome R32,L vs Rune,19.6%,23.5%,44.7%,24.1%,21.4%,25.0%,36.4%,29.6%,60.0%,53.8%,66.7%,20.0%,25.0%,56.3%,73
2023 Rome R128,W vs Murray,22.5%,34.2%,51.8%,30.7%,26.9%,43.3%,55.1%,40.4%,60.6%,52.9%,50.0%,17.1%,22.0%,47.1%,24
2022 Canada R64,L vs Rune,24.6%,40.0%,53.2%,34.3%,25.6%,46.5%,65.6%,40.2%,42.1%,45.8%,25.0%,25.0%,30.0%,26.7%,59
2022 Rome R64,W vs Thiem,15.7%,25.3%,60.3%,21.6%,26.2%,38.1%,67.7%,37.9%,47.4%,69.6%,50.0%,5.1%,12.8%,54.1%,-64
2022 Belgrade SF,L vs Rublev,13.0%,15.2%,48.6%,15.4%,17.2%,20.7%,41.7%,21.0%,46.7%,64.3%,66.7%,8.3%,8.3%,63.6%,-53
2022 Miami R32,L vs Kyrgios,22.6%,30.2%,50.0%,26.8%,25.8%,32.3%,52.2%,32.9%,40.0%,37.5%,33.3%,21.1%,31.6%,46.7%,82
2022 Rio de Janeiro SF,L vs Alcaraz,26.5%,35.3%,39.6%,32.8%,28.6%,42.9%,48.0%,40.9%,38.9%,23.5%,33.3%,25.8%,29.0%,30.4%,13
2022 Australian Open R128,L vs Griekspoor,29.8%,36.9%,41.8%,31.7%,46.2%,51.3%,38.1%,50.3%,55.6%,33.3%,0.0%,17.1%,26.8%,44.1%,53
2022 Sydney R16,L vs Nakashima,24.0%,33.0%,50.7%,31.2%,31.1%,41.0%,50.0%,43.0%,50.0%,35.1%,0.0%,14.7%,23.5%,51.7%,23
2021 Monte Carlo R16,W vs Krajinovic,29.3%,41.4%,62.5%,35.7%,41.2%,55.9%,60.0%,52.1%,46.7%,36.8%,-,13.0%,21.7%,65.0%,-16
2021 ATP Cup F,L vs Rublev,21.4%,26.2%,30.0%,22.6%,36.8%,42.1%,33.3%,39.5%,60.0%,33.3%,33.3%,10.0%,15.0%,27.8%,-22
2020 Australian Open R16,L vs Sandgren,22.0%,31.1%,56.0%,28.3%,33.3%,43.5%,63.0%,45.4%,65.6%,43.2%,0.0%,10.0%,18.3%,50.0%,-13
2020 Australian Open R32,W vs Pella,18.9%,36.8%,66.7%,28.8%,29.5%,52.5%,67.4%,44.9%,46.7%,29.0%,50.0%,0.0%,10.3%,65.5%,-118
2020 ATP Cup RR,L vs Ruud,8.5%,29.8%,47.5%,17.2%,13.6%,45.5%,52.6%,32.3%,58.3%,70.0%,100.0%,4.5%,18.2%,42.9%,-74
2019 Basel R16,L vs Krajinovic,36.9%,49.2%,34.2%,40.8%,63.6%,78.8%,50.0%,71.2%,55.6%,40.0%,0.0%,10.3%,20.7%,26.9%,-15
2019 Stockholm R16,L vs Tipsarevic,12.1%,20.7%,38.6%,16.7%,17.2%,27.6%,41.7%,26.6%,50.0%,23.5%,12.5%,9.1%,18.2%,35.0%,-42
2019 Shanghai QF,L vs Medvedev,16.2%,26.5%,61.5%,24.9%,26.2%,42.9%,64.5%,40.2%,50.0%,45.8%,33.3%,0.0%,0.0%,57.1%,-118
Career (79 matches),,20.1%,31.3%,50.8%,27.3%,25.5%,40.4%,54.2%,37.6%,48.0%,41.9%,36.3%,13.4%,20.0%,45.8%,14
