Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
11,Guido Andreozzi [ARG],5,6,45.5%,3,2,1,66.7%,2008,2018,9,0.92,3.3%,1.7%,60.9%,63.4%,48.2%,57.5%,39.0%,58.6%,47.6%
11,Diego Schwartzman [ARG],5,6,45.5%,2,1,1,50.0%,2010,2015,6,1.02,1.9%,5.8%,53.6%,62.8%,47.5%,55.7%,45.4%,65.2%,44.0%
11,Agustin Velotti [ARG],7,4,63.6%,1,0,1,0.0%,2008,2013,4,1.07,1.4%,3.2%,55.6%,64.5%,54.0%,59.9%,43.1%,41.7%,43.2%
10,Andrea Collarini [ARG],8,2,80.0%,6,4,2,66.7%,2010,2018,8,1.13,3.4%,4.9%,61.1%,70.7%,50.8%,63.0%,41.9%,56.9%,29.9%
8,Guido Pella [ARG],4,4,50.0%,1,1,0,100.0%,2011,2017,7,0.93,1.4%,6.9%,55.8%,66.8%,39.8%,54.9%,41.9%,52.1%,45.0%
8,Guillermo Duran [ARG],6,2,75.0%,1,1,0,100.0%,2009,2012,2,1.25,1.9%,4.5%,52.6%,67.9%,52.1%,60.4%,49.6%,81.8%,50.0%
7,Joao Souza [BRA],5,2,71.4%,4,3,1,75.0%,2012,2019,7,1.10,1.4%,4.3%,60.0%,71.7%,56.9%,65.8%,37.5%,75.0%,35.9%
7,Rogerio Dutra Silva [BRA],3,4,42.9%,1,1,0,100.0%,2010,2019,7,0.92,1.0%,3.1%,64.1%,64.2%,53.0%,60.2%,36.4%,53.7%,34.7%
7,Hugo Dellien [BOL],5,2,71.4%,0,0,0,-,2014,2018,5,1.19,1.7%,3.0%,64.0%,67.0%,54.1%,62.4%,44.7%,72.4%,47.1%
7,Guilherme Clezar [BRA],3,4,42.9%,4,0,4,0.0%,2012,2018,6,1.11,4.9%,4.0%,58.3%,73.9%,46.0%,62.3%,42.0%,58.1%,63.9%
7,Andres Molteni [ARG],2,5,28.6%,3,0,3,0.0%,2010,2017,5,1.03,1.1%,6.0%,58.4%,65.4%,50.0%,59.0%,42.3%,61.5%,33.3%
6,Martin Cuevas [URU],5,1,83.3%,0,0,0,-,2011,2020,1,2.28,2.4%,0.0%,59.5%,84.0%,70.6%,78.6%,48.8%,0,80.0%
6,Facundo Bagnis [ARG],2,4,33.3%,1,0,1,0.0%,2008,2019,5,1.11,3.8%,3.0%,59.5%,70.6%,54.7%,64.2%,39.8%,52.4%,40.5%
6,Gastao Elias [POR],2,4,33.3%,2,0,2,0.0%,2013,2018,6,1.00,0.2%,3.2%,63.3%,62.0%,53.7%,59.0%,40.9%,58.5%,33.3%
6,Maximo Gonzalez [ARG],4,2,66.7%,3,1,2,33.3%,2011,2014,6,1.11,2.2%,3.3%,57.3%,72.1%,49.7%,62.6%,41.7%,57.6%,34.9%
