Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Marrakech,Clay,R32,208,94,(NG) Cina vs Alexandre Muller [FRA],,,,,,,,,
23-Mar-2026,Naples CH,Clay,QF,203,186,Vitaliy Sachko [UKR] d. Cina,6-2 4-6 6-1,0.75,2.6%,5.3%,51.3%,59.0%,45.9%,6/11,2:02
23-Mar-2026,Naples CH,Clay,R16,203,600,Cina d. (Q) Francesco Forti [ITA],6-3 6-3,1.25,5.0%,0.0%,65.0%,79.5%,33.3%,3/4,1:10
23-Mar-2026,Naples CH,Clay,R32,203,356,Cina d. (Alt) Gabriele Piraino [ITA],6-4 6-2,1.29,3.4%,0.0%,67.8%,77.5%,47.4%,5/5,1:30
23-Feb-2026,Pune CH,Hard,F,223,300,(6) Cina d. Felix Gill [GBR],6-3 5-7 7-6(1),1.07,8.1%,3.6%,69.4%,79.2%,58.8%,10/11,2:29
23-Feb-2026,Pune CH,Hard,SF,223,346,(6) Cina d. Duje Ajdukovic [CRO],7-5 6-2,1.33,8.7%,1.4%,71.0%,61.2%,65.0%,4/6,1:15
23-Feb-2026,Pune CH,Hard,QF,223,390,(6) Cina d. Alastair Gray [GBR],6-4 6-2,2.34,4.5%,0.0%,61.4%,85.2%,76.5%,0/0,1:06
23-Feb-2026,Pune CH,Hard,R16,223,369,(6) Cina d. Yuta Shimizu [JPN],6-1 6-4,1.76,15.4%,0.0%,76.9%,72.5%,75.0%,1/1,1:04
23-Feb-2026,Pune CH,Hard,R32,223,477,(6) Cina d. (Q) Takuya Kumasaka [JPN],6-1 6-0,2.81,2.9%,0.0%,74.3%,76.9%,88.9%,0/0,1:11
16-Feb-2026,New Delhi CH,Hard,QF,225,168,(2) Rei Sakamoto [JPN] d. (6) Cina,6-7(7) 6-3 6-2,0.83,0.8%,1.6%,62.6%,58.4%,54.3%,14/19,2:43
16-Feb-2026,New Delhi CH,Hard,R16,225,297,(6) Cina d. Sumit Nagal [IND],6-4 6-4,1.24,6.7%,5.3%,69.3%,73.1%,39.1%,6/7,1:40
16-Feb-2026,New Delhi CH,Hard,R32,225,367,(6) Cina d. (Q) Ioannis Xilas [GRE],6-2 6-4,1.50,0.0%,4.1%,71.4%,71.4%,50.0%,1/3,1:03
26-Jan-2026,Phan Thiet 2 CH,Hard,R32,237,275,Ilia Simakin [RUS] d. (5) Cina,6-3 3-6 6-3,0.95,3.7%,2.5%,56.8%,60.9%,54.3%,6/10,1:44
19-Jan-2026,Phan Thiet 1 CH,Hard,R16,237,257,Daniel Michalski [POL] d. Cina,6-2 6-4,0.75,3.7%,3.7%,63.0%,52.9%,45.0%,3/8,1:20
19-Jan-2026,Phan Thiet 1 CH,Hard,R32,237,204,Cina d. (4) Oliver Crawford [GBR],6-4 6-3,2.86,9.5%,0.0%,50.0%,85.7%,85.7%,0/0,1:18
19-Jan-2026,Australian Open,Hard,Q2,237,146,(30) Adolfo Daniel Vallejo [PAR] d. Cina,4-6 6-2 6-3,0.84,8.5%,2.8%,53.5%,81.6%,42.4%,1/4,1:48
19-Jan-2026,Australian Open,Hard,Q1,237,221,Cina d. Lloyd Harris [RSA],6-4 6-7(4) 6-3,0.86,2.6%,1.7%,67.0%,71.4%,52.6%,6/7,2:14
03-Nov-2025,Helsinki CH,Hard,R32,209,247,(Q) Viktor Durasovic [NOR] d. Cina,7-6(6) 6-4,0.81,1.4%,5.4%,56.8%,64.3%,53.1%,3/6,1:23
20-Oct-2025,Hamburg CH,Hard,F,227,235,(4) Justin Engel [GER] d. (6) Cina,7-5 7-6(4),0.68,13.0%,1.3%,75.3%,67.2%,57.9%,3/5,1:29
20-Oct-2025,Hamburg CH,Hard,SF,227,215,(6) Cina d. (5) George Loffhagen [GBR],7-6(5) 6-4,1.11,10.3%,2.6%,70.5%,74.5%,43.5%,5/7,1:35
20-Oct-2025,Hamburg CH,Hard,QF,227,284,(6) Cina d. Tom Gentzsch [GER],6-2 6-2,1.38,3.0%,1.5%,66.7%,63.6%,54.5%,5/6,1:08
20-Oct-2025,Hamburg CH,Hard,R16,227,249,(6) Cina d. Dimitar Kuzmanov [BUL],6-4 6-1,1.72,22.4%,0.0%,85.7%,71.4%,71.4%,3/3,1:00
20-Oct-2025,Hamburg CH,Hard,R32,227,377,(6) Cina d. (Q) Milos Karol [SVK],7-6(5) 5-7 6-4,0.94,4.5%,3.6%,72.3%,72.8%,41.9%,7/10,2:09
