Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2020 US Open R128,L vs Berankis,67% (16/24),57% (4/7),1/1,0/0,62% (8/13),3/6,1/2,20% (1/5),40% (2/5)
2019 Lyon  CH R16,W vs Andujar,64% (7/11),38% (5/13),2/4,1/1,88% (7/8),0/0,0/0,- (0/0),- (0/0)
2019 Prostejov CH QF,L vs Ruud,48% (10/21),75% (3/4),1/1,0/0,77% (10/13),1/3,1/2,- (0/0),- (0/0)
2019 Rome CH R16,L vs Lorenzi,33% (4/12),7% (1/14),0/0,0/0,50% (4/8),1/3,1/2,- (0/0),- (0/0)
2019 Rome CH R32,W vs Boluda Purkiss,64% (9/14),33% (3/9),2/5,1/3,86% (6/7),0/0,0/0,- (0/0),- (0/0)
2019 Francavilla Al Mare CH QF,L vs Travaglia,52% (15/29),8% (1/13),1/4,0/2,50% (2/4),0/2,0/1,58% (7/12),46% (6/13)
2019 Francavilla Al Mare CH R16,W vs Hernandez,67% (8/12),31% (4/13),2/6,1/5,55% (6/11),1/2,0/0,83% (5/6),40% (2/5)
2019 Francavilla Al Mare CH R32,W vs Caruso,57% (8/14),42% (5/12),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Francavilla Al Mare CH R64,W vs Couacaud,81% (13/16),18% (3/17),2/8,1/5,86% (6/7),0/1,0/0,86% (6/7),29% (2/7)
2019 Tunis CH R16,L vs Gimeno Traver,70% (7/10),20% (1/5),0/0,0/0,0% (0/3),5/7,5/6,- (0/0),- (0/0)
2019 Tunis CH R32,W vs Travaglia,75% (12/16),100% (3/3),2/2,1/1,50% (1/2),1/2,0/0,- (0/0),- (0/0)
2019 Tunis CH R64,W vs Bonzi,80% (12/15),38% (3/8),2/2,1/1,80% (8/10),1/2,0/0,- (0/0),- (0/0)
2019 Murcia CH R32,L vs Carballes Baena,60% (3/5),50% (1/2),0/0,0/0,29% (2/7),2/4,1/2,- (0/0),- (0/0)
2019 Murcia CH R64,W vs Kamke,64% (9/14),60% (3/5),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Villena CH R32,L vs Davidovich Fokina,67% (2/3),20% (2/10),0/0,0/0,54% (7/13),5/7,4/5,- (0/0),- (0/0)
2019 Villena CH R64,W vs Brancaccio,57% (8/14),44% (4/9),2/4,1/2,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2019 Marbella CH R32,L vs Davidovich Fokina,53% (8/15),44% (4/9),1/1,0/0,60% (9/15),1/3,0/1,- (0/0),- (0/0)
2019 Marbella CH R64,W vs Robredo,85% (11/13),36% (4/11),2/2,1/1,67% (4/6),0/1,0/0,- (0/0),- (0/0)
2019 Santiago CH R16,L vs Andujar,33% (5/15),17% (1/6),0/0,0/0,67% (8/12),0/2,0/1,- (0/0),- (0/0)
2019 Santiago CH R32,W vs Villanueva,64% (9/14),38% (6/16),2/5,1/1,43% (3/7),0/1,0/0,- (0/0),- (0/0)
2020 (1 matches),,66.7%,57.1%,100.0%,-,61.5%,50.0%,50.0%,20.0%,40.0%
2019 (26 matches),,63.4%,32.1%,56.4%,48.1%,61.3%,43.1%,59.4%,65.6%,46.9%
2018 (16 matches),,63.8%,37.9%,55.6%,62.5%,55.9%,52.8%,62.1%,65.9%,44.4%
2017 (13 matches),,63.5%,39.4%,37.5%,45.5%,56.5%,56.5%,57.9%,66.7%,38.1%
2016 (19 matches),,64.6%,35.6%,63.2%,44.4%,47.8%,43.9%,46.4%,57.1%,45.7%
Career (101 matches),,62.2%,35.4%,53.9%,50.8%,56.9%,48.4%,54.6%,59.1%,42.6%
