Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai SF,L vs Medvedev,53.5%,21.7%,2.3%,0/1,2.17,16.7%,50.0%,23.1%,3.8%,2.27,25.0%,66.7%,20.0%,0.0%,2.03,0.0%
2026 Rotterdam F,L vs De Minaur,70.6%,36.1%,3.9%,1/1,2.16,0.0%,70.6%,33.3%,0.0%,2.27,0.0%,75.0%,41.7%,12.5%,2.08,0.0%
2026 Rotterdam SF,W vs Bublik,65.9%,75.9%,0.0%,0/0,2.26,27.8%,66.7%,70.0%,0.0%,2.00,45.5%,69.2%,88.9%,0.0%,2.64,0.0%
2026 Rotterdam QF,W vs Griekspoor,66.2%,53.3%,4.4%,1/2,2.37,21.6%,60.9%,50.0%,2.2%,2.36,50.0%,89.5%,58.8%,10.5%,2.38,0.0%
2026 Rotterdam R16,W vs Medjedovic,60.6%,57.5%,9.1%,2/4,2.32,11.8%,52.5%,57.1%,5.0%,2.20,20.0%,76.0%,57.9%,16.0%,2.50,0.0%
2026 Montpellier F,W vs Mannarino,61.9%,53.8%,0.0%,0/0,2.10,17.1%,52.6%,50.0%,0.0%,1.98,25.0%,79.2%,57.9%,0.0%,2.36,0.0%
2025 Tour Finals SF,L vs Alcaraz,66.7%,35.3%,2.0%,1/0,2.20,18.6%,63.2%,29.2%,2.6%,2.13,28.6%,83.3%,50.0%,0.0%,2.30,0.0%
2025 Tour Finals RR,W vs Zverev,69.2%,46.3%,3.8%,3/0,2.29,6.7%,68.3%,41.5%,3.3%,2.14,10.3%,81.3%,61.5%,6.3%,2.56,0.0%
2025 Tour Finals RR,W vs Shelton,55.8%,50.0%,2.9%,2/1,2.15,32.1%,54.9%,46.2%,4.2%,2.31,43.9%,63.3%,57.9%,0.0%,1.70,0.0%
2025 Tour Finals RR,L vs Sinner,49.0%,36.0%,0.0%,0/0,2.27,8.3%,47.2%,23.5%,0.0%,2.31,10.7%,57.1%,62.5%,0.0%,2.20,5.0%
2025 Paris F,L vs Sinner,65.6%,20.0%,3.3%,1/1,2.19,6.1%,61.4%,14.8%,0.0%,2.10,10.7%,86.7%,30.8%,13.3%,2.31,0.0%
2025 Paris SF,W vs Bublik,65.2%,53.3%,4.3%,2/1,2.26,27.8%,60.0%,54.2%,2.5%,2.12,33.3%,77.8%,52.4%,7.4%,2.47,20.0%
2025 Paris QF,W vs Vacherot,70.5%,65.1%,1.6%,0/1,1.54,3.8%,72.2%,65.4%,0.0%,1.56,5.9%,73.9%,64.7%,4.3%,1.50,0.0%
2025 Brussels F,W vs Lehecka,59.3%,52.2%,0.9%,1/0,2.23,28.8%,50.0%,50.0%,1.4%,2.24,34.1%,81.6%,54.8%,0.0%,2.19,0.0%
2025 US Open SF,L vs Sinner,60.6%,40.9%,2.8%,2/1,1.88,2.8%,58.6%,41.2%,5.2%,1.89,4.9%,68.1%,40.6%,0.0%,1.85,0.0%
2025 US Open QF,W vs De Minaur,63.8%,50.0%,1.2%,2/0,2.20,2.3%,58.6%,39.0%,1.4%,2.17,3.8%,77.8%,57.1%,1.2%,2.24,0.0%
2025 Cincinnati QF,L vs Sinner,56.4%,40.9%,5.1%,1/1,2.15,6.5%,56.5%,38.5%,0.0%,2.14,9.5%,64.3%,44.4%,14.3%,2.15,0.0%
2025 Stuttgart SF,L vs Fritz,40.4%,30.4%,3.5%,1/1,2.37,38.2%,35.1%,38.5%,2.7%,2.02,52.4%,52.6%,20.0%,5.3%,2.92,15.4%
2025 Stuttgart R16,W vs Mpetshi Perricard,58.3%,54.3%,5.0%,1/2,2.50,52.0%,56.8%,33.3%,2.7%,2.50,92.9%,70.0%,85.7%,10.0%,2.50,0.0%
2025 Roland Garros R128,L vs Arnaldi,71.5%,48.0%,2.3%,2/2,2.16,1.0%,70.9%,41.1%,2.9%,2.29,1.9%,82.0%,58.0%,1.6%,2.01,0.0%
Career (144 matches),,66.0%,46.7%,2.8%,53.7%,2.18,16.2%,63.7%,42.7%,2.2%,2.16,24.9%,78.1%,53.2%,4.4%,2.21,3.8%
