Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,9,1,8,11.1%,2,1,1,50.0%,1994,2003,R64,9,0.77,4.4%,3.9%,62.5%,66.1%,41.0%,56.7%,33.3%,55.8%,34.7%
Roland Garros,11,Clay,29,18,11,62.1%,12,7,5,58.3%,1993,2003,SF,28,1.06,3.8%,3.4%,60.2%,69.0%,48.4%,60.8%,41.6%,60.3%,42.9%
Wimbledon,4,Grass,5,1,4,20.0%,3,2,1,66.7%,1994,2002,R64,5,0.80,7.2%,6.2%,57.6%,68.6%,42.7%,57.6%,33.8%,65.5%,48.4%
US Open,11,Hard,16,5,11,31.3%,6,2,4,33.3%,1992,2002,R32,16,0.91,4.7%,4.6%,54.8%,70.0%,47.1%,59.7%,36.7%,52.5%,38.4%
Olympics,1,,6,4,2,66.7%,4,2,2,50.0%,1996,1996,BR,0,,,,,,,,,,
Davis Cup,10,,30,14,16,46.7%,11,5,6,45.5%,1993,2002,,0,,,,,,,,,,
Kitzbuhel,9,Clay,21,12,9,57.1%,5,3,2,60.0%,1993,2002,QF,21,1.03,3.5%,3.7%,53.9%,68.6%,52.8%,61.3%,39.8%,54.3%,37.0%
Miami Masters,8,Hard,13,5,8,38.5%,3,1,2,33.3%,1994,2003,R32,13,0.98,4.3%,5.2%,53.8%,68.0%,50.4%,59.9%,39.3%,54.8%,40.5%
Barcelona,6,Clay,14,8,6,57.1%,4,2,2,50.0%,1994,2002,QF,14,1.02,3.6%,3.0%,60.9%,67.1%,46.0%,58.8%,42.1%,63.9%,49.5%
Santiago,6,Clay,12,6,6,50.0%,2,0,2,0.0%,1994,2000,QF,12,1.03,5.4%,3.4%,56.2%,74.0%,49.0%,63.0%,38.1%,59.7%,46.5%
Stuttgart Outdoor,6,Clay,10,4,6,40.0%,5,3,2,60.0%,1995,2000,R16,10,0.96,4.4%,3.6%,55.0%,69.6%,46.0%,59.0%,39.3%,60.5%,44.4%
Buenos Aires,6,Clay,9,3,6,33.3%,1,0,1,0.0%,1993,2003,R16,9,1.01,4.2%,3.9%,55.4%,67.1%,54.2%,61.4%,39.1%,65.2%,23.8%
