Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Roland Garros R32,L vs Djokovic,53% (9/17),0% (0/1),0/0,0/0,75% (12/16),1/4,0/1,- (0/0),- (0/0)
2025 Prague CH F,W vs Den Ouden,88% (7/8),56% (5/9),2/3,1/2,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2024 Roland Garros R128,W vs Virtanen,57% (17/30),56% (9/16),3/4,1/1,42% (5/12),2/4,0/0,- (0/0),- (0/0)
2023 US Open Q1,W vs Lajal,71% (12/17),19% (3/16),2/6,1/4,33% (1/3),0/1,0/0,- (0/0),- (0/0)
2022 Kitzbuhel F,L vs Bautista Agut,44% (4/9),0% (0/3),0/0,0/0,56% (5/9),1/3,1/2,- (0/0),- (0/0)
2022 Kitzbuhel R32,W vs Dutra Da Silva,82% (9/11),33% (3/9),2/3,1/2,80% (4/5),0/0,0/0,71% (5/7),43% (3/7)
2022 Zagreb CH F,W vs Poljicak,56% (10/18),40% (2/5),2/4,1/3,86% (6/7),0/0,0/0,71% (5/7),43% (3/7)
2025 (2 matches),,64.0%,50.0%,66.7%,50.0%,70.6%,25.0%,0.0%,-,-
2024 (1 matches),,56.7%,56.3%,75.0%,100.0%,41.7%,50.0%,-,-,-
2023 (1 matches),,70.6%,18.8%,33.3%,25.0%,33.3%,0.0%,-,-,-
2022 (3 matches),,60.5%,29.4%,57.1%,40.0%,71.4%,33.3%,50.0%,71.4%,42.9%
Career (7 matches),,61.8%,37.3%,55.0%,41.7%,62.3%,33.3%,33.3%,71.4%,42.9%
