Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,4,2,2,50.0%,4-5,44.4%,34-42,44.7%,0-0,-,4,62.2%,28.2%,2.5%,4.6%,65.3%,60.3%,53.0%,57.7%,41.6%,49.3%,0.98,R16 (2x)
2017,2,0,2,0.0%,0-4,0.0%,11-24,31.4%,0-0,-,2,47.1%,16.7%,1.8%,0.0%,72.3%,50.6%,45.2%,49.1%,36.0%,42.5%,0.71,R32 (2x)
2016,7,3,4,42.9%,6-9,40.0%,55-74,42.6%,1-0,100.0%,7,61.9%,23.1%,0.5%,3.5%,70.4%,57.9%,48.4%,55.1%,36.7%,46.3%,0.82,SF (New Delhi)
2015,26,13,13,50.0%,29-29,50.0%,263-280,48.4%,4-1,80.0%,26,63.2%,33.5%,0.6%,4.3%,75.0%,59.1%,46.0%,55.9%,42.9%,49.3%,0.97,SF (Ho Chi Minh City)
2014,32,13,19,40.6%,34-42,44.7%,346-358,49.1%,4-6,40.0%,32,63.9%,35.3%,1.4%,3.6%,73.3%,59.7%,47.0%,56.3%,43.9%,49.9%,1.00,QF (2x)
2013,37,21,16,56.8%,46-38,54.8%,414-377,52.3%,6-8,42.9%,37,73.9%,31.8%,1.5%,3.7%,71.2%,65.7%,47.0%,60.4%,42.3%,51.2%,1.07,SF (2x)
2012,11,7,4,63.6%,14-13,51.9%,132-122,52.0%,2-1,66.7%,11,63.5%,41.5%,2.0%,5.6%,66.0%,62.7%,41.4%,55.5%,45.4%,50.5%,1.02,F (St. Remy)
2011,44,31,13,70.5%,63-34,64.9%,503-403,55.5%,4-5,44.4%,43,74.7%,36.9%,1.9%,4.0%,70.3%,64.9%,50.3%,60.6%,44.3%,52.2%,1.12,W (Burnie)
2010,36,15,21,41.7%,34-48,41.5%,363-389,48.3%,3-3,50.0%,36,65.0%,32.6%,0.9%,3.9%,73.6%,59.5%,48.9%,56.7%,42.8%,49.7%,0.99,F (Noumea)
2009,14,4,10,28.6%,9-18,33.3%,109-137,44.3%,1-3,25.0%,0,,,,,,,,,,,,QF (Reggio Emilia)
2008,35,16,19,45.7%,36-47,43.4%,359-414,46.4%,6-2,75.0%,0,,,,,,,,,,,,F (Tampere)
2007,57,34,23,59.6%,75-60,55.6%,679-614,52.5%,5-10,33.3%,0,,,,,,,,,,,,W (3x)
2006,41,18,23,43.9%,40-51,44.0%,422-449,48.5%,5-6,45.5%,0,,,,,,,,,,,,W (Turin)
2005,32,19,13,59.4%,42-33,56.0%,352-334,51.3%,3-3,50.0%,0,,,,,,,,,,,,F (2x)
2004,3,0,3,0.0%,0-4,0.0%,14-25,35.9%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2003,8,2,6,25.0%,4-12,25.0%,53-81,39.6%,0-2,0.0%,0,,,,,,,,,,,,R16 (2x)
Career,389,198,191,50.9%,436-447,49.4%,4109-4123,49.9%,44-50,46.8%,198,68.0%,34.0%,1.4%,4.0%,71.8%,61.8%,47.7%,57.9%,43.1%,50.4%,1.02,
