Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2014 St. Remy CH R32,L vs Martin,45% (5/11),- (0/0),0/0,0/0,25% (1/4),2/4,2/3,- (0/0),- (0/0)
2014 Segovia CH QF,L vs Kudryavtsev,73% (8/11),- (0/0),0/0,0/0,50% (2/4),0/2,0/1,- (0/0),- (0/0)
2014 Segovia CH R16,W vs Mektic,67% (8/12),57% (4/7),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2014 Segovia CH R32,W vs Lopez Perez,89% (8/9),33% (4/12),2/4,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2014 France F14 QF,W vs Lestienne,39% (7/18),83% (5/6),2/2,1/1,100% (10/10),0/0,0/0,- (0/0),- (0/0)
2014 Netherlands F3 SF,L vs Coppejans,75% (6/8),25% (1/4),0/0,0/0,57% (4/7),2/4,0/1,40% (2/5),33% (2/6)
2014 Netherlands F2 R16,W vs Ouellette,57% (8/14),44% (4/9),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2014 Blois CH R32,L vs Gonzalez,54% (7/13),25% (1/4),0/0,0/0,57% (4/7),1/3,0/1,50% (3/6),33% (2/6)
2014 Bordeaux CH R32,L vs Collarini,53% (8/15),50% (1/2),0/0,0/0,57% (4/7),2/4,0/1,- (0/0),- (0/0)
2014 Aix en Provence CH R32,L vs Eysseric,73% (8/11),40% (2/5),1/1,0/0,56% (5/9),1/3,1/2,- (0/0),- (0/0)
2014 St. Brieuc CH R32,L vs Beck,50% (9/18),33% (2/6),0/2,0/0,67% (6/9),5/7,3/4,75% (6/8),13% (1/8)
2014 France F6 R16,L vs Musialek,82% (9/11),60% (3/5),1/1,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2014 Cherbourg CH R32,L vs Cecchinato,57% (13/23),8% (1/12),1/2,0/0,60% (3/5),3/5,1/2,33% (2/6),50% (3/6)
2014 Quimper CH R16,L vs Herbert,62% (16/26),0% (0/2),1/3,0/0,0% (0/1),0/2,0/1,70% (7/10),36% (4/11)
2014 Quimper CH R32,W vs Wang,91% (10/11),27% (3/11),2/3,1/2,83% (5/6),2/2,0/0,- (0/0),- (0/0)
2014 France F1 SF,L vs Eysseric,64% (7/11),42% (5/12),1/1,0/0,30% (3/10),0/2,0/1,- (0/0),- (0/0)
2014 France F1 QF,W vs Janvier,67% (6/9),55% (6/11),2/5,1/2,50% (4/8),0/0,0/0,- (0/0),- (0/0)
2014 France F1 R16,W vs Marrai,67% (6/9),100% (6/6),2/4,1/3,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2013 Mouilleron-Le-Captif CH R16,L vs Ouanna,67% (6/9),- (0/0),0/0,0/0,67% (6/9),0/2,0/1,- (0/0),- (0/0)
2013 Mouilleron-Le-Captif CH R32,W vs Authom,62% (8/13),44% (4/9),2/3,1/2,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2014 (18 matches),,62.1%,42.1%,59.4%,58.3%,56.6%,45.0%,38.9%,57.1%,32.4%
2013 (27 matches),,59.0%,48.6%,65.8%,75.0%,56.7%,45.2%,50.0%,55.0%,44.2%
2012 (29 matches),,60.4%,42.4%,55.3%,64.7%,52.2%,38.7%,18.2%,50.8%,34.3%
2011 (5 matches),,56.8%,34.8%,37.5%,50.0%,40.6%,28.6%,20.0%,81.0%,19.0%
2009 (1 matches),,55.6%,57.1%,-,-,50.0%,33.3%,50.0%,-,-
Career (80 matches),,60.0%,44.1%,58.4%,65.1%,54.0%,41.5%,37.3%,57.2%,34.5%
