Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
9,Mariano Puerta [ARG],4,5,44.4%,2,0,2,0.0%,1994,2005,5,0.90,4.7%,6.1%,59.5%,65.7%,50.3%,59.5%,36.4%,50.0%,28.6%
8,Gaston Gaudio [ARG],4,4,50.0%,3,2,1,66.7%,1994,2004,6,1.08,6.2%,5.3%,52.0%,68.2%,48.7%,58.8%,44.4%,52.1%,44.6%
8,Lucas Arnold Ker [ARG],5,3,62.5%,1,1,0,100.0%,1993,1998,0,,,,,,,,,,
7,Jose Acasuso [ARG],2,5,28.6%,2,1,1,50.0%,2001,2004,4,0.82,5.0%,5.6%,60.3%,66.2%,45.8%,58.1%,34.5%,66.0%,35.0%
7,Andrei Pavel [ROU],2,5,28.6%,3,0,3,0.0%,1998,2002,7,0.94,3.6%,4.8%,62.5%,68.0%,45.7%,59.6%,38.0%,61.4%,35.7%
7,Younes El Aynaoui [MAR],3,4,42.9%,2,1,1,50.0%,1997,2001,5,1.08,3.6%,5.0%,58.7%,69.0%,51.3%,61.7%,41.4%,59.5%,41.9%
7,Dominik Hrbaty [SVK],2,5,28.6%,2,0,2,0.0%,1997,2000,5,0.91,5.5%,5.0%,57.6%,68.1%,47.4%,59.3%,37.1%,55.6%,38.2%
7,Mariano Hood [ARG],1,6,14.3%,3,0,3,0.0%,1992,1995,0,,,,,,,,,,
6,Alberto Martin [ESP],4,2,66.7%,1,0,1,0.0%,1998,2003,5,0.92,4.7%,5.4%,59.1%,66.2%,45.6%,57.8%,38.8%,72.3%,38.5%
6,Agustin Calleri [ARG],5,1,83.3%,1,1,0,100.0%,1995,2003,3,1.08,8.1%,7.3%,59.4%,74.1%,50.5%,64.5%,38.1%,60.0%,56.3%
6,Fernando Vicente [ESP],1,5,16.7%,3,2,1,66.7%,1999,2002,5,0.88,4.7%,6.9%,55.9%,66.0%,43.8%,56.2%,38.6%,42.1%,32.4%
6,Galo Blanco [ESP],3,3,50.0%,3,1,2,33.3%,1997,2001,5,0.96,4.9%,7.3%,58.3%,68.3%,41.0%,56.9%,41.2%,59.3%,31.7%
6,Mariano Zabaleta [ARG],4,2,66.7%,0,0,0,-,1993,2001,4,0.96,3.0%,4.8%,59.4%,59.8%,50.0%,55.8%,42.3%,51.4%,48.5%
6,Hernan Gumy [ARG],2,4,33.3%,1,0,1,0.0%,1993,1999,1,0.94,4.2%,0.0%,68.1%,65.3%,56.5%,62.5%,35.2%,81.8%,16.7%
6,Marcelo Charpentier [ARG],4,2,66.7%,1,0,1,0.0%,1994,1997,0,,,,,,,,,,
