Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),237,231,238,1528,209,1508,244,1457,,,,,,
2025,265,202,284,1481,271,1451,257,1437,,,,,,
2024,308,166,,,,,,,,,1151,25,,
2023,336,152,291,1444,305,1382,242,1444,190,1444,,,,
2022,201,275,205,1544,184,1522,224,1473,159,1479,,,,
2021,240,262,178,1571,167,1539,189,1506,139,1522,,,,
2020,183,349,178,1540,182,1482,171,1496,,,976,25,,
2019,202,250,175,1576,165,1543,190,1495,,,,,,
2018,324,80,285,1427,260,1405,311,1332,,,,,,
2017,355,127,,,,,,,,,599,81,,
2016,316,152,349,1306,336,1280,332,1262,238,1342,387,159,,
2015,298,168,367,1308,368,1242,338,1282,,,390,173,,
2014,297,166,,,,,,,,,409,147,,
2013,603,46,,,,,,,,,578,90,,
2012,1108,6,,,,,,,,,,,,
2011,1794,1,,,,,,,,,,,,
2010,,,,,,,,,,,1200,10,,
