Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,7,10,41.2%,23-24,48.9%,239-250,48.9%,8-3,72.7%,17,80.3%,16.3%,9.8%,6.3%,60.6%,75.2%,49.0%,64.9%,35.7%,50.0%,1.01
Clay,7,3,4,42.9%,8-11,42.1%,88-88,50.0%,1-1,50.0%,6,73.9%,25.6%,9.3%,4.7%,58.5%,70.5%,44.1%,59.6%,39.1%,49.7%,0.97
Grass,4,1,3,25.0%,6-9,40.0%,75-76,49.7%,0-2,0.0%,4,79.7%,21.3%,10.5%,6.9%,60.2%,71.7%,46.6%,61.7%,36.9%,49.2%,0.96
Grand Slams,6,2,4,33.3%,12-16,42.9%,139-140,49.8%,2-2,50.0%,6,76.1%,23.4%,9.9%,5.0%,57.8%,72.4%,45.1%,60.9%,38.3%,49.7%,0.98
Masters,14,8,6,57.1%,20-15,57.1%,189-171,52.5%,5-4,55.6%,13,84.7%,20.0%,9.7%,6.1%,61.6%,76.5%,51.1%,66.7%,36.7%,51.5%,1.10
Other Tours,8,1,7,12.5%,5-13,27.8%,74-103,41.8%,2-0,100.0%,8,71.3%,11.2%,9.8%,7.7%,60.7%,69.1%,44.0%,59.2%,33.9%,46.4%,0.83
Best of 5,6,2,4,33.3%,12-16,42.9%,139-140,49.8%,2-2,50.0%,6,76.1%,23.4%,9.9%,5.0%,57.8%,72.4%,45.1%,60.9%,38.3%,49.7%,0.98
Best of 3,22,9,13,40.9%,25-28,47.2%,263-274,49.0%,7-4,63.6%,21,80.2%,17.0%,9.8%,6.6%,61.3%,74.0%,48.7%,64.2%,35.8%,49.8%,1.00
vs Righties,26,10,16,38.5%,33-39,45.8%,357-367,49.3%,9-5,64.3%,25,79.2%,18.6%,9.6%,5.9%,60.5%,73.7%,47.9%,63.5%,36.8%,50.0%,1.01
vs Lefties,2,1,1,50.0%,4-5,44.4%,45-47,48.9%,0-1,0.0%,2,75.6%,23.9%,11.5%,7.0%,57.0%,72.1%,43.7%,59.9%,35.3%,48.2%,0.88
vs Top 10,4,0,4,0.0%,2-7,22.2%,41-54,43.2%,1-1,50.0%,3,73.9%,12.8%,9.3%,5.6%,60.4%,72.2%,41.7%,60.1%,30.4%,46.3%,0.76
