Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2021 US Open R128,L vs Thompson,60% (21/35),42% (5/12),2/2,0/0,64% (7/11),1/4,1/2,40% (2/5),20% (1/5)
2021 Wimbledon R64,L vs Kyrgios,78% (14/18),- (0/0),0/1,0/0,71% (5/7),1/4,0/1,75% (6/8),13% (1/8)
2021 Wimbledon R128,W vs Londero,63% (17/27),50% (5/10),3/3,1/1,82% (9/11),2/3,0/0,60% (3/5),80% (4/5)
2021 Roland Garros R64,L vs Sinner,54% (13/24),50% (2/4),1/3,0/0,55% (6/11),1/4,0/1,- (0/0),- (0/0)
2021 Roland Garros R128,W vs Gojowczyk,53% (16/30),50% (6/12),3/7,1/2,77% (10/13),0/1,0/0,- (0/0),- (0/0)
2021 Australian Open R128,L vs Karatsev,90% (9/10),50% (1/2),0/0,0/0,55% (6/11),0/3,0/1,- (0/0),- (0/0)
2020 Roland Garros R128,L vs Lajovic,59% (13/22),57% (4/7),1/1,0/0,71% (15/21),1/4,0/1,40% (2/5),33% (2/6)
2020 Rio De Janeiro F,L vs Garin,64% (9/14),33% (2/6),0/0,0/0,70% (7/10),0/2,0/1,40% (2/5),20% (1/5)
2020 Rio De Janeiro SF,W vs Balazs,76% (13/17),33% (3/9),2/3,1/2,67% (8/12),1/2,0/0,82% (9/11),56% (5/9)
2019 Hamburg CH R16,L vs Van De Zandschulp,83% (5/6),0% (0/5),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2019 Aix En Provence CH R16,W vs Couacaud,53% (10/19),75% (3/4),2/4,1/2,0% (0/2),0/0,0/0,67% (4/6),50% (3/6)
2019 Aix En Provence CH R32,W vs Ward,56% (9/16),20% (3/15),2/3,1/1,50% (1/2),0/0,0/0,83% (5/6),40% (2/5)
2019 Bordeaux CH QF,L vs Barrere,46% (6/13),13% (1/8),0/5,0/0,50% (3/6),0/2,0/1,25% (1/4),0% (0/4)
2019 Bordeaux CH R16,W vs Bega,67% (8/12),80% (4/5),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 Bordeaux CH R32,W vs Lokoli,92% (11/12),36% (5/14),2/2,1/1,80% (4/5),0/1,0/0,- (0/0),- (0/0)
2019 Barletta CH SF,W vs Galovic,69% (9/13),60% (3/5),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 Barletta CH QF,W vs Napolitano,77% (10/13),22% (2/9),2/2,1/1,67% (2/3),0/0,0/0,83% (5/6),40% (2/5)
2019 Barletta CH R32,W vs Kotov,57% (8/14),57% (4/7),2/3,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2019 Sophia Antipolis CH QF,L vs Krajinovic,73% (8/11),29% (2/7),0/0,0/0,75% (9/12),0/2,0/1,20% (1/5),25% (1/4)
2019 Sophia Antipolis CH R16,W vs Herbert,67% (12/18),33% (1/3),2/5,1/1,- (0/0),0/0,0/0,83% (5/6),40% (2/5)
2021 (6 matches),,62.5%,47.5%,56.3%,66.7%,67.2%,26.3%,20.0%,61.1%,33.3%
2020 (3 matches),,66.0%,40.9%,75.0%,50.0%,69.8%,25.0%,0.0%,61.9%,40.0%
2019 (28 matches),,64.9%,39.7%,47.3%,55.3%,60.7%,19.2%,0.0%,60.5%,36.5%
2018 (11 matches),,63.2%,40.7%,50.0%,41.7%,60.3%,51.9%,62.5%,75.0%,37.5%
2017 (8 matches),,61.1%,28.0%,41.7%,66.7%,60.9%,13.3%,0.0%,57.1%,28.6%
Career (82 matches),,62.7%,38.1%,47.3%,52.9%,59.1%,34.1%,37.8%,62.9%,35.6%
