Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2019 Wimbledon R128,L vs Djere,22,40,0.6,8.1%,14.8%,17,34,0.5,7.0%,13.9%,3.7%,2.9%,1.0,17.7%,17.7%
2019 Roland Garros R128,L vs Pella,25,58,0.4,10.3%,23.9%,25,58,0.4,11.1%,25.7%,,,0.7,11.5%,15.6%
2019 Indian Wells Masters R128,W vs Ivashka,21,34,0.6,12.7%,20.6%,17,30,0.6,11.7%,20.7%,9.0%,2.8%,0.5,10.9%,21.8%
2019 Cordoba R32,L vs Munar,17,34,0.5,12.8%,25.6%,15,28,0.5,12.7%,23.7%,8.5%,3.4%,1.0,15.0%,15.8%
2019 Australian Open R128,L vs Travaglia,25,45,0.6,11.0%,19.8%,17,40,0.4,9.0%,21.3%,8.0%,1.1%,1.4,21.6%,15.4%
2018 Szczecin CH F,W vs Davidovich Fokina,19,30,0.6,10.1%,15.9%,17,30,0.6,9.3%,16.5%,6.0%,3.3%,0.7,19.0%,26.5%
2018 US Open R128,L vs Sock,20,19,1.1,12.3%,11.7%,13,15,0.9,9.3%,10.7%,5.7%,2.1%,2.3,22.1%,9.8%
2018 Wimbledon R128,L vs Zeballos,38,25,1.5,13.8%,9.1%,27,17,1.6,11.3%,7.1%,8.8%,2.1%,2.2,19.6%,9.1%
2018 Roland Garros R64,L vs Verdasco,17,25,0.7,9.8%,14.5%,17,25,0.7,10.8%,15.9%,,,1.3,20.2%,15.6%
2018 Roland Garros R128,W vs Fritz,37,31,1.2,12.0%,10.1%,37,31,1.2,13.9%,11.7%,,,0.8,12.0%,15.3%
2016 US Open R128,L vs Tsonga,21,35,0.6,12.7%,21.2%,16,28,0.6,11.9%,20.9%,7.5%,3.0%,1.1,18.8%,16.4%
2015 Campinas CH R16,L vs Schwartzman,29,56,0.5,15.3%,29.5%,26,54,0.5,14.9%,31.0%,10.9%,4.0%,0.6,12.6%,19.5%
2012 US Open R128,L vs Nishikori,23,49,0.5,14.4%,30.6%,15,43,0.3,10.8%,30.9%,,,1.1,12.5%,11.9%
Career (13 matches),,314,481,0.7,11.8%,18.1%,259,433,0.6,11.0%,18.4%,4.9%,1.8%,1.0,16.4%,16.0%
