Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
02-Mar-2026,Hersonissos 1 CH,Hard,F,277,244,(5) Toby Samuel [GBR] d. Wendelken,6-3 6-0,0.62,0.0%,2.2%,62.2%,39.3%,47.1%,8/13,1:10
02-Feb-2026,M25 Sheffield,Hard,F,309,366,Wendelken d. Paul Jubb [GBR],6-7(5) 6-3 6-2,1.18,8.6%,2.9%,59.0%,80.6%,55.8%,7/7,2:19
27-Oct-2025,M25 Glasgow,Hard,F,349,400,Wendelken d. Jelle Sels [NED],6-3 1-6 6-2,1.19,11.3%,0.0%,61.3%,68.4%,62.5%,1/3,1:56
13-Oct-2025,Hersonissos 6 CH,Hard,F,446,418,(LL) Wendelken d. (NG) Maxim Mrva [CZE],6-4 6-3,1.32,1.5%,2.9%,55.9%,63.2%,46.7%,9/12,1:47
17-Mar-2025,M25 Toulouse-Balma,Hard,F,632,612,Wendelken d. Mae Malige [FRA],6-7(6) 6-4 7-5,1.08,3.2%,1.6%,50.4%,68.3%,56.5%,6/9,3:23
30-Sep-2024,M15 Grodzisk Mazowiecki,Hard,F,807,487,(2) Michael Agwi [IRL] d. Wendelken,6-0 6-1,,,,,,,,
04-Sep-2023,M25 Sintra,Hard,F,548,517,(6) Wendelken d. (5) Jaime Faria [POR],3-6 6-2 7-6(4),,,,,,,,
20-Mar-2023,M25 Toulouse-Balma,Hard,F,614,911,Nikolay Vylegzhanin [RUS] d. Wendelken,3-6 6-1 6-2,,,,,,,,
10-Oct-2022,M25 Sunderland,Hard,F,613,663,Wendelken d. Arthur Fery [GBR],6-4 6-4,,,,,,,,
07-Feb-2022,M25 Shrewsbury,Hard,F,1037,495,Alastair Gray [GBR] d. (WC) Wendelken,7-5 6-1,,,,,,,,
