Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,14,5,9,35.7%,8,4,4,50.0%,2014,2023,R64,12,0.93,9.0%,2.8%,59.0%,70.8%,47.8%,61.4%,36.1%,51.3%,42.6%
Roland Garros,9,Clay,24,14,10,58.3%,8,6,2,75.0%,2014,2023,R32,19,1.06,6.5%,3.1%,58.6%,67.1%,49.9%,60.0%,42.3%,61.1%,48.7%
Wimbledon,9,Grass,11,2,9,18.2%,2,0,2,0.0%,2013,2023,R128,5,0.80,6.7%,3.2%,61.2%,73.2%,43.6%,61.7%,30.6%,43.3%,13.0%
US Open,7,Hard,15,8,7,53.3%,12,8,4,66.7%,2013,2022,R32,12,0.94,7.8%,5.3%,54.9%,73.1%,51.6%,63.4%,34.4%,59.4%,43.7%
Davis Cup,10,,24,12,12,50.0%,20,8,12,40.0%,2009,2022,,15,1.11,8.6%,4.6%,62.1%,75.5%,52.5%,66.8%,37.0%,65.3%,33.1%
Hamburg,2,Clay,2,0,2,0.0%,0,0,0,-,2018,2022,R32,2,0.81,3.1%,3.7%,60.1%,59.2%,46.2%,54.0%,37.3%,66.7%,50.0%
Bastad,8,Clay,27,18,9,66.7%,9,4,5,44.4%,2012,2022,SF,26,1.10,4.3%,4.5%,63.2%,69.2%,48.6%,61.6%,42.3%,58.5%,39.4%
Geneva,3,Clay,6,3,3,50.0%,0,0,0,-,2015,2022,R32,6,1.00,5.1%,3.8%,58.7%,66.7%,44.1%,57.3%,42.8%,53.8%,43.1%
Munich,3,Clay,4,1,3,25.0%,1,0,1,0.0%,2014,2022,Q2,4,0.90,4.8%,3.8%,62.0%,67.5%,43.7%,58.5%,37.3%,57.1%,33.3%
Monte Carlo Masters,2,Clay,3,1,2,33.3%,1,1,0,100.0%,2021,2022,Q2,3,0.93,3.1%,4.0%,44.8%,69.0%,49.6%,58.3%,38.6%,48.0%,36.4%
Miami Masters,5,Hard,6,1,5,16.7%,4,1,3,25.0%,2017,2022,R64,6,0.78,5.1%,5.3%,52.4%,59.7%,52.7%,56.4%,34.0%,49.0%,39.4%
