Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
12-Aug-2024,M15 Sofia,Clay,R32,781,1317,Gokberk Saritas [TUR] d. (6) Laaksonen,W/O,,,,,,,,
05-Aug-2024,Bonn CH,Clay,Q1,778,334,(3) Juan Bautista Torres [ARG] d. (PR) Laaksonen,6-2 6-3,0.59,1.3%,9.0%,50.0%,61.5%,46.2%,9/13,1:29
29-Jul-2024,Luedenscheid CH,Clay,Q2,808,582,Mirza Basic [BIH] d. (PR) Laaksonen,6-4 7-5,0.82,15.7%,3.6%,48.2%,77.5%,44.2%,7/9,1:39
29-Jul-2024,Luedenscheid CH,Clay,Q1,808,418,(PR) Laaksonen d. (1) Alexey Vatutin [RUS],7-6(4) 6-0,1.57,18.8%,1.6%,54.7%,80.0%,51.7%,5/6,1:21
22-Jul-2024,Tampere CH,Clay,R32,859,286,Gauthier Onclin [BEL] d. (Q) Laaksonen,6-3 6-4,0.86,5.7%,1.9%,56.6%,56.7%,39.1%,3/8,1:32
22-Jul-2024,Tampere CH,Clay,Q1,859,622,(PR) Laaksonen d. (10) Ji Sung Nam [KOR],7-6(2) 5-7 6-3,1.10,0.9%,3.6%,50.9%,60.7%,53.7%,11/17,2:29
24-Jun-2024,M15 Wroclaw,Clay,SF,771,521,(3) Michael Agwi [IRL] d. Laaksonen,W/O,,,,,,,,
24-Jun-2024,M15 Wroclaw,Clay,QF,771,,Laaksonen d. (Q) Karol Drzewiecki [POL],7-6(7) 3-6 7-5,,,,,,,,
24-Jun-2024,M15 Wroclaw,Clay,R16,771,983,Laaksonen d. Maciej Rajski [POL],6-4 3-2 RET,,,,,,,,
24-Jun-2024,M15 Wroclaw,Clay,R32,771,552,Laaksonen d. (7) Olaf Pieczkowski [POL],6-4 6-4,,,,,,,,
03-Jun-2024,Prostejov CH,Clay,Q1,780,320,(3) Toby Alex Kodat [USA] d. (PR) Laaksonen,6-1 6-1,0.51,0.0%,9.5%,57.1%,58.3%,11.1%,2/7,0:58
20-May-2024,Augsburg CH,Clay,Q1,775,547,(12) Norbert Gombos [SVK] d. (PR) Laaksonen,6-2 6-4,0.47,1.8%,10.7%,58.9%,63.6%,47.8%,2/5,0:58
16-Oct-2023,Hamburg CH,Hard,R32,306,222,(6) Cem Ilkel [TUR] d. Laaksonen,6-2 3-1 RET,0.56,5.0%,0.0%,45.0%,72.2%,36.4%,2/5,0:51
02-Oct-2023,Lisbon CH,Clay,R32,314,93,(1) Albert Ramos [ESP] d. (LL) Laaksonen,6-4 3-6 6-2,0.92,6.7%,3.4%,58.4%,69.2%,40.5%,2/7,1:59
02-Oct-2023,Lisbon CH,Clay,Q2,314,342,(8) Enrico Dalla Valle [ITA] d. (6) Laaksonen,6-7(5) 6-2 6-3,0.64,1.7%,4.2%,58.8%,61.4%,51.0%,11/15,2:35
02-Oct-2023,Lisbon CH,Clay,Q1,314,1683,(6) Laaksonen d. (WC) Goncalo Falcao [POR],6-1 6-1,2.37,11.8%,0.0%,61.8%,66.7%,84.6%,0/1,0:50
25-Sep-2023,Braga CH,Clay,Q1,317,706,(Alt) Joao Domingues [POR] d. (11) Laaksonen,7-6(2) 6-3,0.73,2.2%,6.7%,44.9%,70.0%,44.9%,7/9,1:50
