Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Barletta CH,Clay,R32,255,304,Squire vs (SE) Mili Poljicak [CRO],,,,,,,,,
23-Mar-2026,Naples CH,Clay,R32,258,278,Sumit Nagal [IND] d. Squire,7-5 3-6 6-4,0.94,1.0%,6.2%,80.4%,52.6%,47.4%,7/14,2:43
16-Mar-2026,Zadar CH,Clay,R16,258,161,(4) Stefano Travaglia [ITA] d. Squire,6-3 6-2,0.59,0.0%,6.3%,70.8%,44.1%,42.9%,0/5,1:11
16-Mar-2026,Zadar CH,Clay,R32,258,400,Squire d. (LL) Stefan Palosi [ROU],6-4 5-3 RET,0.98,2.6%,5.2%,77.9%,63.3%,52.9%,8/9,1:20
23-Feb-2026,Lugano CH,Hard,R32,249,180,(3) Zsombor Piros [HUN] d. Squire,7-5 7-6(5),1.02,11.0%,1.4%,76.7%,73.2%,58.8%,6/8,1:42
16-Feb-2026,Lille CH,Hard,Q1,248,620,(WC) Felix Balshaw [FRA] d. (8) Squire,7-6(5) 7-6(7),0.98,7.5%,3.8%,67.5%,70.4%,57.7%,0/2,2:01
09-Feb-2026,Pau CH,Hard,SF,282,131,(7) Benjamin Bonzi [FRA] d. (Q) Squire,7-6(6) 6-4,0.94,4.5%,4.5%,66.7%,81.8%,27.3%,3/6,1:32
09-Feb-2026,Pau CH,Hard,QF,282,84,(Q) Squire d. (2) Alexander Shevchenko [KAZ],6-7(5) 7-6(6) 7-6(4),1.12,9.6%,0.0%,79.1%,80.2%,62.5%,2/2,2:23
09-Feb-2026,Pau CH,Hard,R16,282,154,(Q) Squire d. Giulio Zeppieri [ITA],3-6 6-3 6-3,1.26,8.5%,2.8%,74.6%,77.4%,61.1%,4/5,1:32
09-Feb-2026,Pau CH,Hard,R32,282,503,(Q) Squire d. (WC) Moise Kouame [FRA],6-3 7-5,1.30,1.4%,0.0%,80.3%,63.2%,64.3%,8/10,1:30
09-Feb-2026,Pau CH,Hard,Q2,282,266,(7) Squire d. (5) Geoffrey Blancaneaux [FRA],7-5 6-2,1.34,2.9%,2.9%,73.5%,80.0%,38.9%,3/3,1:34
09-Feb-2026,Pau CH,Hard,Q1,282,332,(7) Squire d. (Alt) Matteo Martineau [FRA],6-7(1) 7-6(5) 6-2,1.14,4.9%,2.0%,62.7%,71.9%,55.3%,3/5,2:45
02-Feb-2026,Koblenz CH,Hard,R32,287,433,(Q) Buvaysar Gadamauri [BEL] d. (5) Squire,2-6 6-1 6-3,0.83,5.4%,4.1%,68.9%,68.6%,30.4%,1/5,1:39
19-Jan-2026,Oeiras 1 CH,Hard,R32,276,313,(NG) Petr Brunclik [CZE] d. (Q) Squire,6-0 6-2,0.62,5.4%,10.7%,55.4%,45.2%,32.0%,5/11,1:08
19-Jan-2026,Oeiras 1 CH,Hard,Q2,276,333,(4) Squire d. (11) Mathys Erhard [FRA],6-1 7-6(8),1.39,14.3%,1.6%,63.5%,82.5%,52.2%,1/2,1:30
19-Jan-2026,Oeiras 1 CH,Hard,Q1,276,443,(4) Squire d. (Alt) Buvaysar Gadamauri [BEL],6-7(8) 6-2 6-3,1.07,6.5%,5.6%,61.1%,71.2%,57.1%,7/8,2:09
12-Jan-2026,Glasgow CH,Hard,R16,276,304,Charles Broom [GBR] d. (8) Squire,6-4 7-6(6),0.81,12.1%,6.1%,71.2%,78.7%,47.4%,1/2,1:15
12-Jan-2026,Glasgow CH,Hard,R32,276,491,(8) Squire d. (WC) Lui Maxted [GBR],6-1 3-6 6-3,1.43,8.2%,5.5%,71.2%,76.9%,61.9%,2/3,1:38
10-Nov-2025,Lyon CH,Hard,Q1,267,391,(Alt) Liam Broady [GBR] d. (9) Squire,3-3 RET,0.64,19.2%,3.8%,65.4%,64.7%,66.7%,2/2,0:36
