Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
14-Apr-2025,Barcelona,Clay,F,13,2,(6) Rune d. (1) Carlos Alcaraz [ESP],7-6(6) 6-2,1.11,0.0%,1.4%,72.2%,69.2%,55.0%,4/5,1:40
05-Mar-2025,Indian Wells Masters,Hard,F,13,14,(13) Jack Draper [GBR] d. (12) Rune,6-2 6-2,0.54,1.9%,3.8%,65.4%,58.8%,38.9%,3/7,1:09
01-Jan-2024,Brisbane,Hard,F,8,14,(2) Grigor Dimitrov [BUL] d. (1) Rune,7-6(5) 6-4,0.77,9.5%,3.2%,61.1%,75.9%,43.2%,8/9,2:16
08-May-2023,Rome Masters,Clay,F,7,3,(3) Daniil Medvedev [RUS] d. (7) Rune,7-5 7-5,0.83,2.9%,1.5%,48.5%,51.5%,62.9%,2/6,1:42
17-Apr-2023,Munich,Clay,F,7,29,(1) Rune d. (4) Botic Van De Zandschulp [NED],6-4 1-6 7-6(3),0.95,4.2%,7.3%,63.5%,62.3%,45.7%,6/12,2:52
10-Apr-2023,Monte Carlo Masters,Clay,F,9,6,(5) Andrey Rublev [RUS] d. (6) Rune,5-7 6-2 7-5,0.81,5.4%,8.0%,50.0%,71.4%,37.5%,13/19,2:34
31-Oct-2022,Paris Masters,Hard,F,18,7,Rune d. (6) Novak Djokovic [SRB],3-6 6-3 7-5,0.80,5.5%,6.4%,63.3%,71.0%,47.5%,10/12,2:33
24-Oct-2022,Basel,Hard,F,25,9,(3) Felix Auger Aliassime [CAN] d. Rune,6-3 7-5,0.66,5.9%,0.0%,73.5%,64.0%,55.6%,3/5,1:39
17-Oct-2022,Stockholm,Hard,F,27,5,(7) Rune d. (1) Stefanos Tsitsipas [GRE],6-4 6-4,1.30,5.2%,0.0%,67.2%,74.4%,68.4%,1/1,1:31
26-Sep-2022,Sofia,Hard,F,31,95,Marc Andrea Huesler [SUI] d. (5) Rune,6-4 7-6(8),0.94,15.3%,2.8%,61.1%,77.3%,57.1%,3/4,1:41
