Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
13-Oct-2025,Stockholm,Hard,SF,11,25,(4) Ugo Humbert [FRA] d. (1) Rune,4-6 2-2 RET,1.00,7.7%,5.8%,57.7%,76.7%,40.9%,5/6,1:23
13-Oct-2025,Stockholm,Hard,QF,11,63,(1) Rune d. Tomas Martin Etcheverry [ARG],6-7(4) 6-3 6-4,1.46,14.8%,9.9%,59.3%,83.3%,51.5%,2/5,2:33
13-Oct-2025,Stockholm,Hard,R16,11,55,(1) Rune d. Marton Fucsovics [HUN],6-4 6-4,1.19,8.6%,2.9%,67.1%,68.1%,56.5%,8/9,1:48
01-Oct-2025,Shanghai Masters,Hard,QF,11,204,(Q) Valentin Vacherot [MON] d. (10) Rune,2-6 7-6(4) 6-4,1.08,12.2%,4.1%,68.4%,73.1%,41.9%,2/4,2:59
01-Oct-2025,Shanghai Masters,Hard,R16,11,37,(10) Rune d. (32) Giovanni Mpetshi Perricard [FRA],6-4 6-7(7) 6-3,1.38,9.7%,0.0%,63.4%,81.4%,70.6%,3/3,2:28
01-Oct-2025,Shanghai Masters,Hard,R32,11,26,(10) Rune d. (21) Ugo Humbert [FRA],6-4 6-4,1.48,11.5%,3.8%,59.6%,80.6%,66.7%,0/1,1:34
01-Oct-2025,Shanghai Masters,Hard,R64,11,42,(10) Rune d. Sebastian Baez [ARG],7-5 6-4,1.17,4.4%,7.4%,61.8%,76.2%,34.6%,3/6,1:46
24-Sep-2025,Tokyo,Hard,QF,11,86,(PR) Jenson Brooksby [USA] d. (3) Rune,6-3 6-3,0.83,8.6%,3.4%,67.2%,71.8%,21.1%,3/7,1:30
24-Sep-2025,Tokyo,Hard,R16,11,81,(3) Rune d. (Q) Ethan Quinn [USA],6-4 6-2,1.46,11.3%,1.9%,69.8%,67.6%,68.8%,1/2,1:13
24-Sep-2025,Tokyo,Hard,R32,11,63,(3) Rune d. Hamad Medjedovic [SRB],7-6(7) 6-1,1.40,17.5%,3.2%,63.5%,72.5%,65.2%,3/4,1:41
19-Sep-2025,Laver Cup,Hard,RR,11,21,Francisco Cerundolo [ARG] d. Rune,6-3 7-6(5),0.94,1.5%,1.5%,69.7%,69.6%,40.0%,3/5,2:00
13-Sep-2025,Davis Cup QLS R2: DEN vs ESP,Clay,RR,11,123,Rune d. Pablo Carreno Busta [ESP],7-5 6-3,,,,,,,,
13-Sep-2025,Davis Cup QLS R2: DEN vs ESP,Clay,RR,11,67,Pedro Martinez [ESP] d. Rune,6-1 4-6 7-6(3),,,,,,,,
25-Aug-2025,US Open,Hard,R64,11,144,(Q) Jan Lennard Struff [GER] d. (11) Rune,7-6(5) 2-6 6-3 4-6 7-5,1.00,8.2%,3.1%,64.8%,79.6%,44.6%,6/9,3:25
25-Aug-2025,US Open,Hard,R128,11,73,(11) Rune d. Botic Van De Zandschulp [NED],6-3 7-6(4) 7-6(2),1.20,7.4%,5.8%,53.7%,69.2%,58.9%,2/5,3:00
07-Aug-2025,Cincinnati Masters,Hard,QF,9,136,(Q) Terence Atmane [FRA] d. (7) Rune,6-2 6-3,0.68,7.0%,1.8%,57.9%,60.6%,41.7%,7/11,1:13
07-Aug-2025,Cincinnati Masters,Hard,R16,9,14,(7) Rune d. (10) Frances Tiafoe [USA],6-4 3-1 RET,1.67,12.5%,10.0%,52.5%,90.5%,47.4%,1/2,1:12
07-Aug-2025,Cincinnati Masters,Hard,R32,9,33,(7) Rune d. (28) Alex Michelsen [USA],7-6(4) 6-3,1.13,13.4%,6.0%,58.2%,82.1%,50.0%,0/1,1:33
07-Aug-2025,Cincinnati Masters,Hard,R64,9,80,(7) Rune d. Roman Safiullin [RUS],7-5 7-6(5),1.03,4.8%,4.8%,56.0%,68.1%,62.2%,2/4,1:58
27-Jul-2025,Canada Masters,Hard,R16,9,26,(18) Alexei Popyrin [AUS] d. (5) Rune,4-6 6-2 6-3,0.65,7.2%,5.2%,64.9%,65.1%,50.0%,11/14,2:03
27-Jul-2025,Canada Masters,Hard,R32,9,40,(5) Rune d. (29) Alexandre Muller [FRA],6-2 6-4,1.51,8.2%,2.0%,65.3%,81.3%,64.7%,0/0,1:05
27-Jul-2025,Canada Masters,Hard,R64,9,43,(5) Rune d. Giovanni Mpetshi Perricard [FRA],7-6(7) 6-3,1.78,20.3%,3.4%,64.4%,86.8%,85.7%,0/0,1:16
