Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,12,5,7,41.7%,13-17,43.3%,160-166,49.1%,5-7,41.7%,12,91.1%,7.1%,18.8%,2.2%,65.7%,80.2%,49.1%,69.5%,29.8%,49.6%,0.98
Clay,11,7,4,63.6%,15-11,57.7%,138-125,52.5%,3-3,50.0%,11,85.5%,18.3%,12.5%,1.8%,63.8%,75.9%,50.5%,66.7%,34.1%,50.6%,1.02
Grass,2,1,1,50.0%,2-0,100.0%,13-10,56.5%,1-0,100.0%,1,100.0%,9.1%,24.2%,3.0%,68.2%,88.9%,57.1%,78.8%,32.9%,54.2%,1.55
Grand Slams,3,1,2,33.3%,3-7,30.0%,44-56,44.0%,1-2,33.3%,3,83.3%,6.1%,10.5%,1.0%,62.4%,76.0%,45.8%,64.6%,29.5%,46.8%,0.84
Masters,7,3,4,42.9%,6-10,37.5%,80-86,48.2%,2-3,40.0%,7,80.2%,16.3%,12.2%,2.1%,64.0%,74.0%,47.8%,64.6%,33.3%,48.9%,0.94
Other Tours,15,9,6,60.0%,21-11,65.6%,187-159,54.0%,6-5,54.5%,14,94.7%,11.6%,20.0%,2.4%,66.1%,81.7%,52.6%,71.8%,31.6%,51.9%,1.12
Best of 5,3,1,2,33.3%,3-7,30.0%,44-56,44.0%,1-2,33.3%,3,83.3%,6.1%,10.5%,1.0%,62.4%,76.0%,45.8%,64.6%,29.5%,46.8%,0.84
Best of 3,22,12,10,54.5%,27-21,56.3%,267-245,52.1%,8-8,50.0%,21,90.1%,13.1%,17.4%,2.3%,65.4%,79.2%,50.9%,69.4%,32.2%,50.9%,1.05
Finals,2,1,1,50.0%,3-3,50.0%,34-31,52.3%,0-2,0.0%,2,93.8%,12.9%,17.4%,1.9%,66.7%,77.5%,45.1%,66.7%,29.8%,49.4%,0.89
Semi-finals,2,2,0,100.0%,4-0,100.0%,26-19,57.8%,2-0,100.0%,2,100.0%,9.5%,18.7%,2.4%,74.8%,85.9%,58.1%,78.9%,34.8%,56.1%,1.65
Quarter-finals,3,1,2,33.3%,3-4,42.9%,36-38,48.6%,1-1,50.0%,3,83.3%,13.9%,15.0%,1.8%,67.0%,77.0%,44.0%,66.1%,33.3%,48.5%,0.98
vs Righties,24,13,11,54.2%,30-26,53.6%,301-288,51.1%,9-9,50.0%,23,88.9%,12.4%,16.1%,2.2%,65.0%,78.9%,49.6%,68.6%,31.9%,50.3%,1.02
vs Lefties,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,1,90.9%,0.0%,19.4%,0.0%,62.5%,73.3%,59.3%,68.1%,28.2%,48.3%,0.88
vs Top 10,6,3,3,50.0%,9-6,60.0%,90-83,52.0%,4-3,57.1%,6,94.0%,8.5%,20.8%,3.4%,65.3%,81.6%,47.8%,69.9%,30.5%,50.3%,1.01
