Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,1,0,1,0.0%,1-2,33.3%,19-20,48.7%,1-2,33.3%,1,100.0%,0.0%,25.4%,4.9%,63.9%,82.1%,56.8%,73.0%,25.0%,49.6%,0.92,R32 (Tallahassee)
2020,2,1,1,50.0%,2-2,50.0%,23-23,50.0%,1-1,50.0%,2,95.5%,4.5%,30.9%,5.9%,66.2%,84.4%,50.0%,72.8%,29.2%,50.9%,1.07,R16 (Calgary)
2019,11,7,4,63.6%,17-13,56.7%,166-170,49.4%,9-5,64.3%,11,90.7%,6.8%,22.2%,4.5%,65.0%,82.3%,58.3%,73.9%,26.4%,49.7%,1.01,F (Houston)
2018,17,13,4,76.5%,26-14,65.0%,228-210,52.1%,13-3,81.3%,17,93.4%,7.7%,25.5%,5.3%,63.0%,83.9%,58.7%,74.6%,28.1%,51.6%,1.11,W (Calgary )
2013,4,1,3,25.0%,4-5,44.4%,47-53,47.0%,3-1,75.0%,4,89.6%,2.1%,21.0%,7.9%,57.2%,84.9%,54.0%,71.7%,24.4%,48.7%,0.86,R16 (Pereira)
2012,3,2,1,66.7%,4-2,66.7%,37-32,53.6%,2-1,66.7%,3,97.0%,9.1%,23.5%,3.1%,69.9%,84.7%,61.0%,77.6%,21.0%,50.8%,0.94,QF (Bratislava)
2011,10,10,0,100.0%,18-6,75.0%,140-111,55.8%,4-2,66.7%,10,90.3%,21.0%,20.8%,3.2%,61.8%,82.1%,52.2%,70.7%,35.7%,52.9%,1.22,W (2x)
2007,10,7,3,70.0%,14-9,60.9%,131-121,52.0%,6-4,60.0%,0,,,,,,,,,,,,F (Surbiton)
2006,4,3,1,75.0%,7-4,63.6%,71-65,52.2%,5-4,55.6%,0,,,,,,,,,,,,SF (Sunrise)
2005,7,4,3,57.1%,9-8,52.9%,98-102,49.0%,6-4,60.0%,0,,,,,,,,,,,,F (Surbiton)
2004,7,5,2,71.4%,12-4,75.0%,93-77,54.7%,4-0,100.0%,0,,,,,,,,,,,,W (Calabasas)
2003,36,24,12,66.7%,52-32,61.9%,483-426,53.1%,21-12,63.6%,0,,,,,,,,,,,,W (2x)
2002,35,16,19,45.7%,41-42,49.4%,432-422,50.6%,12-11,52.2%,0,,,,,,,,,,,,F (Andorra)
2001,31,19,12,61.3%,40-35,53.3%,425-400,51.5%,17-16,51.5%,0,,,,,,,,,,,,W (Urbana)
2000,6,2,4,33.3%,4-10,28.6%,76-85,47.2%,2-6,25.0%,0,,,,,,,,,,,,QF (Prague)
Career,184,114,70,62.0%,251-188,57.2%,2469-2317,51.6%,106-72,59.6%,48,92.2%,9.4%,23.5%,4.8%,63.3%,83.2%,56.6%,73.4%,28.6%,51.0%,1.08,
