Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,26,9,17,34.6%,25-41,37.9%,306-351,46.6%,6-7,46.2%,23,73.2%,18.2%,7.1%,8.1%,61.6%,68.6%,46.7%,60.2%,34.7%,47.8%,0.87
Clay,12,7,5,58.3%,14-12,53.8%,129-119,52.0%,2-3,40.0%,12,74.0%,31.3%,7.1%,6.6%,58.4%,73.0%,45.5%,61.5%,40.7%,50.7%,1.06
Grass,10,4,6,40.0%,11-15,42.3%,122-134,47.7%,1-3,25.0%,10,80.2%,15.9%,6.7%,7.7%,64.1%,72.4%,50.7%,64.7%,32.9%,48.6%,0.93
Grand Slams,12,6,6,50.0%,18-20,47.4%,198-200,49.7%,4-4,50.0%,12,79.2%,20.9%,9.0%,8.5%,62.2%,73.3%,49.4%,64.2%,36.5%,50.1%,1.02
Masters,14,5,9,35.7%,12-19,38.7%,128-158,44.8%,3-2,60.0%,14,70.7%,18.4%,6.4%,7.0%,60.6%,67.9%,44.1%,58.5%,34.8%,47.0%,0.84
Other Tours,19,7,12,36.8%,16-26,38.1%,191-211,47.5%,2-6,25.0%,19,74.0%,22.2%,5.5%,7.3%,61.2%,69.6%,47.5%,61.0%,35.7%,48.5%,0.92
Best of 5,11,5,6,45.5%,17-20,45.9%,192-197,49.4%,4-4,50.0%,11,79.4%,19.8%,9.2%,8.4%,62.5%,73.3%,49.1%,64.3%,35.8%,49.9%,1.00
Best of 3,37,15,22,40.5%,33-48,40.7%,365-407,47.3%,5-9,35.7%,34,72.7%,21.3%,5.9%,7.3%,60.8%,68.9%,46.3%,60.0%,35.8%,48.1%,0.90
Quarter-finals,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,1,60.0%,10.0%,1.7%,17.2%,63.8%,67.6%,33.3%,55.2%,27.8%,42.0%,0.62
vs Righties,41,16,25,39.0%,43-61,41.3%,492-538,47.8%,8-11,42.1%,39,75.8%,19.1%,7.1%,7.3%,61.7%,70.7%,47.7%,61.9%,35.1%,48.6%,0.92
vs Lefties,7,4,3,57.1%,7-7,50.0%,65-66,49.6%,1-2,33.3%,6,68.4%,34.5%,6.2%,10.4%,59.2%,68.9%,43.3%,58.4%,41.1%,49.6%,0.99
vs Top 10,7,0,7,0.0%,3-17,15.0%,78-116,40.2%,1-1,50.0%,7,72.3%,9.2%,5.7%,7.0%,66.0%,66.9%,47.5%,60.3%,29.0%,45.0%,0.73
