Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1997,,,,,,,,,,,1313,1,,
1996,379,81,,,,,,,,,,,,
1995,107,,93,1762,62,1745,78,1739,,,413,94,,
1994,31,,47,1849,35,1831,36,1845,58,1684,214,275,,
1993,31,,32,1886,28,1858,36,1850,,,231,227,,
1992,49,,63,1819,51,1781,51,1793,56,1674,335,99,,
1991,53,,45,1858,41,1803,38,1822,55,1684,385,77,,
1990,87,,81,1764,73,1706,58,1743,,,274,122,,
1989,23,,24,1906,23,1856,23,1862,,,63,,,
1988,65,,62,1807,44,1777,56,1760,62,1654,199,,,
1987,70,,50,1811,41,1773,76,1702,55,1674,488,,,
1986,64,,60,1787,46,1754,90,1661,,,355,,,
1985,45,,,,,,,,,,378,,,
