Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2011 Cincinnati R16,L vs Federer,2.8,3.0,2.4,38.6%,33.3%,87.5%,0.0%,54.9%,17.1%,-2.0,-4.0,9.5,27.9
2010 US Open R32,L vs Djokovic,3.4,3.5,3.3,38.7%,51.5%,50.0%,72.7%,54.3%,20.8%,16.5,14.2,4.0,5.0
2009 Queens Club F,L vs Murray,3.5,3.6,3.4,42.0%,58.1%,57.1%,28.6%,41.4%,33.7%,0.5,0.8,0.0,0.0
2008 Paris SF,L vs Tsonga,3.3,3.6,3.0,45.8%,38.5%,36.4%,0.0%,55.8%,33.3%,-3.5,-5.0,-5.0,-13.9
2008 US Open R32,L vs Fish,2.8,3.0,2.6,46.5%,45.9%,57.1%,25.0%,44.6%,19.5%,3.5,3.8,-4.5,-4.9
2008 Olympics BR,L vs Djokovic,3.6,4.4,2.8,36.3%,54.5%,71.4%,42.9%,60.6%,25.4%,6.0,6.1,-5.5,-11.0
2008 Olympics SF,L vs Gonzalez,3.5,3.4,3.7,51.7%,42.9%,55.6%,50.0%,53.0%,32.5%,2.5,1.5,9.0,8.3
2008 Rome QF,L vs Wawrinka,4.2,4.0,4.4,46.7%,44.7%,57.7%,33.3%,49.6%,24.6%,5.5,3.3,-7.5,-5.6
2008 Delray Beach F,L vs Nishikori,3.4,3.1,3.6,46.6%,51.9%,42.9%,57.1%,52.1%,29.7%,9.0,9.4,1.5,2.3
2008 Australian Open QF,L vs Federer,3.3,3.7,2.9,46.0%,44.9%,52.9%,33.3%,52.7%,26.6%,9.5,7.4,8.5,9.7
2007 Davis Cup World Group F RR,W vs Youzhny,3.5,3.5,3.5,52.9%,58.0%,57.1%,38.5%,43.2%,27.8%,36.5,21.9,7.5,4.7
2007 US Open R16,L vs Haas,3.5,3.4,3.7,48.2%,49.3%,40.0%,61.1%,46.0%,25.6%,3.0,1.7,-1.5,-0.9
2007 Cincinnati F,L vs Federer,3.3,3.6,3.0,36.2%,53.1%,44.4%,66.7%,47.9%,24.0%,2.5,3.7,3.0,5.4
2007 Cincinnati SF,W vs Davydenko,3.8,2.8,4.9,53.8%,65.2%,66.7%,36.4%,56.5%,20.5%,6.0,5.7,0.0,0.0
2007 Australian Open R16,L vs Gonzalez,3.4,3.7,3.2,39.1%,54.5%,60.0%,80.0%,53.8%,32.8%,18.0,12.9,-1.5,-1.9
2006 Masters Cup F,L vs Federer,3.6,3.8,3.4,44.9%,27.0%,54.5%,25.0%,42.4%,20.3%,-4.0,-4.1,-6.5,-6.3
2006 Masters Cup SF,W vs Nalbandian,4.0,3.8,4.3,63.2%,47.2%,60.0%,54.5%,43.1%,16.5%,14.5,17.5,2.5,2.7
2006 Masters Cup RR,W vs Davydenko,4.3,4.1,4.4,54.6%,35.4%,54.5%,50.0%,48.3%,20.7%,6.5,4.5,0.5,0.4
2006 US Open QF,L vs Federer,3.6,3.8,3.4,44.1%,47.1%,51.7%,40.0%,49.9%,20.7%,1.5,0.8,-7.0,-4.5
2006 Indianapolis F,W vs Roddick,3.3,3.6,2.9,47.9%,45.0%,60.0%,46.2%,56.4%,16.1%,19.5,13.9,5.5,6.1
Career (37 matches),,3.6,3.7,3.6,48.1%,48.3%,52.4%,47.6%,49.4%,24.3%,8.7,6.8,1.9,1.9
