Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 Stockholm QF,L vs Sugita,0.0%,-,13.1%,71.9%,9.0%,13.3%,0.0%,5.6%,13.8%,0.4%,100.0%,20,29
2019 Stockholm R16,W vs Fognini,0.0%,-,12.2%,75.0%,17.9%,26.7%,100.0%,11.3%,42.9%,0.7%,100.0%,-15,18
2019 Stockholm R32,W vs Moutet,0.0%,-,14.0%,85.7%,15.3%,35.3%,0.0%,13.5%,0.0%,0.0%,-,-16,-1
2019 US Open R128,L vs Kudla,0.0%,-,9.9%,69.6%,10.5%,18.4%,0.0%,6.3%,20.6%,0.7%,0.0%,-4,-4
2019 Roland Garros R128,L vs Dimitrov,2.1%,66.7%,12.8%,77.8%,17.5%,21.2%,9.1%,7.0%,18.8%,0.5%,50.0%,-36,-33
2019 Bangkok CH R32,W vs Polmans,0.0%,-,4.9%,50.0%,16.5%,24.1%,25.0%,15.0%,54.5%,0.0%,-,-16,5
2017 Anning CH F,W vs Halys,0.0%,-,7.9%,60.0%,17.3%,8.8%,14.3%,13.6%,35.7%,0.0%,-,-35,-29
2017 Qingdao CH F,W vs Otte,0.0%,-,22.7%,73.5%,9.8%,11.8%,50.0%,7.3%,15.0%,0.8%,66.7%,-56,-53
2017 Rio de Janeiro R32,L vs Thiem,1.5%,100.0%,7.2%,66.7%,7.2%,6.8%,5.9%,4.3%,10.0%,0.8%,0.0%,-113,-94
2017 Bangkok CH F,W vs Li,0.0%,-,4.6%,100.0%,7.5%,3.2%,0.0%,6.9%,30.0%,0.9%,100.0%,-99,-50
2017 Bangkok CH F,W vs Kavcic,1.4%,100.0%,5.6%,85.7%,3.0%,3.8%,0.0%,4.1%,31.3%,0.2%,0.0%,-115,-115
2016 Tokyo R16,L vs Karlovic,1.3%,100.0%,6.7%,90.9%,23.3%,18.5%,0.0%,37.5%,100.0%,0.0%,-,106,37
2016 Shenzhen QF,W vs Jaziri,0.0%,-,6.2%,55.6%,5.3%,11.1%,0.0%,5.8%,26.7%,0.0%,-,-106,-46
2016 Shenzhen R16,W vs Paire,0.0%,-,9.9%,76.2%,9.4%,22.2%,20.0%,7.9%,21.1%,0.0%,-,-55,-41
2016 St Petersburg R32,L vs Youzhny,0.0%,-,10.3%,60.0%,7.4%,14.7%,0.0%,5.0%,23.8%,0.0%,-,-55,-50
2013 Chennai F,W vs Bautista Agut,0.0%,-,12.4%,66.7%,3.5%,5.7%,0.0%,8.2%,35.3%,0.3%,100.0%,-112,-86
2012 Tour Finals RR,L vs Ferrer,0.0%,-,9.8%,50.0%,6.9%,8.3%,0.0%,4.3%,11.5%,0.0%,-,-75,-33
2012 Tour Finals RR,L vs Del Potro,0.0%,-,15.0%,60.0%,9.5%,15.8%,0.0%,3.1%,9.1%,0.0%,-,-68,-56
2012 Tour Finals RR,L vs Federer,0.0%,-,14.0%,50.0%,6.6%,5.9%,10.0%,4.8%,33.3%,0.0%,-,-81,-63
2012 Paris QF,L vs Janowicz,0.0%,-,15.0%,61.9%,7.8%,4.3%,0.0%,1.6%,12.5%,0.5%,0.0%,-38,-49
Career (31 matches),,0.5%,76.9%,10.5%,68.0%,10.5%,13.7%,8.4%,7.2%,23.9%,0.4%,38.9%,-49,-36
