Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2020 Roland Garros R128,L vs Coria,56% (10/18),70% (7/10),2/6,56% (10/18),20% (2/10),4/7,0/3,1/2,0/0,0/0
2019 Busan CH R32,L vs Santillan,46% (6/13),33% (2/6),0/3,54% (7/13),43% (3/7),2/2,1/1,0/1,0/0,0/1
2019 Seoul CH R32,L vs Santillan,50% (8/16),75% (6/8),2/5,47% (8/17),13% (1/8),3/6,1/4,1/2,0/3,1/1
2019 Anning CH R16,L vs Oliveira,27% (3/11),67% (2/3),0/3,50% (5/10),40% (2/5),2/2,0/0,0/0,0/0,0/0
2019 Anning CH R32,W vs Ignatik,56% (9/16),56% (5/9),1/3,29% (5/17),20% (1/5),5/5,2/2,2/3,1/1,1/1
2019 Taipei CH QF,L vs Soeda,11% (1/9),0% (0/1),0/2,50% (5/10),40% (2/5),0/0,0/0,2/3,0/0,0/1
2019 Taipei CH R16,W vs Duckworth,75% (6/8),67% (4/6),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2019 Taipei CH R32,W vs Wu,30% (3/10),67% (2/3),0/0,20% (2/10),100% (2/2),2/2,2/2,0/0,1/1,0/0
2019 Phoenix CH R64,L vs Tseng,31% (4/13),50% (2/4),1/4,46% (6/13),33% (2/6),2/2,1/1,2/2,0/0,1/1
2019 Indian Wells CH QF,L vs Evans,30% (3/10),100% (3/3),2/5,60% (6/10),17% (1/6),1/3,0/0,0/0,0/0,0/0
2019 Indian Wells CH R16,W vs Krajinovic,50% (5/10),60% (3/5),1/1,27% (3/11),67% (2/3),2/2,1/1,0/0,1/1,0/0
2019 Indian Wells CH R32,W vs Krueger,50% (4/8),75% (3/4),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2019 Delray Beach R32,L vs Johnson,36% (4/11),50% (2/4),0/3,45% (5/11),40% (2/5),1/2,0/1,2/2,0/0,1/1
2019 New York QF,L vs Querrey,14% (2/14),50% (1/2),0/2,38% (5/13),60% (3/5),1/1,1/1,1/1,0/0,1/1
2019 New York R16,W vs Tiafoe,50% (5/10),60% (3/5),1/1,9% (1/11),0% (0/1),3/3,2/3,0/0,1/2,0/0
2019 New York R32,W vs Ramanathan,33% (4/12),75% (3/4),0/1,38% (5/13),80% (4/5),3/3,2/2,1/1,1/1,0/0
2019 Dallas CH QF,L vs Fratangelo,13% (2/16),100% (2/2),2/4,47% (7/15),43% (3/7),2/2,0/0,3/3,0/0,1/1
2019 Dallas CH R16,W vs Gojo,30% (3/10),67% (2/3),0/0,20% (2/10),100% (2/2),2/2,1/1,2/2,0/0,0/0
2019 Dallas CH R32,W vs Harrison,28% (5/18),80% (4/5),1/3,28% (5/18),40% (2/5),3/3,1/1,3/3,1/1,1/1
2019 Cleveland CH R32,L vs Wolf,10% (1/10),100% (1/1),1/3,44% (4/9),25% (1/4),1/1,0/0,2/2,0/0,1/1
2020 (1 matches),,55.6%,70.0%,33.3%,55.6%,20.0%,57.1%,0.0%,50.0%,-,-
2019 (22 matches),,35.4%,62.0%,26.9%,37.9%,41.0%,83.6%,77.8%,80.0%,69.2%,76.9%
2018 (25 matches),,29.3%,70.8%,16.1%,33.7%,34.3%,80.7%,76.2%,75.0%,60.0%,78.6%
2017 (15 matches),,27.5%,50.0%,17.8%,42.0%,22.1%,68.2%,71.4%,70.8%,66.7%,62.5%
2016 (18 matches),,25.2%,68.6%,25.0%,32.3%,25.4%,78.1%,100.0%,74.1%,100.0%,93.3%
Career (100 matches),,30.4%,62.5%,20.8%,37.4%,30.3%,77.3%,77.3%,72.3%,71.9%,74.6%
